,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,剧情,犯罪,unknown,美国,英语,1994,阿甘正传,当幸福来敲门,三傻大闹宝莱坞,摔跤吧！爸爸,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,死亡诗社,美丽心灵
1,霸王别姬,陈凯,张国荣,张丰毅,巩俐,剧情,爱情,同性,中国大陆,国语,1993,春光乍泄,罗马假日,重庆森林,花样年华,泰坦尼克号,断背山,爱在黎明破晓前,甜蜜蜜,请以你的名字呼唤我,天使爱美丽
2,美丽人生 La vita è bella,罗伯托·贝尼,罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,剧情,喜剧,爱情,意大利,意大利语,1997,辛德勒的名单,穿条纹睡衣的男孩,拯救大兵瑞恩,钢琴家,1917,血战钢锯岭,乱世佳人,敦刻尔克,波斯语课,罗马假日
3,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯,连姆·尼森,本·金斯利,拉尔夫·费因斯,剧情,历史,战争,美国,英语,1993,拯救大兵瑞恩,穿条纹睡衣的男孩,钢琴家,血战钢锯岭,1917,敦刻尔克,美丽人生,黑鹰坠落,兵临城下,卢旺达饭店
4,控方证人 Witness for the Prosecution,比利·怀尔,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,美国,英语,1957,看不见的客人,控方证人,记忆碎片,禁闭岛,电话谋杀案,十二怒汉,追随,致命魔术,非常嫌疑犯,利刃出鞘
5,阿甘正传 Forrest Gump,罗伯特·泽米吉,汤姆·汉克斯,罗宾·怀特,加里·西尼斯,剧情,爱情,unknown,美国,英语,1994,肖申克的救赎,当幸福来敲门,三傻大闹宝莱坞,摔跤吧！爸爸,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,死亡诗社,美丽心灵
6,泰坦尼克号 Titanic,詹姆斯·卡梅,莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,剧情,爱情,灾难,美国,英语,1997,罗马假日,恋恋笔记本,爱在黎明破晓前,重庆森林,剪刀手爱德华,傲慢与偏见,怦然心动,乱世佳人,大话西游之大圣娶亲,天使爱美丽
7,这个杀手不太冷 Léon,吕克·贝,让·雷诺,娜塔莉·波特曼,加里·奥德曼,剧情,动作,犯罪,法国,法语,1994,罗马假日,泰坦尼克号,恋恋笔记本,爱在黎明破晓前,重庆森林,剪刀手爱德华,猫鼠游戏,天使爱美丽,怦然心动,傲慢与偏见
8,千与千寻 千と千尋の神隠し,宫崎,柊瑠美,入野自由,夏木真理,剧情,动画,奇幻,日本,日语,2001,天空之城,哈尔的移动城堡,幽灵公主,风之谷,大闹天宫,魔女宅急便,龙猫,红猪,怪兽电力公司,神偷奶爸
9,盗梦空间 Inception,克里斯托弗·诺,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,美国,英语,2010,致命魔术,黑客帝国,源代码,蝴蝶效应,阿凡达,星际穿越,禁闭岛,记忆碎片,看不见的客人,头号玩家
10,星际穿越 Interstellar,克里斯托弗·诺,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,剧情,科幻,冒险,美国,英语,2014,盗梦空间,黑客帝国,阿凡达,火星救援,头号玩家,源代码,钢铁侠,复仇者联盟,X战警：逆转未来,明日边缘
