,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,控方证人 Witness for the Prosecution,比利·怀尔,unknown,unknown,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,美国,英语,unknown,unknown,1957,看不见的客人,控方证人,记忆碎片,禁闭岛,电话谋杀案,十二怒汉,追随,致命魔术,非常嫌疑犯,利刃出鞘
1,盗梦空间 Inception,克里斯托弗·诺,unknown,unknown,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,美国,英语,unknown,unknown,2010,致命魔术,黑客帝国,源代码,蝴蝶效应,阿凡达,星际穿越,禁闭岛,记忆碎片,看不见的客人,头号玩家
2,窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔,unknown,unknown,乌尔里希·穆埃,马蒂娜·格德克,塞巴斯蒂安·科赫,剧情,悬疑,unknown,德国,德语,unknown,unknown,2006,记忆碎片,控方证人,致命魔术,禁闭岛,看不见的客人,穆赫兰道,非常嫌疑犯,追随,十二怒汉,蝴蝶效应
3,控方证人 Witness for the Prosecution,艾伦·吉布,unknown,unknown,拉尔夫·理查德森,黛博拉·蔻儿,博·布里奇斯,剧情,悬疑,犯罪,美国,英语,unknown,unknown,1982,控方证人,东方快车谋杀案,尼罗河上的惨案,十二怒汉（电视版）,看不见的客人,记忆碎片,电话谋杀案,禁闭岛,非常嫌疑犯,利刃出鞘
4,红辣椒 パプリカ,今,unknown,unknown,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,日本,日语,unknown,unknown,2006,千年女优,未麻的部屋,东京教父,幽灵公主,天空之城,大闹天宫,风之谷,攻壳机动队,哈尔的移动城堡,回忆三部曲
5,搏击俱乐部 Fight Club,大卫·芬,unknown,unknown,爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,剧情,动作,悬疑,美国,英语,unknown,unknown,1999,记忆碎片,七宗罪,禁闭岛,致命魔术,控方证人,非常嫌疑犯,看不见的客人,穆赫兰道,杀人回忆,沉默的羔羊
6,惊魂记 Psycho,阿尔弗雷德·希区柯,unknown,unknown,安东尼·博金斯,维拉·迈尔斯,约翰·加文,悬疑,惊悚,恐怖,美国,英语,unknown,unknown,1960,后窗,迷魂记,电话谋杀案,闪灵,西北偏北,控方证人,群鸟,恐怖游轮,爱德华大夫,夺魂索
7,切腹,小林正,unknown,unknown,仲代达矢,石浜朗,岩下志麻,剧情,动作,悬疑,日本,日语,unknown,unknown,1962,椿三十郎,大菩萨岭,夺命剑,荒野大镖客,用心棒,黄昏双镖客,侍,影武者,关山飞渡,日落黄沙
8,禁闭岛 Shutter Island,马丁·斯科塞,unknown,unknown,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,剧情,悬疑,惊悚,美国,英语,unknown,unknown,2010,记忆碎片,恐怖游轮,致命ID,看不见的客人,蝴蝶效应,七宗罪,穆赫兰道,第六感,控方证人,沉默的羔羊
9,蝴蝶效应 The Butterfly Effect,埃里克·布雷,unknown,unknown,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,美国,英语,unknown,unknown,2004,禁闭岛,致命魔术,盗梦空间,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪
