,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,无间道 無間道,刘伟,刘德华,梁朝伟,黄秋生,剧情,惊悚,犯罪,中国香港,国语,2002,无间道2,英雄本色,猫鼠游戏,教父,美国往事,新世界,无双,暗战,纵横四海,低俗小说
1,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,美国,英语,2008,蝙蝠侠：黑暗骑士崛起,黑客帝国,猫鼠游戏,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,盗梦空间,美国队长2,变形金刚
2,红辣椒 パプリカ,今,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,日本,日语,2006,千年女优,未麻的部屋,东京教父,幽灵公主,天空之城,大闹天宫,风之谷,攻壳机动队,哈尔的移动城堡,回忆三部曲
3,未麻的部屋 Perfect Blue,今,岩男润子,松本梨香,辻亲八,动画,惊悚,奇幻,日本,日语,1997,红辣椒,千年女优,东京教父,幽灵公主,天空之城,大闹天宫,风之谷,回忆三部曲,哪吒闹海,心理游戏
4,搏击俱乐部 Fight Club,大卫·芬,爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,剧情,动作,悬疑,美国,英语,1999,记忆碎片,七宗罪,禁闭岛,致命魔术,控方证人,非常嫌疑犯,看不见的客人,穆赫兰道,杀人回忆,沉默的羔羊
5,惊魂记 Psycho,阿尔弗雷德·希区柯,安东尼·博金斯,维拉·迈尔斯,约翰·加文,悬疑,惊悚,恐怖,美国,英语,1960,后窗,迷魂记,电话谋杀案,闪灵,西北偏北,控方证人,群鸟,恐怖游轮,爱德华大夫,夺魂索
6,黑镜：圣诞特别篇 Black Mirror: White Christmas,卡尔·蒂贝,乔恩·哈姆,拉菲·斯波,奥娜·卓别林,剧情,科幻,惊悚,英国,英语,2014,这个男人来自地球,唐顿庄园：2011圣诞特别篇,月球,黑客帝国,降临,2001太空漫游,彗星来的那一夜,源代码,银翼杀手2049,机械姬
7,禁闭岛 Shutter Island,马丁·斯科塞,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,剧情,悬疑,惊悚,美国,英语,2010,记忆碎片,恐怖游轮,致命ID,看不见的客人,蝴蝶效应,七宗罪,穆赫兰道,第六感,控方证人,沉默的羔羊
8,蝴蝶效应 The Butterfly Effect,埃里克·布雷,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,美国,英语,2004,禁闭岛,致命魔术,盗梦空间,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪
9,沉默的羔羊 The Silence of the Lambs,乔纳森·戴,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,剧情,惊悚,犯罪,美国,英语,1991,七宗罪,致命ID,恐怖游轮,禁闭岛,汉尼拔,闪灵,记忆碎片,杀人回忆,第六感,电锯惊魂
10,致命魔术 The Prestige,克里斯托弗·诺,休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,剧情,悬疑,惊悚,英国,英语,2006,记忆碎片,禁闭岛,盗梦空间,蝴蝶效应,看不见的客人,控方证人,穆赫兰道,源代码,致命ID,利刃出鞘
11,杀人回忆 살인의 추억,奉俊,宋康昊,金相庆,金雷夏,剧情,动作,悬疑,韩国,韩语,2003,看不见的客人,恐怖直播,记忆碎片,七宗罪,禁闭岛,控方证人,致命ID,猫鼠游戏,沉默的羔羊,追击者
12,第六感 The Sixth Sense,M·奈特·沙马,布鲁斯·威利斯,海利·乔·奥斯蒙,托妮·科莱特,剧情,悬疑,惊悚,美国,英语,1999,恐怖游轮,禁闭岛,致命ID,记忆碎片,小岛惊魂,万能钥匙,闪灵,沉默的羔羊,蝴蝶效应,穆赫兰道
13,2001太空漫游 2001: A Space Odyssey,斯坦利·库布里,凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特,科幻,惊悚,冒险,英国,英语,1968,大都会,银翼杀手,这个男人来自地球,黑客帝国,超时空接触,回到未来,E.T.外星人,月球,第九区,终结者2：审判日
14,末路狂花 Thelma &amp; Louise,雷德利·斯科,吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔,剧情,惊悚,犯罪,美国,英语,1991,猫鼠游戏,发条橙,出租车司机,搏击俱乐部,上帝之城,老无所依,落水狗,芝加哥,杀死比尔,香水
15,看不见的客人 Contratiempo,奥里奥尔·保,马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,剧情,悬疑,惊悚,西班牙,西班牙语,2016,控方证人,禁闭岛,利刃出鞘,记忆碎片,致命魔术,网络谜踪,误杀,消失的爱人,杀人回忆,七宗罪
16,七宗罪 Se7en,大卫·芬,摩根·弗里曼,布拉德·皮特,凯文·史派西,剧情,悬疑,惊悚,美国,英语,1995,记忆碎片,禁闭岛,沉默的羔羊,致命ID,看不见的客人,杀人回忆,搏击俱乐部,非常嫌疑犯,恐怖游轮,猫鼠游戏
17,致命ID Identity,詹姆斯·曼高,约翰·库萨克,雷·利奥塔,阿曼达·皮特,剧情,悬疑,惊悚,美国,英语,2003,恐怖游轮,禁闭岛,记忆碎片,七宗罪,沉默的羔羊,万能钥匙,第六感,看不见的客人,蝴蝶效应,致命魔术
18,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺,克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,剧情,动作,科幻,美国,英语,2012,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,终结者2：审判日,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,盗梦空间
19,追随 Following,克里斯托弗·诺,杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔,悬疑,惊悚,犯罪,英国,英语,1998,记忆碎片,非常嫌疑犯,控方证人,大卫·戈尔的一生,穆赫兰道,致命魔术,禁闭岛,一级恐惧,惊魂记,看不见的客人
20,电锯惊魂 Saw,温子,雷·沃纳尔,加利·艾尔维斯,丹尼·格洛弗,悬疑,惊悚,恐怖,美国,英语,2004,电锯惊魂2,恐怖游轮,死神来了,闪灵,死寂,致命ID,招魂,万能钥匙,沉默的羔羊,孤儿怨
21,谍影重重3 The Bourne Ultimatum,保罗·格林格拉,马特·达蒙,朱丽娅·斯蒂尔斯,大卫·斯特雷泽恩,动作,悬疑,惊悚,美国,英语,2007,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
22,千钧一发 Gattaca,安德鲁·尼科,伊桑·霍克,乌玛·瑟曼,裘德·洛,剧情,科幻,惊悚,美国,英语,1997,这个男人来自地球,超时空接触,黑客帝国3：矩阵革命,2001太空漫游,月球,十二猴子,回到未来,源代码,第九区,异次元骇客
23,洞 Le trou,雅克·贝,马克·米歇尔,吉恩·凯乐蒂,菲利普·勒鲁瓦,剧情,惊悚,犯罪,法国,法语,1960,杀手,热天午后,独行杀手,电话谋杀案,骗中骗,追随,M就是凶手,洛城机密,双重赔偿,非常嫌疑犯
24,小丑 Joker,托德·菲利普,华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,剧情,惊悚,犯罪,美国,英语,2019,猫鼠游戏,杀人回忆,沉默的羔羊,蝙蝠侠：黑暗骑士,七宗罪,熔炉,搏击俱乐部,恐怖直播,三块广告牌,爱尔兰人
25,消失的爱人 Gone Girl,大卫·芬,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,剧情,悬疑,惊悚,美国,英语,2014,看不见的客人,禁闭岛,记忆碎片,致命ID,七宗罪,控方证人,恐怖游轮,杀人回忆,沉默的羔羊,利刃出鞘
26,电话谋杀案 Dial M for Murder,阿尔弗雷德·希区柯,雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯,悬疑,惊悚,犯罪,美国,英语,1954,后窗,西北偏北,夺魂索,爱德华大夫,迷魂记,贵妇失踪记,火车怪客,惊魂记,三十九级台阶,深闺疑云
27,无间道2 無間道II,刘伟,陈冠希,余文乐,曾志伟,剧情,惊悚,犯罪,中国香港,国语,2003,无间道3：终极无间,英雄本色,黑社会,暗战,枪火,教父3,门徒,新世界,新警察故事,猫鼠游戏
28,记忆碎片 Memento,克里斯托弗·诺,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,剧情,悬疑,惊悚,美国,英语,2000,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,蝴蝶效应,控方证人
29,血钻 Blood Diamond,爱德华·兹威,莱昂纳多·迪卡普里奥,杰曼·翰苏,詹妮弗·康纳利,剧情,惊悚,冒险,美国,英语,2006,猫鼠游戏,战争之王,勇闯夺命岛,黑鹰坠落,变脸,拯救大兵瑞恩,谍影重重2,兵临城下,蝙蝠侠：黑暗骑士,七宗罪
30,谍影重重2 The Bourne Supremacy,保罗·格林格拉,马特·达蒙,布莱恩·考克斯,琼·艾伦,动作,悬疑,惊悚,美国,英语,2004,谍影重重3,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
31,洛城机密 L.A. Confidential,柯蒂斯·汉,凯文·史派西,罗素·克劳,盖·皮尔斯,剧情,悬疑,惊悚,美国,英语,1997,非常嫌疑犯,王牌对王牌,一级恐惧,大卫·戈尔的一生,追随,火柴人,记忆碎片,控方证人,天才瑞普利,老无所依
32,浪潮 Die Welle,丹尼斯·甘塞,于尔根·福格尔,弗雷德里克·劳,马克思·雷迈特,剧情,惊悚,unknown,德国,德语,2008,沉默的羔羊,猫鼠游戏,香水,恐怖游轮,致命ID,七宗罪,杀人回忆,黑天鹅,惊魂记,电锯惊魂
33,釜山行 부산행,延尚,孔刘,郑有美,马东锡,动作,惊悚,灾难,韩国,韩语,2016,恐怖游轮,闪灵,招魂,2012,流感,孤儿怨,后天,沉默的羔羊,电锯惊魂,致命ID
34,黑天鹅 Black Swan,达伦·阿伦诺夫斯,娜塔莉·波特曼,米拉·库尼斯,文森特·卡索,剧情,惊悚,unknown,美国,英语,2010,恐怖游轮,闪灵,禁闭岛,沉默的羔羊,致命ID,孤儿怨,第六感,记忆碎片,惊魂记,穆赫兰道
35,后窗 Rear Window,阿尔弗雷德·希区柯,詹姆斯·斯图尔特,格蕾丝·凯利,温戴尔·柯瑞,悬疑,惊悚,unknown,美国,英语,1954,迷魂记,西北偏北,电话谋杀案,惊魂记,爱德华大夫,夺魂索,蝴蝶梦,贵妇失踪记,三十九级台阶,火车怪客
36,谍影重重 The Bourne Identity,道格·里,马特·达蒙,弗朗卡·波滕特,克里斯·库珀,动作,悬疑,惊悚,美国,英语,2002,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,记忆碎片,禁闭岛
37,非常嫌疑犯 The Usual Suspects,布莱恩·辛,史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗,悬疑,惊悚,犯罪,德国,德语,1995,记忆碎片,洛城机密,追随,一级恐惧,大卫·戈尔的一生,控方证人,七宗罪,穆赫兰道,王牌对王牌,禁闭岛
38,迷魂记 Vertigo,阿尔弗雷德·希区柯,詹姆斯·斯图尔特,金·诺瓦克,芭芭拉·贝尔·戈迪斯,爱情,悬疑,惊悚,美国,英语,1958,后窗,西北偏北,电话谋杀案,惊魂记,爱德华大夫,蝴蝶梦,夺魂索,贵妇失踪记,群鸟,三十九级台阶
39,银翼杀手 Blade Runner,雷德利·斯科,哈里森·福特,鲁格·豪尔,肖恩·杨,科幻,惊悚,unknown,美国,英语,1982,2001太空漫游,银翼杀手2049,大都会,黑客帝国2：重装上阵,这个男人来自地球,超时空接触,回到未来,第九区,终结者2：审判日,十二猴子
40,金福南杀人事件始末 김복남 살인사건의 전말,张哲,徐英姬,池成媛,朴政学,剧情,惊悚,犯罪,韩国,韩语,2010,追击者,黄海,看见恶魔,杀人回忆,我要复仇,亲切的金子,猫鼠游戏,蒙太奇,电锯惊魂,恐怖直播
41,用心棒,黑泽,三船敏郎,仲代达矢,司叶子,剧情,动作,惊悚,日本,日语,1961,椿三十郎,大菩萨岭,荒野大镖客,姿三四郎,夺命剑,黄昏双镖客,战国英豪,侠女,日落黄沙,关山飞渡
42,花火 HANA-BI,北野,北野武,岸本加世子,大杉涟,剧情,爱情,惊悚,日本,日语,1997,那年夏天，宁静的海,奏鸣曲,重庆森林,凶暴的男人,花样年华,堕落天使,大佬,独立时代,蓝白红三部曲之蓝,精疲力尽
43,回忆三部曲 Memories,森本晃,矶部勉,山寺宏一,高岛雅罗,科幻,动画,惊悚,日本,日语,1995,她的回忆,阿基拉,攻壳机动队,心理游戏,千年女优,大都会,人狼,东京教父,迷宫物语,天才嘉年华
44,恐怖游轮 Triangle,克里斯托弗·史密,梅利莎·乔治,利亚姆·海姆斯沃斯,迈克尔·多曼,剧情,悬疑,惊悚,英国,英语,2009,致命ID,禁闭岛,万能钥匙,闪灵,小岛惊魂,记忆碎片,第六感,孤儿怨,死神来了,沉默的羔羊
45,源代码 Source Code,邓肯·琼,杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉,科幻,悬疑,惊悚,美国,英语,2011,盗梦空间,黑客帝国,这个男人来自地球,蝴蝶效应,致命魔术,阿凡达,终结者2：审判日,第九区,明日边缘,彗星来的那一夜
46,彗星来的那一夜 Coherence,詹姆斯·沃德·布柯,艾米丽·芭尔多尼,莫瑞·史特林,尼古拉斯·布兰登,科幻,悬疑,惊悚,美国,英语,2013,这个男人来自地球,蝴蝶效应,恐怖游轮,盗梦空间,源代码,致命魔术,记忆碎片,禁闭岛,看不见的客人,前目的地
47,神探,杜琪,刘青云,安志杰,林家栋,动作,悬疑,惊悚,中国香港,国语,2007,非常嫌疑犯,杀人回忆,记忆碎片,门徒,看不见的客人,追随,一级恐惧,七宗罪,猫鼠游戏,恐怖直播
48,网络谜踪 Searching,阿尼什·查甘,约翰·赵,米切尔·拉,黛博拉·梅辛,剧情,悬疑,惊悚,美国,英语,2018,看不见的客人,利刃出鞘,记忆碎片,控方证人,禁闭岛,特工,致命魔术,海市蜃楼,杀人回忆,消失的爱人
49,蝙蝠侠：侠影之谜 Batman Begins,克里斯托弗·诺,克里斯蒂安·贝尔,迈克尔·凯恩,连姆·尼森,剧情,动作,科幻,美国,英语,2005,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,终结者2：审判日,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟
50,变脸 Face/Off,吴宇,约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦,动作,科幻,惊悚,美国,英语,1997,勇闯夺命岛,空中监狱,谍影重重3,终结者2：审判日,飓风营救,生死时速,真实的谎言,碟中谍,黑客帝国3：矩阵革命,我，机器人
51,精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,何塞·帕迪里,瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹,剧情,动作,惊悚,巴西,葡萄牙语,2010,精英部队,王牌对王牌,洛城机密,飓风营救,盗火线,训练日,勇闯夺命岛,上帝之城,黑社会,枪火
52,风声,陈国,周迅,李冰冰,张涵予,剧情,惊悚,战争,中国大陆,国语,2009,催眠大师,禁闭岛,看不见的客人,记忆碎片,悬崖之上,致命魔术,利刃出鞘,恐怖游轮,蝴蝶效应,盗梦空间
53,钢铁侠 Iron Man,乔恩·费,小罗伯特·唐尼,泰伦斯·霍华德,格温妮斯·帕特洛,动作,科幻,惊悚,美国,英语,2008,钢铁侠2,复仇者联盟,美国队长2,无敌浩克,变形金刚,雷神,蚁人,银河护卫队,X战警,蜘蛛侠
54,穆赫兰道 Mulholland Dr.,大卫·林,娜奥米·沃茨,劳拉·哈灵,安·米勒,剧情,悬疑,惊悚,法国,法语,2001,记忆碎片,禁闭岛,致命魔术,恐怖游轮,非常嫌疑犯,追随,控方证人,惊魂记,蝴蝶效应,看不见的客人
55,碟中谍4 Mission: Impossible - Ghost Protocol,布拉德·伯,汤姆·克鲁斯,杰瑞米·雷纳,西蒙·佩吉,动作,惊悚,冒险,美国,英语,2011,碟中谍3,谍影重重3,速度与激情5,飓风营救,变脸,王牌特工：特工学院,终结者2：审判日,黑客帝国2：重装上阵,蝙蝠侠：黑暗骑士崛起,钢铁侠
56,喋血双雄 喋血雙雄,吴宇,周润发,李修贤,叶倩文,剧情,动作,惊悚,中国香港,国语,1989,英雄本色2,喋血街头,辣手神探,和平饭店,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
57,黑社会 黑社會,杜琪,任达华,梁家辉,古天乐,剧情,惊悚,犯罪,中国香港,国语,2005,黑社会2：以和为贵,枪火,放·逐,黑金,暗花,跛豪,古惑仔之人在江湖,机动部队,五亿探长雷洛传1：雷老虎,无间道2
58,盗火线 Heat,迈克尔·,阿尔·帕西诺,罗伯特·德尼罗,方·基默,剧情,动作,惊悚,美国,英语,1995,情枭的黎明,忠奸人,赌城风云,好家伙,疤面煞星,洛城机密,训练日,热天午后,美国黑帮,勇闯夺命岛
59,追击者 추격자,罗泓,河正宇,金允石,徐英姬,剧情,惊悚,犯罪,韩国,韩语,2008,黄海,杀人回忆,蒙太奇,恐怖直播,不可饶恕,特工,我要复仇,走到尽头,神探,非常嫌疑犯
60,王牌对王牌 The Negotiator,F·加里·格,塞缪尔·杰克逊,凯文·史派西,大卫·摩斯,剧情,动作,悬疑,美国,英语,1998,洛城机密,非常嫌疑犯,火柴人,一级恐惧,大卫·戈尔的一生,局内人,守法公民,十一罗汉,空中监狱,追随
61,落水狗 Reservoir Dogs,昆汀·塔伦蒂,哈威·凯特尔,蒂姆·罗斯,迈克尔·马德森,惊悚,犯罪,unknown,美国,英语,1992,低俗小说,八恶人,好家伙,出租车司机,疤面煞星,上帝之城,美国X档案,末路狂花,偷拐抢骗,热天午后
62,孟买酒店 Hotel Mumbai,安东尼·马拉,艾米·汉莫,纳赞宁·波妮阿蒂,戴夫·帕特尔,剧情,惊悚,历史,澳大利亚,英语,2018,杰伊·比姆,猫鼠游戏,恐袭波士顿,解除好友2：暗网,小丑,追击者,杀人回忆,芝加哥七君子审判,南山的部长们,恐怖直播
63,罪恶之城 Sin City,弗兰克·米,杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文,动作,惊悚,犯罪,美国,英语,2005,美国X档案,杀死比尔,罪恶之城2,落水狗,天生杀人狂,搏击俱乐部,上帝之城,空中监狱,发条橙,出租车司机
64,换子疑云 Changeling,克林特·伊斯特伍,安吉丽娜·朱莉,盖特林·格里菲斯,米歇尔·冈,剧情,悬疑,惊悚,美国,英语,2008,记忆碎片,非常嫌疑犯,大卫·戈尔的一生,一级恐惧,追随,穆赫兰道,禁闭岛,龙纹身的女孩,洛城机密,致命魔术
65,亚当斯一家的价值观 Addams Family Values,巴里·索南菲尔,克里斯蒂娜·里奇,琼·库萨克,劳尔·胡里亚,喜剧,惊悚,家庭,美国,英语,1993,亚当斯一家,阴间大法师,黑店狂想曲,吸血鬼生活,坠入,布达佩斯大饭店,查理和巧克力工厂,荒蛮故事,雷蒙·斯尼奇的不幸历险,潘神的迷宫
66,杀死比尔 Kill Bill: Vol. 1,昆汀·塔伦蒂,乌玛·瑟曼,刘玉玲,薇薇卡·福克斯,动作,惊悚,犯罪,美国,英语,2003,杀死比尔2,被解救的姜戈,罪恶之城,搏击俱乐部,落水狗,疯狂的麦克斯4：狂暴之路,八恶人,发条橙,谍影重重3,低俗小说
67,魔鬼代言人 The Devil's Advocate,泰勒·海克福,基努·里维斯,阿尔·帕西诺,查理兹·塞隆,剧情,悬疑,惊悚,美国,英语,1997,闪灵,小岛惊魂,禁闭岛,记忆碎片,一级恐惧,惊魂记,致命ID,第六感,沉默的羔羊,康斯坦丁
68,第九区 District 9,尼尔·布洛姆坎,沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特,剧情,动作,科幻,美国,英语,2009,这个男人来自地球,我是传奇,黑客帝国3：矩阵革命,我，机器人,变形金刚,终结者2：审判日,E.T.外星人,月球,阿凡达,回到未来
69,狗镇 Dogville,拉斯·冯·提,妮可·基德曼,哈里特·安德森,劳伦·白考尔,剧情,悬疑,惊悚,丹麦,丹麦语,2003,穆赫兰道,记忆碎片,追随,控方证人,后窗,禁闭岛,非常嫌疑犯,致命魔术,惊魂记,大卫·戈尔的一生
70,老无所依 No Country for Old Men,伊桑·科,汤米·李·琼斯,哈维尔·巴登,乔什·布洛林,剧情,惊悚,犯罪,美国,英语,2007,冰血暴,猫鼠游戏,沉默的羔羊,洛城机密,七宗罪,杀人回忆,非常嫌疑犯,落水狗,不可饶恕,闪灵
71,老男孩 올드보이,朴赞,崔岷植,刘智泰,姜惠贞,剧情,动作,悬疑,韩国,韩语,2003,黄海,我要复仇,搏击俱乐部,杀人回忆,亲切的金子,追击者,记忆碎片,非常嫌疑犯,穆赫兰道,禁闭岛
72,逃离德黑兰 Argo,本·阿弗莱,本·阿弗莱克,布莱恩·科兰斯顿,凯尔·钱德勒,剧情,惊悚,历史,美国,英语,2012,拆弹部队,黑鹰坠落,兵临城下,拯救大兵瑞恩,敦刻尔克,1917,记忆碎片,禁闭岛,猎杀本·拉登,致命魔术
73,夜访吸血鬼 Interview with the Vampire: The Vampire Chronicles,尼尔·乔,布拉德·皮特,汤姆·克鲁斯,克斯汀·邓斯特,剧情,惊悚,奇幻,美国,英语,1994,惊情四百年,断头谷,理发师陶德,闪灵,加勒比海盗,黑天鹅,康斯坦丁,恐怖游轮,小岛惊魂,查理和巧克力工厂
74,苦月亮 Bitter Moon,罗曼·波兰斯,彼德·考约特,艾玛纽尔·塞尼耶,休·格兰特,剧情,爱情,惊悚,法国,法语,1992,情人,白日美人,祖与占,戏梦巴黎,女性瘾者：第一部,穿裘皮的维纳斯,大开眼戒,对她说,爱在黎明破晓前,色，戒
75,飓风营救 Taken,皮埃尔·莫瑞,连姆·尼森,玛姬·格蕾斯,法米克·詹森,剧情,动作,惊悚,法国,法语,2008,勇闯夺命岛,飓风营救2,谍影重重3,碟中谍4,空中监狱,速度与激情5,生死狙击,变脸,暴力街区,金蝉脱壳
76,精武门 精武門,罗,李小龙,苗可秀,田俊,剧情,动作,爱情,中国香港,国语,1972,猛龙过江,龙争虎斗,唐山大兄,死亡游戏,精武英雄,给爸爸的信,醉拳,红番区,中南海保镖,黄飞鸿之二：男儿当自强
77,电锯惊魂2 Saw II,达伦·林恩·鲍斯,托宾·贝尔,肖妮·史密斯,唐尼·沃尔伯格,悬疑,惊悚,恐怖,美国,英语,2005,电锯惊魂3,死神来了,死寂,寂静岭,招魂,闪灵,万能钥匙,潜伏,孤儿怨,恐怖游轮
78,超时空接触 Contact,罗伯特·泽米吉,吉娜·马隆,大卫·摩斯,朱迪·福斯特,剧情,科幻,悬疑,美国,英语,1997,这个男人来自地球,K星异客,异次元骇客,火星任务,深渊,2001太空漫游,十二猴子,回到未来,月球,第九区
79,异次元骇客 The Thirteenth Floor,约瑟夫·鲁斯纳,克雷格·比尔克,阿明·缪勒-斯塔尔,格瑞辰·摩尔,科幻,悬疑,惊悚,美国,英语,1999,超时空接触,十二猴子,K星异客,移魂都市,这个男人来自地球,黑洞频率,月球,前目的地,千钧一发,少数派报告
80,汉尼拔 Hannibal,雷德利·斯科,安东尼·霍普金斯,朱丽安·摩尔,加里·奥德曼,惊悚,犯罪,unknown,英国,英语,2001,红龙,少年汉尼拔,沉默的羔羊,闪灵,寂静岭,恐怖游轮,致命ID,死神来了,小岛惊魂,万能钥匙
81,调音师 Andhadhun,斯里兰姆·拉格,阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,喜剧,悬疑,惊悚,印度,印地语,2018,看不见的客人,利刃出鞘,误杀,控方证人,网络谜踪,禁闭岛,无双,记忆碎片,心迷宫,杀人回忆
82,刺杀肯尼迪 JFK,奥利佛·斯,凯文·科斯特纳,茜茜·斯派塞克,汤米·李·琼斯,剧情,悬疑,惊悚,美国,英语,1991,芝加哥七君子审判,华盛顿邮报,非常嫌疑犯,追随,唐人街,西北偏北,控方证人,间谍之桥,洛城机密,慕尼黑
83,夜行者 Nightcrawler,丹·吉尔罗,杰克·吉伦哈尔,里兹·阿迈德,蕾妮·罗素,剧情,惊悚,犯罪,美国,英语,2014,囚徒,老无所依,非常嫌疑犯,一级恐惧,洛城机密,我是谁：没有绝对安全的系统,追随,杀人回忆,追击者,龙纹身的女孩
84,情枭的黎明 Carlito's Way,布莱恩·德·帕尔,阿尔·帕西诺,西恩·潘,佩内洛普·安·米勒,剧情,惊悚,犯罪,美国,英语,1993,疤面煞星,忠奸人,赌城风云,好家伙,热天午后,铁面无私,盗火线,美国黑帮,教父3,布朗克斯的故事
85,无间道3：终极无间 無間道III 終極無間,刘伟,梁朝伟,刘德华,黎明,剧情,惊悚,犯罪,中国大陆,国语,2003,无间道2,暗战,黑社会,门徒,英雄本色,窃听风云,寒战,枪火,教父3,新警察故事
86,真实的谎言 True Lies,詹姆斯·卡梅,阿诺·施瓦辛格,杰米·李·柯蒂斯,汤姆·阿诺德,喜剧,动作,惊悚,美国,英语,1994,生死时速,勇闯夺命岛,空军一号,断箭,空中监狱,碟中谍,国家公敌,007之黄金眼,虎胆龙威,蒸发密令
87,孤儿怨 Orphan,佐米·希尔,维拉·法米加,彼得·萨斯加德,伊莎贝拉·弗尔曼,悬疑,惊悚,恐怖,美国,英语,2009,死寂,招魂,闪灵,万能钥匙,小岛惊魂,寂静岭,恐怖游轮,死神来了,潜伏,鬼影
88,目击者之追凶 目擊者,程伟,庄凯勋,许玮甯,柯佳嬿,悬疑,惊悚,犯罪,中国台湾,国语,2017,看不见的客人,特工,网络谜踪,神探,蒙太奇,利刃出鞘,杀人回忆,心迷宫,我是谁：没有绝对安全的系统,非常嫌疑犯
89,侏罗纪公园 Jurassic Park,史蒂文·斯皮尔伯,山姆·尼尔,劳拉·邓恩,杰夫·高布伦,科幻,惊悚,冒险,美国,英语,1993,侏罗纪公园2：失落的世界,变形金刚,终结者,E.T.外星人,我是传奇,我，机器人,黑客帝国2：重装上阵,独立日,第九区,X战警
90,猛龙过江 猛龍過江,李小,李小龙,苗可秀,查克·诺瑞斯,剧情,喜剧,动作,中国香港,国语,1972,精武门,龙争虎斗,唐山大兄,死亡游戏,给爸爸的信,醉拳,红番区,中南海保镖,A计划,我是谁
91,"我，机器人 I, Robot",亚历克斯·普罗亚,威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克,动作,科幻,悬疑,美国,英语,2004,我是传奇,黑客帝国2：重装上阵,终结者,变形金刚,第五元素,独立日,第九区,黑衣人,少数派报告,侏罗纪公园
