,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,剧情,犯罪,unknown,美国,英语,1994,阿甘正传,当幸福来敲门,三傻大闹宝莱坞,摔跤吧！爸爸,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,死亡诗社,美丽心灵
1,控方证人 Witness for the Prosecution,比利·怀尔,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,美国,英语,1957,看不见的客人,控方证人,记忆碎片,禁闭岛,电话谋杀案,十二怒汉,追随,致命魔术,非常嫌疑犯,利刃出鞘
2,这个杀手不太冷 Léon,吕克·贝,让·雷诺,娜塔莉·波特曼,加里·奥德曼,剧情,动作,犯罪,法国,法语,1994,罗马假日,泰坦尼克号,恋恋笔记本,爱在黎明破晓前,重庆森林,剪刀手爱德华,猫鼠游戏,天使爱美丽,怦然心动,傲慢与偏见
3,无间道 無間道,刘伟,刘德华,梁朝伟,黄秋生,剧情,惊悚,犯罪,中国香港,国语,2002,无间道2,英雄本色,猫鼠游戏,教父,美国往事,新世界,无双,暗战,纵横四海,低俗小说
4,教父 The Godfather,弗朗西斯·福特·科波,马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,剧情,犯罪,unknown,美国,英语,1972,教父2,美国往事,猫鼠游戏,无间道,低俗小说,英雄本色,上帝之城,黑社会,枪火,两杆大烟枪
5,教父2 The Godfather: Part II,弗朗西斯·福特·科波,阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,剧情,犯罪,unknown,美国,英语,1974,教父3,美国往事,猫鼠游戏,低俗小说,无间道,爱尔兰人,英雄本色,上帝之城,黑社会,枪火
6,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,美国,英语,2008,蝙蝠侠：黑暗骑士崛起,黑客帝国,猫鼠游戏,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,盗梦空间,美国队长2,变形金刚
7,美国往事 Once Upon a Time in America,赛尔乔·莱昂,罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文,剧情,犯罪,unknown,美国,英语,1984,教父2,好家伙,低俗小说,上帝之城,爱尔兰人,枪火,黑社会,英雄本色,无间道,赌城风云
8,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯,莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,剧情,传记,犯罪,美国,英语,2002,华尔街之狼,七宗罪,杀人回忆,熔炉,血钻,恐怖直播,小丑,沉默的羔羊,蝙蝠侠：黑暗骑士,教父
9,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里,杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,剧情,喜剧,犯罪,英国,英语,1998,疯狂的石头,低俗小说,偷拐抢骗,让子弹飞,摩登时代,荒蛮故事,射雕英雄传之东成西就,布达佩斯大饭店,九品芝麻官,被解救的姜戈
10,控方证人 Witness for the Prosecution,艾伦·吉布,拉尔夫·理查德森,黛博拉·蔻儿,博·布里奇斯,剧情,悬疑,犯罪,美国,英语,1982,控方证人,东方快车谋杀案,尼罗河上的惨案,十二怒汉（电视版）,看不见的客人,记忆碎片,电话谋杀案,禁闭岛,非常嫌疑犯,利刃出鞘
11,完美的世界 A Perfect World,克林特·伊斯特伍,凯文·科斯特纳,劳拉·邓恩,克林特·伊斯特伍德,剧情,犯罪,unknown,美国,英语,1993,猫鼠游戏,末路狂花,杀人回忆,血钻,七宗罪,熔炉,恐怖直播,可可西里,非常嫌疑犯,上帝之城
12,无间道(正序版),刘伟,刘德华,梁朝伟,黎明,剧情,犯罪,unknown,中国香港,国语,2006,无间道3：终极无间,暗战,英雄本色,门徒,黑社会,古惑仔之人在江湖,新警察故事,窃听风云,黑金,五亿探长雷洛传1：雷老虎
13,教父3 The Godfather: Part III,弗朗西斯·福特·科波,阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔,剧情,犯罪,unknown,美国,英语,1990,教父2,美国往事,猫鼠游戏,爱尔兰人,英雄本色,无间道2,上帝之城,低俗小说,新世界,黑社会
14,上帝之城 Cidade de Deus,费尔南多·梅里尔,亚历桑德雷·罗德里格斯,莱安德鲁·菲尔米诺,菲利佩·哈根森,剧情,犯罪,unknown,巴西,葡萄牙语,2002,美国往事,落水狗,教父3,猫鼠游戏,搏击俱乐部,好家伙,低俗小说,发条橙,罪恶之城,出租车司机
15,偷自行车的人 Ladri di biciclette,维托里奥·德西,兰贝托·马乔拉尼,恩佐·斯泰奥拉,莉安拉·卡雷尔,剧情,犯罪,unknown,意大利,意大利语,1948,处女泉,扒手,法外之徒,杀手,雌雄大盗,精疲力尽,热天午后,末路狂花,东京物语,西部往事
16,沉默的羔羊 The Silence of the Lambs,乔纳森·戴,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,剧情,惊悚,犯罪,美国,英语,1991,七宗罪,致命ID,恐怖游轮,禁闭岛,汉尼拔,闪灵,记忆碎片,杀人回忆,第六感,电锯惊魂
17,低俗小说 Pulp Fiction,昆汀·塔伦蒂,约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫,剧情,喜剧,犯罪,美国,英语,1994,两杆大烟枪,落水狗,被解救的姜戈,疯狂的石头,让子弹飞,无耻混蛋,美国往事,教父,荒蛮故事,八恶人
18,杀人回忆 살인의 추억,奉俊,宋康昊,金相庆,金雷夏,剧情,动作,悬疑,韩国,韩语,2003,看不见的客人,恐怖直播,记忆碎片,七宗罪,禁闭岛,控方证人,致命ID,猫鼠游戏,沉默的羔羊,追击者
19,可可西里,陆,多布杰,张垒,奇道,剧情,犯罪,unknown,中国大陆,国语,2004,猫鼠游戏,杀人回忆,七宗罪,血钻,熔炉,香水,上帝之城,恐怖直播,无人区,牯岭街少年杀人事件
20,牯岭街少年杀人事件 牯嶺街少年殺人事件,杨德,张震,杨静怡,张国柱,剧情,犯罪,unknown,中国台湾,国语,1991,末路狂花,杀人回忆,上帝之城,七宗罪,出租车司机,沉默的羔羊,三块广告牌,教父3,心迷宫,低俗小说
21,新世界 신세계,朴勋,李政宰,崔岷植,黄政民,剧情,犯罪,unknown,韩国,韩语,2013,卑劣的街头,猫鼠游戏,黄海,与犯罪的战争：坏家伙的全盛时代,无间道2,教父2,局内人,黑社会,上帝之城,英雄本色
22,绿里奇迹 The Green Mile,弗兰克·德拉邦,汤姆·汉克斯,大卫·摩斯,迈克·克拉克·邓肯,剧情,悬疑,犯罪,美国,英语,1999,加勒比海盗,哈利·波特与密室,大鱼,指环王1：护戒使者,霍比特人1：意外之旅,少年派的奇幻漂流,致命魔术,本杰明·巴顿奇事,倩女幽魂,青蛇
23,末路狂花 Thelma &amp; Louise,雷德利·斯科,吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔,剧情,惊悚,犯罪,美国,英语,1991,猫鼠游戏,发条橙,出租车司机,搏击俱乐部,上帝之城,老无所依,落水狗,芝加哥,杀死比尔,香水
24,功夫,周星,周星驰,元秋,元华,喜剧,动作,犯罪,中国大陆,国语,2004,九品芝麻官,唐伯虎点秋香,国产凌凌漆,少林足球,食神,射雕英雄传之东成西就,逃学威龙,喜剧之王,鹿鼎记,整蛊专家
25,追随 Following,克里斯托弗·诺,杰里米·西奥伯德,亚历克斯·霍,露西·拉塞尔,悬疑,惊悚,犯罪,英国,英语,1998,记忆碎片,非常嫌疑犯,控方证人,大卫·戈尔的一生,穆赫兰道,致命魔术,禁闭岛,一级恐惧,惊魂记,看不见的客人
26,看不见的客人 Contratiempo,奥里奥尔·保,马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,剧情,悬疑,惊悚,西班牙,西班牙语,2016,控方证人,禁闭岛,利刃出鞘,记忆碎片,致命魔术,网络谜踪,误杀,消失的爱人,杀人回忆,七宗罪
27,洞 Le trou,雅克·贝,马克·米歇尔,吉恩·凯乐蒂,菲利普·勒鲁瓦,剧情,惊悚,犯罪,法国,法语,1960,杀手,热天午后,独行杀手,电话谋杀案,骗中骗,追随,M就是凶手,洛城机密,双重赔偿,非常嫌疑犯
28,七宗罪 Se7en,大卫·芬,摩根·弗里曼,布拉德·皮特,凯文·史派西,剧情,悬疑,惊悚,美国,英语,1995,记忆碎片,禁闭岛,沉默的羔羊,致命ID,看不见的客人,杀人回忆,搏击俱乐部,非常嫌疑犯,恐怖游轮,猫鼠游戏
29,纵横四海 緃横四海,吴宇,周润发,张国荣,钟楚红,剧情,喜剧,动作,中国香港,国语,1991,英雄本色,射雕英雄传之东成西就,赌神,功夫,九品芝麻官,唐伯虎点秋香,国产凌凌漆,喜剧之王,鹿鼎记,大话西游之月光宝盒
30,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺,克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,剧情,动作,科幻,美国,英语,2012,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,终结者2：审判日,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,盗梦空间
31,芝加哥 Chicago,罗伯·马歇,泰雅·迪格斯,凯瑟琳·泽塔-琼斯,蕾妮·齐薇格,喜剧,歌舞,犯罪,美国,英语,2002,猫鼠游戏,末路狂花,悲惨世界：25周年纪念演唱会,海上钢琴师,雨中曲,歌厅,天才瑞普利,摇滚莫扎特,波西米亚狂想曲,音乐之声
32,荒蛮故事 Relatos salvajes,达米安·斯兹弗,达里奥·格兰迪内蒂,玛丽娅·玛努尔,莫妮卡·比利亚,剧情,喜剧,犯罪,阿根廷,西班牙语,2014,疯狂的石头,两杆大烟枪,大佛普拉斯,布达佩斯大饭店,低俗小说,让子弹飞,巴斯特·斯克鲁格斯的歌谣,驴得水,杰出公民,被解救的姜戈
33,枪火 鎗火,杜琪,吴镇宇,任达华,黄秋生,剧情,动作,犯罪,中国香港,国语,1999,黑社会,放·逐,暗花,黑金,机动部队,无间道2,英雄本色,跛豪,美国往事,教父2
34,罗生门 羅生門,黑泽,三船敏郎,京町子,森雅之,剧情,悬疑,犯罪,日本,日语,1950,控方证人,记忆碎片,后窗,穆赫兰道,惊魂记,追随,禁闭岛,西北偏北,十二怒汉,杀人回忆
35,爱尔兰人 The Irishman,马丁·斯科塞,罗伯特·德尼罗,阿尔·帕西诺,乔·佩西,剧情,传记,犯罪,美国,英语,2019,好家伙,美国往事,教父3,猫鼠游戏,绅士们,极速车王,新世界,黑社会,华尔街之狼,赌城风云
36,电话谋杀案 Dial M for Murder,阿尔弗雷德·希区柯,雷·米兰德,格蕾丝·凯利,罗伯特·卡明斯,悬疑,惊悚,犯罪,美国,英语,1954,后窗,西北偏北,夺魂索,爱德华大夫,迷魂记,贵妇失踪记,火车怪客,惊魂记,三十九级台阶,深闺疑云
37,恐怖分子 恐怖份子,杨德,缪骞人,李立群,金士杰,剧情,犯罪,unknown,中国台湾,国语,1986,法外之徒,处女泉,杀手,扒手,独立时代,南国再见，南国,精疲力尽,牯岭街少年杀人事件,海滩的一天,热天午后
38,小丑 Joker,托德·菲利普,华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,剧情,惊悚,犯罪,美国,英语,2019,猫鼠游戏,杀人回忆,沉默的羔羊,蝙蝠侠：黑暗骑士,七宗罪,熔炉,搏击俱乐部,恐怖直播,三块广告牌,爱尔兰人
39,消失的爱人 Gone Girl,大卫·芬,本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯,剧情,悬疑,惊悚,美国,英语,2014,看不见的客人,禁闭岛,记忆碎片,致命ID,七宗罪,控方证人,恐怖游轮,杀人回忆,沉默的羔羊,利刃出鞘
40,心迷宫,忻钰,霍卫民,王笑天,罗芸,剧情,悬疑,犯罪,中国大陆,国语,2014,看不见的客人,暴裂无声,控方证人,杀人回忆,记忆碎片,利刃出鞘,恐怖直播,禁闭岛,追随,网络谜踪
41,神探夏洛克：最后的誓言 Sherlock: His Last Vow,尼克·赫,本尼迪克特·康伯巴奇,马丁·弗瑞曼,鲁珀特·格雷夫斯,剧情,悬疑,犯罪,英国,英语,2014,神探夏洛克：可恶的新娘,大侦探福尔摩斯2：诡影游戏,利刃出鞘,看不见的客人,控方证人,记忆碎片,禁闭岛,致命魔术,网络谜踪,惊天魔盗团
42,无间道2 無間道II,刘伟,陈冠希,余文乐,曾志伟,剧情,惊悚,犯罪,中国香港,国语,2003,无间道3：终极无间,英雄本色,黑社会,暗战,枪火,教父3,门徒,新世界,新警察故事,猫鼠游戏
43,"三块广告牌 Three Billboards Outside Ebbing, Missouri",马丁·麦克唐,弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔,剧情,犯罪,unknown,美国,英语,2017,猫鼠游戏,看不见的客人,心迷宫,利刃出鞘,杀人回忆,两杆大烟枪,大佛普拉斯,荒蛮故事,低俗小说,调音师
44,小偷家族 万引き家族,是枝裕,中川雅也,安藤樱,松冈茉优,剧情,家庭,犯罪,日本,日语,2018,步履不停,饮食男女,如父如子,海街日记,比海更深,82年生的金智英,海边的曼彻斯特,婚姻故事,寻梦环游记,阳光普照
45,恐怖直播 더 테러 라이브,金秉,河正宇,李璟荣,全慧珍,剧情,悬疑,犯罪,韩国,韩语,2013,杀人回忆,看不见的客人,猫鼠游戏,记忆碎片,七宗罪,控方证人,追击者,致命ID,禁闭岛,心迷宫
46,记忆碎片 Memento,克里斯托弗·诺,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,剧情,悬疑,惊悚,美国,英语,2000,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,蝴蝶效应,控方证人
47,洛城机密 L.A. Confidential,柯蒂斯·汉,凯文·史派西,罗素·克劳,盖·皮尔斯,剧情,悬疑,惊悚,美国,英语,1997,非常嫌疑犯,王牌对王牌,一级恐惧,大卫·戈尔的一生,追随,火柴人,记忆碎片,控方证人,天才瑞普利,老无所依
48,十二怒汉（电视版） Studio One: Twelve Angry Men,富兰克林·沙夫,罗伯特·卡明斯,法兰奇·汤恩,爱德华·阿诺德,剧情,悬疑,犯罪,美国,英语,1954,控方证人,十二怒汉,非常嫌疑犯,记忆碎片,看不见的客人,追随,禁闭岛,大卫·戈尔的一生,致命魔术,一级恐惧
49,战争之王 Lord of War,安德鲁·尼科,尼古拉斯·凯奇,布里吉特·莫伊纳汉,杰瑞德·莱托,剧情,犯罪,unknown,法国,法语,2005,拯救大兵瑞恩,黑鹰坠落,兵临城下,风语者,拆弹部队,集结号,钢琴家,1917,全金属外壳,血战钢锯岭
50,盲山,李,黄璐,杨幼安,贺运乐,剧情,犯罪,unknown,中国大陆,国语,2007,猫鼠游戏,杀人回忆,熔炉,可可西里,恐怖直播,追击者,暴裂无声,黄海,心迷宫,烈日灼心
51,四百击 Les quatre cents coups,弗朗索瓦·特吕,让-皮埃尔·利奥德,克莱尔·莫里耶,阿尔贝·雷米,剧情,犯罪,unknown,法国,法语,1959,法外之徒,处女泉,扒手,精疲力尽,偷自行车的人,杀手,狂人皮埃罗,钱,雌雄大盗,乡愁
