,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,鹬 Piper,艾伦·巴利拉,unknown,unknown,unknown,动画,短片,unknown,美国,英语,2016,雇佣人生,回忆积木小屋,三个和尚,大闹天宫,月神,小蝌蚪找妈妈,失物招领,天空之城,幽灵公主,玩具总动员
1,回忆积木小屋 つみきのいえ,加藤久仁生,unknown,unknown,unknown,剧情,动画,短片,日本,日语,2008,父与女,某个旅人的日记,雇佣人生,平衡,精神分裂症,苍蝇一分钟的生命,天空之城,暴力云与送子鹳,远在天边,幽灵公主
2,山水情,特,unknown,unknown,unknown,动画,短片,unknown,中国大陆,国语,1988,牧笛,鹿铃,小蝌蚪找妈妈,九色鹿,三个和尚,骄傲的将军,老人与海,崂山道士,鹬蚌相争,超级肥皂
3,调音师(短片) L'accordeur,奥利维耶·特雷,格雷戈瓦·勒普兰斯-林盖,达尼埃莱·莱布伦,格莱高利·嘉德波瓦,剧情,悬疑,惊悚,法国,法语,2010,记忆碎片,禁闭岛,恐怖游轮,穆赫兰道,看不见的客人,致命ID,追随,控方证人,惊魂记,第六感
4,雇佣人生 El Empleo,Santiago Grass,unknown,unknown,unknown,剧情,喜剧,动画,阿根廷,西班牙语,2008,回忆积木小屋,精神分裂症,平衡,苍蝇一分钟的生命,无翼鸟,父与女,三个和尚,小蝌蚪找妈妈,月神,远在天边
5,父与女 Father and Daughter,迈克尔·度德威,unknown,unknown,unknown,剧情,动画,短片,英国,英语,2001,回忆积木小屋,平衡,雇佣人生,精神分裂症,老人与海,鸟！鸟！鸟！,棋逢敌手,苍蝇一分钟的生命,堕落的艺术,无翼鸟
6,暴力云与送子鹳 Partly Cloudy,彼得·,Tony Fucile,Lori Richardson,unknown,喜剧,动画,短片,美国,英语,2009,鸟！鸟！鸟！,魔术师和兔子,电焊工波力,回忆积木小屋,棋逢敌手,绑架课,光杆乐队,小蝌蚪找妈妈,三个和尚,松鼠，坚果和时间机器
7,火车进站 L'arrivée d'un train à La Ciotat,奥古斯特·卢米埃,unknown,unknown,unknown,纪录片,短片,unknown,法国,法语,1896,工厂大门,水浇园丁,婴儿的午餐,拆墙,火车大劫案,一条安达鲁狗,朗德海花园场景,出港的船,一个美国消防员的生活,祖母的放大镜
8,百花深处,陈凯,冯远征,耿乐,unknown,喜剧,短片,unknown,中国大陆,国语,2002,安魂曲,一条安达鲁狗,水浇园丁,工厂大门,红气球,火车进站,时间代码,十分钟年华老去：小号篇,口吃,宵禁
9,月球旅行记 Le voyage dans la lune,乔治·梅里,弗朗索瓦·拉勒芒,朱勒-尤金·乐可利,维克多·安德烈,喜剧,动作,科幻,法国,法语,1902,一条安达鲁狗,火车进站,大都会,工厂大门,水浇园丁,天文学家之梦,堤,一个美国消防员的生活,祖母的放大镜,间奏曲
