,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
0,盗梦空间 Inception,克里斯托弗·诺,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,美国,英语,2010,致命魔术,黑客帝国,源代码,蝴蝶效应,阿凡达,星际穿越,禁闭岛,记忆碎片,看不见的客人,头号玩家
1,星际穿越 Interstellar,克里斯托弗·诺,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,剧情,科幻,冒险,美国,英语,2014,盗梦空间,黑客帝国,阿凡达,火星救援,头号玩家,源代码,钢铁侠,复仇者联盟,X战警：逆转未来,明日边缘
2,楚门的世界 The Truman Show,彼得·威,金·凯瑞,劳拉·琳妮,艾德·哈里斯,剧情,科幻,unknown,美国,英语,1998,唐伯虎点秋香,九品芝麻官,三傻大闹宝莱坞,功夫,射雕英雄传之东成西就,喜剧之王,大话西游之月光宝盒,疯狂动物城,盗梦空间,星际穿越
3,机器人总动员 WALL·E,安德鲁·斯坦,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,科幻,动画,冒险,美国,英语,2008,天空之城,哈尔的移动城堡,大闹天宫,幽灵公主,风之谷,玩具总动员,怪兽电力公司,冰川时代,飞屋环游记,神偷奶爸
4,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,美国,英语,2008,蝙蝠侠：黑暗骑士崛起,黑客帝国,猫鼠游戏,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,盗梦空间,美国队长2,变形金刚
5,黑客帝国 The Matrix,莉莉·沃卓斯,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,动作,科幻,unknown,美国,英语,1999,黑客帝国3：矩阵革命,终结者2：审判日,阿凡达,盗梦空间,这个男人来自地球,变形金刚,源代码,E.T.外星人,2001太空漫游,钢铁侠
6,红辣椒 パプリカ,今,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,日本,日语,2006,千年女优,未麻的部屋,东京教父,幽灵公主,天空之城,大闹天宫,风之谷,攻壳机动队,哈尔的移动城堡,回忆三部曲
7,攻壳机动队 攻殻機動隊,押井,田中敦子,大塚明夫,山寺宏一,动作,科幻,动画,日本,日语,1995,攻壳机动队2：无罪,回忆三部曲,阿基拉,红辣椒,千年女优,新世纪福音战士剧场版：Air/...,福音战士新剧场版：序,东京教父,星际牛仔：天国之门,人狼
8,黑镜：圣诞特别篇 Black Mirror: White Christmas,卡尔·蒂贝,乔恩·哈姆,拉菲·斯波,奥娜·卓别林,剧情,科幻,惊悚,英国,英语,2014,这个男人来自地球,唐顿庄园：2011圣诞特别篇,月球,黑客帝国,降临,2001太空漫游,彗星来的那一夜,源代码,银翼杀手2049,机械姬
9,攻壳机动队2：无罪 攻殻機動隊2 イノセンス,押井,田中敦子,大塚明夫,山寺宏一,剧情,科幻,动画,日本,日语,2004,攻壳机动队,回忆三部曲,阿基拉,星际牛仔：天国之门,福音战士新剧场版：序,新世纪福音战士剧场版：Air/...,人狼,空中杀手,黑客帝国动画版,千年女优
10,蝴蝶效应 The Butterfly Effect,埃里克·布雷,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,美国,英语,2004,禁闭岛,致命魔术,盗梦空间,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪
11,超感猎杀：完结特别篇 Sense8 Finale Special,拉娜·沃卓斯,裴斗娜,杰米·克莱顿,蒂娜·德赛,剧情,科幻,同性,美国,英语,2018,超感猎杀：圣诞特别篇,每分钟120击,自由坠落,上帝之国,寻：电影版,金发男子,燃烧女子的肖像,银翼杀手2049,爱你，西蒙,降临
12,2001太空漫游 2001: A Space Odyssey,斯坦利·库布里,凯尔·杜拉,加里·洛克伍德,威廉姆·西尔维斯特,科幻,惊悚,冒险,英国,英语,1968,大都会,银翼杀手,这个男人来自地球,黑客帝国,超时空接触,回到未来,E.T.外星人,月球,第九区,终结者2：审判日
13,阿凡达 Avatar,詹姆斯·卡梅,萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗,动作,科幻,冒险,美国,英语,2009,黑客帝国,盗梦空间,变形金刚,星际穿越,终结者2：审判日,头号玩家,E.T.外星人,钢铁侠,第九区,源代码
14,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,克里斯托弗·诺,克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,剧情,动作,科幻,美国,英语,2012,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,终结者2：审判日,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,盗梦空间
15,黑客帝国3：矩阵革命 The Matrix Revolutions,拉娜·沃卓斯,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,动作,科幻,unknown,美国,英语,2003,黑客帝国2：重装上阵,终结者2：审判日,我，机器人,这个男人来自地球,变形金刚,阿凡达,E.T.外星人,第九区,钢铁侠,2001太空漫游
16,终结者2：审判日 Terminator 2: Judgment Day,詹姆斯·卡梅,阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆,动作,科幻,unknown,美国,英语,1991,终结者,黑客帝国3：矩阵革命,我，机器人,变形金刚,E.T.外星人,阿凡达,第九区,钢铁侠,我是传奇,侏罗纪公园
17,千钧一发 Gattaca,安德鲁·尼科,伊桑·霍克,乌玛·瑟曼,裘德·洛,剧情,科幻,惊悚,美国,英语,1997,这个男人来自地球,超时空接触,黑客帝国3：矩阵革命,2001太空漫游,月球,十二猴子,回到未来,源代码,第九区,异次元骇客
18,头号玩家 Ready Player One,史蒂文·斯皮尔伯,泰伊·谢里丹,奥利维亚·库克,本·门德尔森,动作,科幻,冒险,美国,英语,2018,黑客帝国,阿凡达,星际穿越,钢铁侠,火星救援,盗梦空间,复仇者联盟3：无限战争,美国队长3,流浪地球,银翼杀手2049
19,超能陆战队 Big Hero 6,唐·霍,斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,喜剧,动作,科幻,美国,英语,2014,神偷奶爸,怪兽电力公司,冰川时代,天空之城,大闹天宫,哈尔的移动城堡,疯狂动物城,驯龙高手,唐伯虎点秋香,无敌破坏王
20,疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,乔治·米,汤姆·哈迪,查理兹·塞隆,尼古拉斯·霍尔特,动作,科幻,冒险,澳大利亚,英语,2015,黑客帝国3：矩阵革命,终结者2：审判日,头号玩家,明日边缘,谍影重重3,火星救援,杀死比尔,X战警：逆转未来,阿凡达,蝙蝠侠：黑暗骑士崛起
21,大都会 Metropolis,弗里茨·,阿弗莱德·阿贝尔,古斯塔夫·佛力施,布里吉特·赫尔姆,剧情,科幻,unknown,德国,德语,1927,2001太空漫游,飞向太空,银翼杀手,错位,阿尔法城,潜行者,妙想天开,超时空接触,回到未来,这个男人来自地球
22,人工智能 Artificial Intelligence: AI,史蒂文·斯皮尔伯,海利·乔·奥斯蒙,弗兰西丝·奥康纳,山姆·洛巴兹,剧情,科幻,unknown,美国,英语,2001,E.T.外星人,这个男人来自地球,黑客帝国3：矩阵革命,2001太空漫游,第九区,阿凡达,终结者2：审判日,我，机器人,回到未来,源代码
23,黑客帝国2：重装上阵 The Matrix Reloaded,拉娜·沃卓斯,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,动作,科幻,unknown,美国,英语,2003,黑客帝国3：矩阵革命,终结者2：审判日,我，机器人,变形金刚,钢铁侠,阿凡达,第九区,我是传奇,2001太空漫游,回到未来
24,回到未来 Back to the Future,罗伯特·泽米吉,迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森,喜剧,科幻,冒险,美国,英语,1985,回到未来2,这个男人来自地球,超时空接触,E.T.外星人,黑客帝国2：重装上阵,2001太空漫游,终结者2：审判日,第九区,黑衣人,我，机器人
25,回忆三部曲 Memories,森本晃,矶部勉,山寺宏一,高岛雅罗,科幻,动画,惊悚,日本,日语,1995,她的回忆,阿基拉,攻壳机动队,心理游戏,千年女优,大都会,人狼,东京教父,迷宫物语,天才嘉年华
26,蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,鲍勃·佩尔西凯,沙梅克·摩尔,杰克·约翰逊,海莉·斯坦菲尔德,动作,科幻,动画,美国,英语,2018,大闹天宫,玩具总动员,天空之城,心灵奇旅,幽灵公主,哈尔的移动城堡,超人总动员,钢铁侠,复仇者联盟3：无限战争,美国队长2
27,穿越时空的少女 時をかける少女,细田,仲里依纱,石田卓也,板仓光隆,剧情,爱情,科幻,日本,日语,2006,夏日大作战,幽灵公主,天空之城,风之谷,哈尔的移动城堡,魔女宅急便,猫的报恩,千年女优,红猪,红辣椒
