link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/1292052/,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,剧情,犯罪,unknown,unknown,美国,unknown,unknown,unknown,1994,"['阿甘正传', 'https://movie.douban.com/subject/1292720/?from=subject-page']","['当幸福来敲门', 'https://movie.douban.com/subject/1849031/?from=subject-page']","['三傻大闹宝莱坞', 'https://movie.douban.com/subject/3793023/?from=subject-page']","['摔跤吧！爸爸', 'https://movie.douban.com/subject/26387939/?from=subject-page']","['贫民窟的百万富翁', 'https://movie.douban.com/subject/2209573/?from=subject-page']","['荒岛余生', 'https://movie.douban.com/subject/1298653/?from=subject-page']","['心灵捕手', 'https://movie.douban.com/subject/1292656/?from=subject-page']","['国王的演讲', 'https://movie.douban.com/subject/4023638/?from=subject-page']","['死亡诗社', 'https://movie.douban.com/subject/1291548/?from=subject-page']","['美丽心灵', 'https://movie.douban.com/subject/1306029/?from=subject-page']"
https://movie.douban.com/subject/1291546/,霸王别姬,陈凯,张国荣,张丰毅,巩俐,剧情,爱情,同性,unknown,中国大陆,中国香港,unknown,unknown,1993,"['春光乍泄', 'https://movie.douban.com/subject/1292679/?from=subject-page']","['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['花样年华', 'https://movie.douban.com/subject/1291557/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['断背山', 'https://movie.douban.com/subject/1418834/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['甜蜜蜜', 'https://movie.douban.com/subject/1305164/?from=subject-page']","['请以你的名字呼唤我', 'https://movie.douban.com/subject/26799731/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']"
https://movie.douban.com/subject/1292063/,美丽人生 La vita è bella,罗伯托·贝尼,罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,剧情,喜剧,爱情,战争,意大利,unknown,unknown,unknown,1997,"['辛德勒的名单', 'https://movie.douban.com/subject/1295124/?from=subject-page']","['穿条纹睡衣的男孩', 'https://movie.douban.com/subject/3008247/?from=subject-page']","['拯救大兵瑞恩', 'https://movie.douban.com/subject/1292849/?from=subject-page']","['钢琴家', 'https://movie.douban.com/subject/1296736/?from=subject-page']","['1917', 'https://movie.douban.com/subject/30252495/?from=subject-page']","['血战钢锯岭', 'https://movie.douban.com/subject/26325320/?from=subject-page']","['乱世佳人', 'https://movie.douban.com/subject/1300267/?from=subject-page']","['敦刻尔克', 'https://movie.douban.com/subject/26607693/?from=subject-page']","['波斯语课', 'https://movie.douban.com/subject/30466931/?from=subject-page']","['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']"
https://movie.douban.com/subject/1295124/,辛德勒的名单 Schindler's List,史蒂文·斯皮尔伯,连姆·尼森,本·金斯利,拉尔夫·费因斯,剧情,历史,战争,unknown,美国,unknown,unknown,unknown,1993,"['拯救大兵瑞恩', 'https://movie.douban.com/subject/1292849/?from=subject-page']","['穿条纹睡衣的男孩', 'https://movie.douban.com/subject/3008247/?from=subject-page']","['钢琴家', 'https://movie.douban.com/subject/1296736/?from=subject-page']","['血战钢锯岭', 'https://movie.douban.com/subject/26325320/?from=subject-page']","['1917', 'https://movie.douban.com/subject/30252495/?from=subject-page']","['敦刻尔克', 'https://movie.douban.com/subject/26607693/?from=subject-page']","['美丽人生', 'https://movie.douban.com/subject/1292063/?from=subject-page']","['黑鹰坠落', 'https://movie.douban.com/subject/1291824/?from=subject-page']","['兵临城下', 'https://movie.douban.com/subject/1301726/?from=subject-page']","['卢旺达饭店', 'https://movie.douban.com/subject/1291822/?from=subject-page']"
https://movie.douban.com/subject/1296141/,控方证人 Witness for the Prosecution,比利·怀尔,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,unknown,美国,unknown,unknown,unknown,1957,"['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/5294851/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['十二怒汉', 'https://movie.douban.com/subject/1293182/?from=subject-page']","['追随', 'https://movie.douban.com/subject/1397546/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['利刃出鞘', 'https://movie.douban.com/subject/30318116/?from=subject-page']"
https://movie.douban.com/subject/1292720/,阿甘正传 Forrest Gump,罗伯特·泽米吉,汤姆·汉克斯,罗宾·怀特,加里·西尼斯,剧情,爱情,unknown,unknown,美国,unknown,unknown,unknown,1994,"['肖申克的救赎', 'https://movie.douban.com/subject/1292052/?from=subject-page']","['当幸福来敲门', 'https://movie.douban.com/subject/1849031/?from=subject-page']","['三傻大闹宝莱坞', 'https://movie.douban.com/subject/3793023/?from=subject-page']","['摔跤吧！爸爸', 'https://movie.douban.com/subject/26387939/?from=subject-page']","['贫民窟的百万富翁', 'https://movie.douban.com/subject/2209573/?from=subject-page']","['荒岛余生', 'https://movie.douban.com/subject/1298653/?from=subject-page']","['心灵捕手', 'https://movie.douban.com/subject/1292656/?from=subject-page']","['国王的演讲', 'https://movie.douban.com/subject/4023638/?from=subject-page']","['死亡诗社', 'https://movie.douban.com/subject/1291548/?from=subject-page']","['美丽心灵', 'https://movie.douban.com/subject/1306029/?from=subject-page']"
https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,詹姆斯·卡梅,莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,剧情,爱情,灾难,unknown,美国,墨西哥,澳大利亚,unknown,1997,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['剪刀手爱德华', 'https://movie.douban.com/subject/1292370/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']","['怦然心动', 'https://movie.douban.com/subject/3319755/?from=subject-page']","['乱世佳人', 'https://movie.douban.com/subject/1300267/?from=subject-page']","['大话西游之大圣娶亲', 'https://movie.douban.com/subject/1292213/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']"
https://movie.douban.com/subject/1295644/,这个杀手不太冷 Léon,吕克·贝,让·雷诺,娜塔莉·波特曼,加里·奥德曼,剧情,动作,犯罪,unknown,法国,美国,unknown,unknown,1994,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['剪刀手爱德华', 'https://movie.douban.com/subject/1292370/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']","['怦然心动', 'https://movie.douban.com/subject/3319755/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']"
https://movie.douban.com/subject/1291561/,千与千寻 千と千尋の神隠し,宫崎,柊瑠美,入野自由,夏木真理,剧情,动画,奇幻,unknown,日本,unknown,unknown,unknown,2001,"['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['哈尔的移动城堡', 'https://movie.douban.com/subject/1308807/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['魔女宅急便', 'https://movie.douban.com/subject/1307811/?from=subject-page']","['龙猫', 'https://movie.douban.com/subject/1291560/?from=subject-page']","['红猪', 'https://movie.douban.com/subject/1291838/?from=subject-page']","['怪兽电力公司', 'https://movie.douban.com/subject/1291579/?from=subject-page']","['神偷奶爸', 'https://movie.douban.com/subject/3287562/?from=subject-page']"
https://movie.douban.com/subject/3541415/,盗梦空间 Inception,克里斯托弗·诺,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,冒险,美国,英国,unknown,unknown,2010,"['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['星际穿越', 'https://movie.douban.com/subject/1889243/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['头号玩家', 'https://movie.douban.com/subject/4920389/?from=subject-page']"
