link,title,director0,director1,director2,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,lang1,lang2,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/1296141/,控方证人 Witness for the Prosecution,比利·怀尔,unknown,unknown,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,unknown,美国,unknown,unknown,unknown,unknown,unknown,1957,"['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/5294851/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['十二怒汉', 'https://movie.douban.com/subject/1293182/?from=subject-page']","['追随', 'https://movie.douban.com/subject/1397546/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['利刃出鞘', 'https://movie.douban.com/subject/30318116/?from=subject-page']"
https://movie.douban.com/subject/3541415/,盗梦空间 Inception,克里斯托弗·诺,unknown,unknown,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,冒险,美国,英国,unknown,unknown,unknown,unknown,2010,"['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['星际穿越', 'https://movie.douban.com/subject/1889243/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['头号玩家', 'https://movie.douban.com/subject/4920389/?from=subject-page']"
https://movie.douban.com/subject/1900841/,窃听风暴 Das Leben der Anderen,弗洛里安·亨克尔·冯·多纳斯马尔,unknown,unknown,乌尔里希·穆埃,马蒂娜·格德克,塞巴斯蒂安·科赫,剧情,悬疑,unknown,unknown,德国,unknown,unknown,unknown,unknown,unknown,2006,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['追随', 'https://movie.douban.com/subject/1397546/?from=subject-page']","['十二怒汉', 'https://movie.douban.com/subject/1293182/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']"
https://movie.douban.com/subject/5294851/,控方证人 Witness for the Prosecution,艾伦·吉布,unknown,unknown,拉尔夫·理查德森,黛博拉·蔻儿,博·布里奇斯,剧情,悬疑,犯罪,unknown,美国,英国,unknown,unknown,unknown,unknown,1982,"['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['东方快车谋杀案', 'https://movie.douban.com/subject/1292699/?from=subject-page']","['尼罗河上的惨案', 'https://movie.douban.com/subject/1302100/?from=subject-page']","['十二怒汉（电视版）', 'https://movie.douban.com/subject/10583098/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['利刃出鞘', 'https://movie.douban.com/subject/30318116/?from=subject-page']"
https://movie.douban.com/subject/1865703/,红辣椒 パプリカ,今,unknown,unknown,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,惊悚,日本,unknown,unknown,unknown,unknown,unknown,2006,"['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']","['未麻的部屋', 'https://movie.douban.com/subject/1395091/?from=subject-page']","['东京教父', 'https://movie.douban.com/subject/1310177/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['攻壳机动队', 'https://movie.douban.com/subject/1291936/?from=subject-page']","['哈尔的移动城堡', 'https://movie.douban.com/subject/1308807/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']"
https://movie.douban.com/subject/1292000/,搏击俱乐部 Fight Club,大卫·芬,unknown,unknown,爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,剧情,动作,悬疑,惊悚,美国,德国,意大利,unknown,unknown,unknown,1999,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['杀人回忆', 'https://movie.douban.com/subject/1300299/?from=subject-page']","['沉默的羔羊', 'https://movie.douban.com/subject/1293544/?from=subject-page']"
https://movie.douban.com/subject/1293181/,惊魂记 Psycho,阿尔弗雷德·希区柯,unknown,unknown,安东尼·博金斯,维拉·迈尔斯,约翰·加文,悬疑,惊悚,恐怖,unknown,美国,unknown,unknown,unknown,unknown,unknown,1960,"['后窗', 'https://movie.douban.com/subject/1299080/?from=subject-page']","['迷魂记', 'https://movie.douban.com/subject/1297294/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['闪灵', 'https://movie.douban.com/subject/1292225/?from=subject-page']","['西北偏北', 'https://movie.douban.com/subject/1295872/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['群鸟', 'https://movie.douban.com/subject/1310175/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['爱德华大夫', 'https://movie.douban.com/subject/1293973/?from=subject-page']","['夺魂索', 'https://movie.douban.com/subject/1301230/?from=subject-page']"
https://movie.douban.com/subject/1304920/,切腹,小林正,unknown,unknown,仲代达矢,石浜朗,岩下志麻,剧情,动作,悬疑,unknown,日本,unknown,unknown,unknown,unknown,unknown,1962,"['椿三十郎', 'https://movie.douban.com/subject/1293310/?from=subject-page']","['大菩萨岭', 'https://movie.douban.com/subject/1440164/?from=subject-page']","['夺命剑', 'https://movie.douban.com/subject/1300738/?from=subject-page']","['荒野大镖客', 'https://movie.douban.com/subject/1302522/?from=subject-page']","['用心棒', 'https://movie.douban.com/subject/1292515/?from=subject-page']","['黄昏双镖客', 'https://movie.douban.com/subject/1295586/?from=subject-page']","['侍', 'https://movie.douban.com/subject/1437432/?from=subject-page']","['影武者', 'https://movie.douban.com/subject/1303067/?from=subject-page']","['关山飞渡', 'https://movie.douban.com/subject/1298134/?from=subject-page']","['日落黄沙', 'https://movie.douban.com/subject/1296963/?from=subject-page']"
https://movie.douban.com/subject/2334904/,禁闭岛 Shutter Island,马丁·斯科塞,unknown,unknown,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,剧情,悬疑,惊悚,unknown,美国,unknown,unknown,unknown,unknown,unknown,2010,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['致命ID', 'https://movie.douban.com/subject/1297192/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['第六感', 'https://movie.douban.com/subject/1297630/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['沉默的羔羊', 'https://movie.douban.com/subject/1293544/?from=subject-page']"
https://movie.douban.com/subject/1292343/,蝴蝶效应 The Butterfly Effect,埃里克·布雷,unknown,unknown,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,惊悚,美国,加拿大,unknown,unknown,unknown,unknown,2004,"['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['彗星来的那一夜', 'https://movie.douban.com/subject/25807345/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']"
