link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/1307914/,无间道 無間道,刘伟,刘德华,梁朝伟,黄秋生,剧情,惊悚,犯罪,unknown,中国香港,unknown,unknown,unknown,2002,"['无间道2', 'https://movie.douban.com/subject/1307106/?from=subject-page']","['英雄本色', 'https://movie.douban.com/subject/1297574/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['教父', 'https://movie.douban.com/subject/1291841/?from=subject-page']","['美国往事', 'https://movie.douban.com/subject/1292262/?from=subject-page']","['新世界', 'https://movie.douban.com/subject/10437779/?from=subject-page']","['无双', 'https://movie.douban.com/subject/26425063/?from=subject-page']","['暗战', 'https://movie.douban.com/subject/1298898/?from=subject-page']","['纵横四海', 'https://movie.douban.com/subject/1295409/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']"
https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,惊悚,美国,英国,unknown,unknown,2008,"['蝙蝠侠：黑暗骑士崛起', 'https://movie.douban.com/subject/3395373/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['钢铁侠', 'https://movie.douban.com/subject/1432146/?from=subject-page']","['终结者2：审判日', 'https://movie.douban.com/subject/1291844/?from=subject-page']","['复仇者联盟', 'https://movie.douban.com/subject/1866479/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['美国队长2', 'https://movie.douban.com/subject/6390823/?from=subject-page']","['变形金刚', 'https://movie.douban.com/subject/1794171/?from=subject-page']"
https://movie.douban.com/subject/1865703/,红辣椒 パプリカ,今,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,惊悚,日本,unknown,unknown,unknown,2006,"['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']","['未麻的部屋', 'https://movie.douban.com/subject/1395091/?from=subject-page']","['东京教父', 'https://movie.douban.com/subject/1310177/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['攻壳机动队', 'https://movie.douban.com/subject/1291936/?from=subject-page']","['哈尔的移动城堡', 'https://movie.douban.com/subject/1308807/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']"
https://movie.douban.com/subject/1395091/,未麻的部屋 Perfect Blue,今,岩男润子,松本梨香,辻亲八,动画,惊悚,奇幻,unknown,日本,unknown,unknown,unknown,1997,"['红辣椒', 'https://movie.douban.com/subject/1865703/?from=subject-page']","['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']","['东京教父', 'https://movie.douban.com/subject/1310177/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']","['哪吒闹海', 'https://movie.douban.com/subject/1307315/?from=subject-page']","['心理游戏', 'https://movie.douban.com/subject/1477916/?from=subject-page']"
https://movie.douban.com/subject/1292000/,搏击俱乐部 Fight Club,大卫·芬,爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特,剧情,动作,悬疑,惊悚,美国,德国,意大利,unknown,1999,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['杀人回忆', 'https://movie.douban.com/subject/1300299/?from=subject-page']","['沉默的羔羊', 'https://movie.douban.com/subject/1293544/?from=subject-page']"
https://movie.douban.com/subject/1293181/,惊魂记 Psycho,阿尔弗雷德·希区柯,安东尼·博金斯,维拉·迈尔斯,约翰·加文,悬疑,惊悚,恐怖,unknown,美国,unknown,unknown,unknown,1960,"['后窗', 'https://movie.douban.com/subject/1299080/?from=subject-page']","['迷魂记', 'https://movie.douban.com/subject/1297294/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['闪灵', 'https://movie.douban.com/subject/1292225/?from=subject-page']","['西北偏北', 'https://movie.douban.com/subject/1295872/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['群鸟', 'https://movie.douban.com/subject/1310175/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['爱德华大夫', 'https://movie.douban.com/subject/1293973/?from=subject-page']","['夺魂索', 'https://movie.douban.com/subject/1301230/?from=subject-page']"
https://movie.douban.com/subject/25964630/,黑镜：圣诞特别篇 Black Mirror: White Christmas,卡尔·蒂贝,乔恩·哈姆,拉菲·斯波,奥娜·卓别林,剧情,科幻,惊悚,unknown,英国,unknown,unknown,unknown,2014,"['这个男人来自地球', 'https://movie.douban.com/subject/2300586/?from=subject-page']","['唐顿庄园：2011圣诞特别篇', 'https://movie.douban.com/subject/6870362/?from=subject-page']","['月球', 'https://movie.douban.com/subject/3073124/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['降临', 'https://movie.douban.com/subject/21324900/?from=subject-page']","['2001太空漫游', 'https://movie.douban.com/subject/1292226/?from=subject-page']","['彗星来的那一夜', 'https://movie.douban.com/subject/25807345/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['银翼杀手2049', 'https://movie.douban.com/subject/10512661/?from=subject-page']","['机械姬', 'https://movie.douban.com/subject/4160540/?from=subject-page']"
https://movie.douban.com/subject/2334904/,禁闭岛 Shutter Island,马丁·斯科塞,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,剧情,悬疑,惊悚,unknown,美国,unknown,unknown,unknown,2010,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['致命ID', 'https://movie.douban.com/subject/1297192/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['第六感', 'https://movie.douban.com/subject/1297630/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['沉默的羔羊', 'https://movie.douban.com/subject/1293544/?from=subject-page']"
https://movie.douban.com/subject/1292343/,蝴蝶效应 The Butterfly Effect,埃里克·布雷,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,惊悚,美国,加拿大,unknown,unknown,2004,"['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['彗星来的那一夜', 'https://movie.douban.com/subject/25807345/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']"
https://movie.douban.com/subject/1293544/,沉默的羔羊 The Silence of the Lambs,乔纳森·戴,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,剧情,惊悚,犯罪,unknown,美国,unknown,unknown,unknown,1991,"['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['致命ID', 'https://movie.douban.com/subject/1297192/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['汉尼拔', 'https://movie.douban.com/subject/1301746/?from=subject-page']","['闪灵', 'https://movie.douban.com/subject/1292225/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['杀人回忆', 'https://movie.douban.com/subject/1300299/?from=subject-page']","['第六感', 'https://movie.douban.com/subject/1297630/?from=subject-page']","['电锯惊魂', 'https://movie.douban.com/subject/1417598/?from=subject-page']"
