link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/1292052/,肖申克的救赎 The Shawshank Redemption,弗兰克·德拉邦,蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿,剧情,犯罪,unknown,unknown,美国,unknown,unknown,unknown,1994,"['阿甘正传', 'https://movie.douban.com/subject/1292720/?from=subject-page']","['当幸福来敲门', 'https://movie.douban.com/subject/1849031/?from=subject-page']","['三傻大闹宝莱坞', 'https://movie.douban.com/subject/3793023/?from=subject-page']","['摔跤吧！爸爸', 'https://movie.douban.com/subject/26387939/?from=subject-page']","['贫民窟的百万富翁', 'https://movie.douban.com/subject/2209573/?from=subject-page']","['荒岛余生', 'https://movie.douban.com/subject/1298653/?from=subject-page']","['心灵捕手', 'https://movie.douban.com/subject/1292656/?from=subject-page']","['国王的演讲', 'https://movie.douban.com/subject/4023638/?from=subject-page']","['死亡诗社', 'https://movie.douban.com/subject/1291548/?from=subject-page']","['美丽心灵', 'https://movie.douban.com/subject/1306029/?from=subject-page']"
https://movie.douban.com/subject/1296141/,控方证人 Witness for the Prosecution,比利·怀尔,泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿,剧情,悬疑,犯罪,unknown,美国,unknown,unknown,unknown,1957,"['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/5294851/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['电话谋杀案', 'https://movie.douban.com/subject/1301231/?from=subject-page']","['十二怒汉', 'https://movie.douban.com/subject/1293182/?from=subject-page']","['追随', 'https://movie.douban.com/subject/1397546/?from=subject-page']","['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['非常嫌疑犯', 'https://movie.douban.com/subject/1292214/?from=subject-page']","['利刃出鞘', 'https://movie.douban.com/subject/30318116/?from=subject-page']"
https://movie.douban.com/subject/1295644/,这个杀手不太冷 Léon,吕克·贝,让·雷诺,娜塔莉·波特曼,加里·奥德曼,剧情,动作,犯罪,unknown,法国,美国,unknown,unknown,1994,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['剪刀手爱德华', 'https://movie.douban.com/subject/1292370/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']","['怦然心动', 'https://movie.douban.com/subject/3319755/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']"
https://movie.douban.com/subject/1307914/,无间道 無間道,刘伟,刘德华,梁朝伟,黄秋生,剧情,惊悚,犯罪,unknown,中国香港,unknown,unknown,unknown,2002,"['无间道2', 'https://movie.douban.com/subject/1307106/?from=subject-page']","['英雄本色', 'https://movie.douban.com/subject/1297574/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['教父', 'https://movie.douban.com/subject/1291841/?from=subject-page']","['美国往事', 'https://movie.douban.com/subject/1292262/?from=subject-page']","['新世界', 'https://movie.douban.com/subject/10437779/?from=subject-page']","['无双', 'https://movie.douban.com/subject/26425063/?from=subject-page']","['暗战', 'https://movie.douban.com/subject/1298898/?from=subject-page']","['纵横四海', 'https://movie.douban.com/subject/1295409/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']"
https://movie.douban.com/subject/1291841/,教父 The Godfather,弗朗西斯·福特·科波,马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,剧情,犯罪,unknown,unknown,美国,unknown,unknown,unknown,1972,"['教父2', 'https://movie.douban.com/subject/1299131/?from=subject-page']","['美国往事', 'https://movie.douban.com/subject/1292262/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['无间道', 'https://movie.douban.com/subject/1307914/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']","['英雄本色', 'https://movie.douban.com/subject/1297574/?from=subject-page']","['上帝之城', 'https://movie.douban.com/subject/1292208/?from=subject-page']","['黑社会', 'https://movie.douban.com/subject/1309220/?from=subject-page']","['枪火', 'https://movie.douban.com/subject/1300741/?from=subject-page']","['两杆大烟枪', 'https://movie.douban.com/subject/1293350/?from=subject-page']"
https://movie.douban.com/subject/1299131/,教父2 The Godfather: Part II,弗朗西斯·福特·科波,阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,剧情,犯罪,unknown,unknown,美国,unknown,unknown,unknown,1974,"['教父3', 'https://movie.douban.com/subject/1294240/?from=subject-page']","['美国往事', 'https://movie.douban.com/subject/1292262/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']","['无间道', 'https://movie.douban.com/subject/1307914/?from=subject-page']","['爱尔兰人', 'https://movie.douban.com/subject/6981153/?from=subject-page']","['英雄本色', 'https://movie.douban.com/subject/1297574/?from=subject-page']","['上帝之城', 'https://movie.douban.com/subject/1292208/?from=subject-page']","['黑社会', 'https://movie.douban.com/subject/1309220/?from=subject-page']","['枪火', 'https://movie.douban.com/subject/1300741/?from=subject-page']"
https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,惊悚,美国,英国,unknown,unknown,2008,"['蝙蝠侠：黑暗骑士崛起', 'https://movie.douban.com/subject/3395373/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['钢铁侠', 'https://movie.douban.com/subject/1432146/?from=subject-page']","['终结者2：审判日', 'https://movie.douban.com/subject/1291844/?from=subject-page']","['复仇者联盟', 'https://movie.douban.com/subject/1866479/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['美国队长2', 'https://movie.douban.com/subject/6390823/?from=subject-page']","['变形金刚', 'https://movie.douban.com/subject/1794171/?from=subject-page']"
https://movie.douban.com/subject/1292262/,美国往事 Once Upon a Time in America,赛尔乔·莱昂,罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文,剧情,犯罪,unknown,unknown,美国,意大利,unknown,unknown,1984,"['教父2', 'https://movie.douban.com/subject/1299131/?from=subject-page']","['好家伙', 'https://movie.douban.com/subject/1292268/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']","['上帝之城', 'https://movie.douban.com/subject/1292208/?from=subject-page']","['爱尔兰人', 'https://movie.douban.com/subject/6981153/?from=subject-page']","['枪火', 'https://movie.douban.com/subject/1300741/?from=subject-page']","['黑社会', 'https://movie.douban.com/subject/1309220/?from=subject-page']","['英雄本色', 'https://movie.douban.com/subject/1297574/?from=subject-page']","['无间道', 'https://movie.douban.com/subject/1307914/?from=subject-page']","['赌城风云', 'https://movie.douban.com/subject/1299799/?from=subject-page']"
https://movie.douban.com/subject/1305487/,猫鼠游戏 Catch Me If You Can,史蒂文·斯皮尔伯,莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,剧情,传记,犯罪,unknown,美国,加拿大,unknown,unknown,2002,"['华尔街之狼', 'https://movie.douban.com/subject/2997076/?from=subject-page']","['七宗罪', 'https://movie.douban.com/subject/1292223/?from=subject-page']","['杀人回忆', 'https://movie.douban.com/subject/1300299/?from=subject-page']","['熔炉', 'https://movie.douban.com/subject/5912992/?from=subject-page']","['血钻', 'https://movie.douban.com/subject/1428175/?from=subject-page']","['恐怖直播', 'https://movie.douban.com/subject/21360417/?from=subject-page']","['小丑', 'https://movie.douban.com/subject/27119724/?from=subject-page']","['沉默的羔羊', 'https://movie.douban.com/subject/1293544/?from=subject-page']","['蝙蝠侠：黑暗骑士', 'https://movie.douban.com/subject/1851857/?from=subject-page']","['教父', 'https://movie.douban.com/subject/1291841/?from=subject-page']"
https://movie.douban.com/subject/1293350/,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",盖·里,杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,剧情,喜剧,犯罪,unknown,英国,unknown,unknown,unknown,1998,"['疯狂的石头', 'https://movie.douban.com/subject/1862151/?from=subject-page']","['低俗小说', 'https://movie.douban.com/subject/1291832/?from=subject-page']","['偷拐抢骗', 'https://movie.douban.com/subject/1301171/?from=subject-page']","['让子弹飞', 'https://movie.douban.com/subject/3742360/?from=subject-page']","['摩登时代', 'https://movie.douban.com/subject/1294371/?from=subject-page']","['荒蛮故事', 'https://movie.douban.com/subject/24750126/?from=subject-page']","['射雕英雄传之东成西就', 'https://movie.douban.com/subject/1316510/?from=subject-page']","['布达佩斯大饭店', 'https://movie.douban.com/subject/11525673/?from=subject-page']","['九品芝麻官', 'https://movie.douban.com/subject/1297518/?from=subject-page']","['被解救的姜戈', 'https://movie.douban.com/subject/6307447/?from=subject-page']"
