肖申克的救赎 The Shawshank Redemption,阿甘正传,当幸福来敲门,三傻大闹宝莱坞,摔跤吧！爸爸,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,死亡诗社,美丽心灵
霸王别姬,春光乍泄,罗马假日,重庆森林,花样年华,泰坦尼克号,断背山,爱在黎明破晓前,甜蜜蜜,请以你的名字呼唤我,天使爱美丽
美丽人生 La vita è bella,辛德勒的名单,穿条纹睡衣的男孩,拯救大兵瑞恩,钢琴家,1917,血战钢锯岭,乱世佳人,敦刻尔克,波斯语课,罗马假日
辛德勒的名单 Schindler's List,拯救大兵瑞恩,穿条纹睡衣的男孩,钢琴家,血战钢锯岭,1917,敦刻尔克,美丽人生,兵临城下,卢旺达饭店,
控方证人 Witness for the Prosecution,看不见的客人,控方证人,记忆碎片,禁闭岛,十二怒汉,致命魔术,利刃出鞘,,,
阿甘正传 Forrest Gump,肖申克的救赎,当幸福来敲门,三傻大闹宝莱坞,摔跤吧！爸爸,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,死亡诗社,美丽心灵
泰坦尼克号 Titanic,罗马假日,恋恋笔记本,爱在黎明破晓前,重庆森林,剪刀手爱德华,傲慢与偏见,怦然心动,乱世佳人,天使爱美丽,
这个杀手不太冷 Léon,罗马假日,泰坦尼克号,恋恋笔记本,爱在黎明破晓前,重庆森林,剪刀手爱德华,猫鼠游戏,天使爱美丽,怦然心动,傲慢与偏见
千与千寻 千と千尋の神隠し,大闹天宫,,,,,,,,,
盗梦空间 Inception,致命魔术,蝴蝶效应,星际穿越,禁闭岛,记忆碎片,看不见的客人,,,,
星际穿越 Interstellar,盗梦空间,火星救援,X战警：逆转未来,,,,,,,
楚门的世界 The Truman Show,九品芝麻官,三傻大闹宝莱坞,喜剧之王,盗梦空间,星际穿越,,,,,
忠犬八公的故事 Hachi: A Dog's Tale,忠犬八公物语,一条狗的使命,导盲犬小Q,南极大冒险,流浪猫鲍勃,多哥,狮子王,,,
熔炉 도가니,猫鼠游戏,杀人回忆,素媛,恐怖直播,七宗罪,小丑,沉默的羔羊,三块广告牌,烈日灼心,看不见的客人
大闹天宫,九色鹿,,,,,,,,,
十二怒汉 12 Angry Men,控方证人,记忆碎片,看不见的客人,禁闭岛,致命魔术,穆赫兰道,七宗罪,,,
无间道 無間道,无间道2,英雄本色,猫鼠游戏,教父,美国往事,新世界,无双,暗战,纵横四海,低俗小说
海上钢琴师 La leggenda del pianista sull'oceano,放牛班的春天,音乐之声,波西米亚狂想曲,爆裂鼓手,爱乐之城,曾经,一一,海盗电台,八月迷情,
末代皇帝 The Last Emperor,为奴十二年,公民凯恩,至暗时刻,国王的演讲,飞行家,茶馆,模仿游戏,社交网络,美丽心灵,波西米亚狂想曲
茶馆,骆驼祥子,无言的山丘,我这一辈子,末代皇帝,祝福,荆轲刺秦王,阿Q正传,雷雨,横空出世,影武者
活着,末代皇帝,饮食男女,一一,茶馆,雨人,海边的曼彻斯特,霸王别姬,岁月神偷,小偷家族,
放牛班的春天 Les choristes,海上钢琴师,音乐之声,爆裂鼓手,肖申克的救赎,阿甘正传,波西米亚狂想曲,当幸福来敲门,曾经,三傻大闹宝莱坞,
背靠背，脸对脸,黑炮事件,香火,有话好好说,大佛普拉斯,顽主,摩登时代,落叶归根,,,
鬼子来了,拯救大兵瑞恩,无耻混蛋,辛德勒的名单,让子弹飞,钢琴家,穿条纹睡衣的男孩,两杆大烟枪,1917,,
触不可及 Intouchables,九品芝麻官,三傻大闹宝莱坞,喜剧之王,让子弹飞,幸福终点站,,,,,
教父 The Godfather,教父2,美国往事,猫鼠游戏,无间道,低俗小说,英雄本色,上帝之城,黑社会,枪火,两杆大烟枪
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,勇敢的心,少年派的奇幻漂流,大鱼,拯救大兵瑞恩,角斗士,,,,
乱世佳人 Gone with the Wind,罗马假日,魂断蓝桥,卡萨布兰卡,傲慢与偏见,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,甜蜜蜜,重庆森林,花样年华
素媛 소원,猫鼠游戏,熔炉,杀人回忆,恐怖直播,湄公河行动,七宗罪,饮食男女,小丑,香水,沉默的羔羊
钢琴家 The Pianist,拯救大兵瑞恩,穿条纹睡衣的男孩,辛德勒的名单,1917,兵临城下,血战钢锯岭,敦刻尔克,波斯语课,战争之王,
海蒂和爷爷 Heidi,饮食男女,步履不停,小偷家族,海街日记,何以为家,我是山姆,普罗旺斯的夏天,海边的曼彻斯特,天才少女,
教父2 The Godfather: Part II,教父3,美国往事,猫鼠游戏,低俗小说,无间道,爱尔兰人,英雄本色,上帝之城,黑社会,枪火
三傻大闹宝莱坞 3 Idiots,九品芝麻官,喜剧之王,阿甘正传,肖申克的救赎,,,,,,
当幸福来敲门 The Pursuit of Happyness,阿甘正传,肖申克的救赎,摔跤吧！爸爸,三傻大闹宝莱坞,贫民窟的百万富翁,荒岛余生,心灵捕手,国王的演讲,饮食男女,叫我第一名
饮食男女 飲食男女,推手,喜宴,东京物语,步履不停,雨人,一次别离,小偷家族,海街日记,一一,岁月神偷
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,猫鼠游戏,盗梦空间,,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,指环王1：护戒使者,少年派的奇幻漂流,勇敢的心,大鱼,角斗士,,,,,
死亡诗社 Dead Poets Society,心灵捕手,肖申克的救赎,阿甘正传,当幸福来敲门,国王的演讲,百万美元宝贝,贫民窟的百万富翁,三傻大闹宝莱坞,摔跤吧！爸爸,叫我第一名
天堂电影院 Nuovo Cinema Paradiso,罗马假日,爱在黎明破晓前,重庆森林,甜蜜蜜,泰坦尼克号,天使爱美丽,花样年华,乱世佳人,剪刀手爱德华,真爱至上
摩登时代 Modern Times,城市之光,九品芝麻官,寻子遇仙记,大独裁者,喜剧之王,,,,,
辩护人 변호인,猫鼠游戏,杀人回忆,熔炉,恐怖直播,追击者,七宗罪,黄海,新世界,素媛,肖申克的救赎
窃听风暴 Das Leben der Anderen,记忆碎片,控方证人,致命魔术,禁闭岛,看不见的客人,穆赫兰道,十二怒汉,蝴蝶效应,,
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,拯救大兵瑞恩,钢琴家,辛德勒的名单,1917,血战钢锯岭,波斯语课,敦刻尔克,美丽人生,卢旺达饭店,
少年派的奇幻漂流 Life of Pi,指环王1：护戒使者,大鱼,本杰明·巴顿奇事,白日梦想家,,,,,,
美国往事 Once Upon a Time in America,教父2,好家伙,低俗小说,上帝之城,爱尔兰人,枪火,黑社会,英雄本色,无间道,赌城风云
