黑鹰坠落,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
黑客帝国,阿凡达,头号玩家,,,,,,,,
黑客帝国,阿凡达,头号玩家,钢铁侠,复仇者联盟,X战警：逆转未来,明日边缘,,,,
功夫,,,,,,,,,,
杀人回忆,,,,,,,,,,
英雄本色,无双,暗战,,,,,,,,
黑鹰坠落,,,,,,,,,,
功夫,,,,,,,,,,
英雄本色,枪火,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
杀人回忆,湄公河行动,,,,,,,,,
黑鹰坠落,,,,,,,,,,
英雄本色,枪火,,,,,,,,,
功夫,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,指环王1：护戒使者,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,奇异博士,阿凡达,,,
功夫,,,,,,,,,,
杀人回忆,黄海,,,,,,,,,
黑鹰坠落,,,,,,,,,,
加勒比海盗,指环王1：护戒使者,霍比特人1：意外之旅,头号玩家,奇异博士,,,,,,
枪火,英雄本色,,,,,,,,,
黑鹰坠落,,,,,,,,,,
杀人回忆,蝙蝠侠：黑暗骑士,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,勇敢的心,奇异博士,角斗士,,,,
七武士 七人の侍,乱,黑鹰坠落,,,,,,,,
黑鹰坠落,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
让子弹飞,功夫,,,,,,,,,
杀人回忆,,,,,,,,,,
福尔摩斯二世,功夫,,,,,,,,,
搏击俱乐部 Fight Club,杀人回忆,,,,,,,,,
杀人回忆,,,,,,,,,,
功夫,,,,,,,,,,
英雄本色,,,,,,,,,,
东邪西毒,,,,,,,,,,
功夫,,,,,,,,,,
杀人回忆,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
搏击俱乐部,罪恶之城,,,,,,,,,
杀人回忆 살인의 추억,,,,,,,,,,
功夫,,,,,,,,,,
勇敢的心 Braveheart,角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,
杀人回忆,,,,,,,,,,
杀人回忆,,,,,,,,,,
卑劣的街头,黄海,局内人,英雄本色,,,,,,,
暗战,英雄本色,古惑仔之人在江湖,新警察故事,窃听风云,黑金,五亿探长雷洛传1：雷老虎,,,,
功夫,食神,国产凌凌漆,逃学威龙,鹿鼎记,,,,,,
东邪西毒,,,,,,,,,,
杀人回忆,,,,,,,,,,
加勒比海盗,指环王1：护戒使者,霍比特人1：意外之旅,,,,,,,,
杀人回忆,搏击俱乐部,,,,,,,,,
加勒比海盗,指环王1：护戒使者,,,,,,,,,
功夫,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
枪火 鎗火,暗花,黑金,英雄本色,,,,,,,
东邪西毒：终极版 東邪西毒終極版,东邪西毒,,,,,,,,,
勇敢的心,黑鹰坠落,角斗士,,,,,,,,
杀人回忆,,,,,,,,,,
杀人回忆,,,,,,,,,,
英雄本色,暗战,枪火,新警察故事,,,,,,,
黑鹰坠落,勇敢的心,,,,,,,,,
黑鹰坠落,,,,,,,,,,
黑客帝国3：矩阵革命,第九区,,,,,,,,,
杀人回忆,,,,,,,,,,
绅士们,,,,,,,,,,
勇闯夺命岛,飓风营救,谍影重重3,铁甲钢拳,,,,,,,
黑客帝国3：矩阵革命,第九区,阿凡达,终结者2：审判日,我，机器人,,,,,,
福尔摩斯二世,,,,,,,,,,
勇闯夺命岛,黑鹰坠落,变脸,谍影重重2,蝙蝠侠：黑暗骑士,,,,,,
杀人回忆,,,,,,,,,,
东邪西毒 東邪西毒,东邪西毒：终极版,新龙门客栈,,,,,,,,
英雄本色,英雄本色2,枪火,喋血双雄,暗战,谍影重重3,变脸,,,,
黑鹰坠落,勇敢的心,角斗士,,,,,,,,
攻壳机动队,阿基拉,黑客帝国动画版,,,,,,,,
黑客帝国3：矩阵革命,终结者2：审判日,阿凡达,第九区,变形金刚,,,,,,
乱,七武士,,,,,,,,,
逃学威龙,食神,赌圣,鹿鼎记,国产凌凌漆,,,,,,
赌圣,逃学威龙,赌神2,鹿鼎记,国产凌凌漆,食神,,,,,
笑傲江湖,黄飞鸿,太极张三丰,倚天屠龙记之魔教教主,东方不败之风云再起,新龙门客栈,方世玉,精武英雄,少林寺,,
宾虚,勇敢的心,角斗士,指环王3：王者无敌,,,,,,,
荒野猎人,,,,,,,,,,
恶童,,,,,,,,,,
野战排,黑鹰坠落,,,,,,,,,
杀人回忆,无双,,,,,,,,,
杀人回忆,,,,,,,,,,
﻿,,,,,,,,,,
功夫,国产凌凌漆,食神,鹿鼎记,逃学威龙,,,,,,
功夫,,,,,,,,,,
功夫,,,,,,,,,,
福尔摩斯二世,功夫,,,,,,,,,
功夫,国产凌凌漆,食神,鹿鼎记,逃学威龙,,,,,,
东邪西毒,,,,,,,,,,
功夫,食神,国产凌凌漆,逃学威龙,鹿鼎记,,,,,,
东邪西毒,,,,,,,,,,
东邪西毒,,,,,,,,,,
失控玩家,,,,,,,,,,
功夫,,,,,,,,,,
东邪西毒：终极版 東邪西毒終極版,东邪西毒,,,,,,,,,
功夫,食神,国产凌凌漆,鹿鼎记,逃学威龙,,,,,,
攻壳机动队,,,,,,,,,,
新龙门客栈 新龍門客棧,黄飞鸿,太极张三丰,倚天屠龙记之魔教教主,东邪西毒,方世玉,精武英雄,英雄,,,
福尔摩斯二世,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
东邪西毒 東邪西毒,东邪西毒：终极版,新龙门客栈,,,,,,,,
加勒比海盗,东邪西毒,,,,,,,,,
东邪西毒,,,,,,,,,,
东邪西毒：终极版,,,,,,,,,,
逃学威龙,食神,赌圣,鹿鼎记,国产凌凌漆,,,,,,
凶暴的男人,,,,,,,,,,
笑傲江湖,黄飞鸿,太极张三丰,倚天屠龙记之魔教教主,东方不败之风云再起,新龙门客栈,方世玉,精武英雄,少林寺,,
英雄,新龙门客栈,黄飞鸿,师父,太极张三丰,一代宗师,倚天屠龙记之魔教教主,方世玉,绣春刀,,
天若有情,,,,,,,,,,
东邪西毒：终极版,,,,,,,,,,
福尔摩斯二世 Sherlock Jr.,,,,,,,,,,
绅士们,,,,,,,,,,
天若有情,烈火战车,龙在江湖,,,,,,,,
第一滴血,,,,,,,,,,
天若有情,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
保镖,,,,,,,,,,
鬼灭之刃 兄妹的羁绊,,,,,,,,,,
食神,,,,,,,,,,
精武门 精武門,龙争虎斗,唐山大兄,死亡游戏,精武英雄,给爸爸的信,醉拳,红番区,中南海保镖,黄飞鸿之二：男儿当自强,
黄飞鸿之二：男儿当自强 黃飛鴻之二男兒當自強,黄飞鸿之三：狮王争霸,太极张三丰,精武英雄,方世玉,新少林五祖,倚天屠龙记之魔教教主,少林寺,给爸爸的信,中南海保镖,
一代宗师 一代宗師,师父,东邪西毒,英雄,新龙门客栈,绣春刀,,,,,
逃学威龙 逃學威龍,赌圣,鹿鼎记,食神,国产凌凌漆,,,,,,
激战,,,,,,,,,,
倩女幽魂3：道道道,东邪西毒：终极版,白发魔女传,加勒比海盗2：聚魂棺,,,,,,,
杀人回忆,,,,,,,,,,
第九区,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
大内密探零零发 大內密探零零發,食神,国产凌凌漆,逃学威龙,鹿鼎记,赌圣,,,,,
未知死亡 Ghajini,未知死亡,幻影车神：魔盗激情,谍影重重3,飓风营救,,,,,,
食神,鹿鼎记,国产凌凌漆,,,,,,,,
﻿,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
