控方证人 Witness for the Prosecution,看不见的客人,控方证人,记忆碎片,禁闭岛,电话谋杀案,追随,致命魔术,非常嫌疑犯,,
盗梦空间 Inception,致命魔术,源代码,禁闭岛,记忆碎片,看不见的客人,,,,,
源代码,,,,,,,,,,
恐怖直播,七宗罪,烈日灼心,看不见的客人,,,,,,,
控方证人,记忆碎片,看不见的客人,禁闭岛,致命魔术,追随,非常嫌疑犯,穆赫兰道,七宗罪,惊魂记,
公民凯恩,,,,,,,,,,
恐怖直播,七宗罪,,,,,,,,,
恐怖直播,七宗罪,,,,,,,,,
窃听风暴 Das Leben der Anderen,记忆碎片,控方证人,致命魔术,禁闭岛,看不见的客人,穆赫兰道,非常嫌疑犯,追随,,
七宗罪,恐怖直播,,,,,,,,,
控方证人,记忆碎片,看不见的客人,禁闭岛,致命魔术,追随,非常嫌疑犯,大卫·戈尔的一生,,,
搏击俱乐部 Fight Club,记忆碎片,七宗罪,禁闭岛,致命魔术,控方证人,非常嫌疑犯,看不见的客人,穆赫兰道,,
七宗罪,恐怖直播,非常嫌疑犯,,,,,,,,
公民凯恩,岁月风云之上海皇帝,,,,,,,,,
禁闭岛 Shutter Island,记忆碎片,恐怖游轮,致命ID,看不见的客人,七宗罪,穆赫兰道,第六感,控方证人,,
蝴蝶效应 The Butterfly Effect,禁闭岛,致命魔术,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪,
七宗罪,致命ID,恐怖游轮,禁闭岛,记忆碎片,第六感,电锯惊魂,,,,
致命魔术 The Prestige,记忆碎片,禁闭岛,看不见的客人,控方证人,穆赫兰道,源代码,致命ID,,,
杀人回忆 살인의 추억,看不见的客人,恐怖直播,记忆碎片,七宗罪,禁闭岛,控方证人,致命ID,,,
第六感 The Sixth Sense,恐怖游轮,禁闭岛,致命ID,记忆碎片,小岛惊魂,万能钥匙,穆赫兰道,,,
七宗罪,恐怖直播,,,,,,,,,
七宗罪,心迷宫,,,,,,,,,
调音师,误杀,看不见的客人,心迷宫,,,,,,,
绿里奇迹 The Green Mile,致命魔术,,,,,,,,,
七宗罪 Se7en,记忆碎片,禁闭岛,致命ID,看不见的客人,非常嫌疑犯,恐怖游轮,,,,
心迷宫,看不见的客人,暴裂无声,控方证人,记忆碎片,恐怖直播,禁闭岛,追随,网络谜踪,,
罗生门 羅生門,控方证人,记忆碎片,后窗,穆赫兰道,惊魂记,追随,禁闭岛,西北偏北,,
十二猴子,源代码,异次元骇客,,,,,,,,
控方证人 Witness for the Prosecution,控方证人,东方快车谋杀案,尼罗河上的惨案,十二怒汉（电视版）,看不见的客人,记忆碎片,电话谋杀案,禁闭岛,非常嫌疑犯,
恐怖直播 더 테러 라이브,看不见的客人,记忆碎片,七宗罪,控方证人,致命ID,禁闭岛,心迷宫,,,
记忆碎片 Memento,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,控方证人,
谍影重重3,,,,,,,,,,
源代码,,,,,,,,,,
谍影重重2,七宗罪,,,,,,,,,
七宗罪,非常嫌疑犯,,,,,,,,,
谍影重重3,,,,,,,,,,
