电话谋杀案,追随,非常嫌疑犯,,,,,
小丑,沉默的羔羊,,,,,,
追随,非常嫌疑犯,惊魂记,,,,,
无间道 無間道,无间道2,,,,,,
无间道,黑社会,,,,,,
小丑,沉默的羔羊,,,,,,
无间道,黑社会,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
追击者,,,,,,,
非常嫌疑犯,追随,,,,,,
黑社会,无间道,,,,,,
血钻,小丑,沉默的羔羊,,,,,
追随,非常嫌疑犯,,,,,,
搏击俱乐部 Fight Club,非常嫌疑犯,沉默的羔羊,,,,,
末路狂花,血钻,非常嫌疑犯,,,,,
无间道2,黑社会,,,,,,
禁闭岛 Shutter Island,沉默的羔羊,,,,,,
蝴蝶效应 The Butterfly Effect,,,,,,,
沉默的羔羊 The Silence of the Lambs,汉尼拔,电锯惊魂,,,,,
致命魔术 The Prestige,,,,,,,
落水狗,,,,,,,
落水狗,罪恶之城,,,,,,
杀人回忆 살인의 추억,沉默的羔羊,追击者,,,,,
第六感 The Sixth Sense,沉默的羔羊,,,,,,
血钻,,,,,,,
末路狂花,沉默的羔羊,,,,,,
卑劣的街头,无间道2,黑社会,,,,,
无间道3：终极无间,门徒,黑社会,,,,,
未麻的部屋,,,,,,,
七宗罪 Se7en,沉默的羔羊,非常嫌疑犯,,,,,
黑社会,放·逐,无间道2,,,,,
追随,,,,,,,
后窗,惊魂记,追随,西北偏北,,,,
无间道2 無間道II,无间道3：终极无间,黑社会,门徒,,,,
千钧一发 Gattaca,2001太空漫游,,,,,,
电话谋杀案,非常嫌疑犯,,,,,,
追击者,,,,,,,
记忆碎片 Memento,非常嫌疑犯,追随,,,,,
黑社会,,,,,,,
2001太空漫游,,,,,,,
血钻 Blood Diamond,,,,,,,
末路狂花,老无所依,非常嫌疑犯,,,,,
无间道,,,,,,,
侏罗纪公园,2001太空漫游,,,,,,
洞 Le trou,杀手,电话谋杀案,追随,M就是凶手,非常嫌疑犯,,
南山的部长们,,,,,,,
催眠大师,,,,,,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,非常嫌疑犯,落水狗,,,
﻿,,,,,,,
未麻的部屋,,,,,,,
迷魂记 Vertigo,后窗,西北偏北,电话谋杀案,惊魂记,夺魂索,群鸟,三十九级台阶
花火 HANA-BI,大佬,,,,,,
非常嫌疑犯,追随,,,,,,
杀之恋,,,,,,,
爱情是狗娘,,,,,,,
苦月亮 Bitter Moon,,,,,,,
精武门 精武門,,,,,,,
西北偏北,后窗,三十九级台阶,电话谋杀案,夺魂索,,,
2001太空漫游,,,,,,,
幻影车神：魔盗激情,,,,,,,
﻿,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
2001太空漫游,,,,,,,
搏击俱乐部 Fight Club,非常嫌疑犯,沉默的羔羊,,,,,
杀人回忆 살인의 추억,沉默的羔羊,追击者,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,,
杀死比尔,落水狗,,,,,,
2001太空漫游,,,,,,,
谍影重重3 The Bourne Ultimatum,碟中谍,,,,,,
