霸王别姬,,,,,,,,,,
千与千寻 千と千尋の神隠し,,,,,,,,,,
熔炉 도가니,,,,,,,,,,
大闹天宫,,,,,,,,,,
无间道 無間道,,,,,,,,,,
末代皇帝 The Last Emperor,,,,,,,,,,
茶馆,,,,,,,,,,
活着,,,,,,,,,,
背靠背，脸对脸,,,,,,,,,,
鬼子来了,,,,,,,,,,
素媛 소원,,,,,,,,,,
三傻大闹宝莱坞 3 Idiots,,,,,,,,,,
饮食男女 飲食男女,,,,,,,,,,
辩护人 변호인,,,,,,,,,,
少年派的奇幻漂流 Life of Pi,,,,,,,,,,
高山下的花环,,,,,,,,,,
七武士 七人の侍,,,,,,,,,,
一一,,,,,,,,,,
横空出世,,,,,,,,,,
我不是药神,,,,,,,,,,
让子弹飞,,,,,,,,,,
摔跤吧！爸爸 Dangal,,,,,,,,,,
芙蓉镇,,,,,,,,,,
春光乍泄 春光乍洩,,,,,,,,,,
无人知晓 誰も知らない,,,,,,,,,,
忠犬八公物语 ハチ公物語,,,,,,,,,,
喜宴 囍宴,,,,,,,,,,
南海十三郎,,,,,,,,,,
绿皮书 Green Book,,,,,,,,,,
小森林 夏秋篇 リトル・フォレスト 夏・秋,,,,,,,,,,
小森林 冬春篇 リトル・フォレスト 冬・春,,,,,,,,,,
城南旧事,,,,,,,,,,
阳光灿烂的日子,,,,,,,,,,
情书 Love Letter,,,,,,,,,,
甜蜜蜜,,,,,,,,,,
杀人回忆 살인의 추억,,,,,,,,,,
入殓师 おくりびと,,,,,,,,,,
菊次郎的夏天 菊次郎の夏,,,,,,,,,,
7号房的礼物 7번방의 선물,,,,,,,,,,
可可西里,,,,,,,,,,
萤火之森 蛍火の杜へ,,,,,,,,,,
牯岭街少年杀人事件 牯嶺街少年殺人事件,,,,,,,,,,
侧耳倾听 耳をすませば,,,,,,,,,,
新世界 신세계,,,,,,,,,,
无间道(正序版),,,,,,,,,,
东京教父 東京ゴッドファーザーズ,,,,,,,,,,
喜剧之王 喜劇之王,,,,,,,,,,
重庆森林 重慶森林,,,,,,,,,,
寄生虫 기생충,,,,,,,,,,
你看起来好像很好吃 おまえうまそうだな,,,,,,,,,,
牧马人,,,,,,,,,,
我爱你 그대를 사랑합니다,,,,,,,,,,
枪火 鎗火,,,,,,,,,,
东邪西毒：终极版 東邪西毒終極版,,,,,,,,,,
赛德克·巴莱 賽德克·巴萊,,,,,,,,,,
心迷宫,,,,,,,,,,
罗生门 羅生門,,,,,,,,,,
无间道2 無間道II,,,,,,,,,,
赛德克·巴莱(上)：太阳旗 賽德克·巴萊(上)太陽旗,,,,,,,,,,
小偷家族 万引き家族,,,,,,,,,,
恐怖直播 더 테러 라이브,,,,,,,,,,
我们俩,,,,,,,,,,
悲情城市,,,,,,,,,,
爱·回家 집으로...,,,,,,,,,,
天堂回信,,,,,,,,,,
比海更深 海よりもまだ深く,,,,,,,,,,
东邪西毒 東邪西毒,,,,,,,,,,
