肖申克的救赎 The Shawshank Redemption,,,,,,,,,,
美丽人生 La vita è bella,,,,,,,,,,
辛德勒的名单 Schindler's List,,,,,,,,,,
控方证人 Witness for the Prosecution,,,,,,,,,,
阿甘正传 Forrest Gump,,,,,,,,,,
泰坦尼克号 Titanic,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
盗梦空间 Inception,,,,,,,,,,
星际穿越 Interstellar,,,,,,,,,,
楚门的世界 The Truman Show,,,,,,,,,,
忠犬八公的故事 Hachi: A Dog's Tale,,,,,,,,,,
十二怒汉 12 Angry Men,,,,,,,,,,
海上钢琴师 La leggenda del pianista sull'oceano,,,,,,,,,,
末代皇帝 The Last Emperor,,,,,,,,,,
放牛班的春天 Les choristes,,,,,,,,,,
触不可及 Intouchables,,,,,,,,,,
教父 The Godfather,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,,,,,,,,,,
乱世佳人 Gone with the Wind,,,,,,,,,,
钢琴家 The Pianist,,,,,,,,,,
海蒂和爷爷 Heidi,,,,,,,,,,
教父2 The Godfather: Part II,,,,,,,,,,
当幸福来敲门 The Pursuit of Happyness,,,,,,,,,,
饮食男女 飲食男女,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,,,,,,,,,,
死亡诗社 Dead Poets Society,,,,,,,,,,
天堂电影院 Nuovo Cinema Paradiso,,,,,,,,,,
摩登时代 Modern Times,,,,,,,,,,
窃听风暴 Das Leben der Anderen,,,,,,,,,,
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,,,,,,,,,,
少年派的奇幻漂流 Life of Pi,,,,,,,,,,
美国往事 Once Upon a Time in America,,,,,,,,,,
怦然心动 Flipped,,,,,,,,,,
飞屋环游记 Up,,,,,,,,,,
何以为家 كفرناحوم,,,,,,,,,,
猫鼠游戏 Catch Me If You Can,,,,,,,,,,
罗马假日 Roman Holiday,,,,,,,,,,
闻香识女人 Scent of a Woman,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,
美丽心灵 A Beautiful Mind,,,,,,,,,,
拯救大兵瑞恩 Saving Private Ryan,,,,,,,,,,
音乐之声 The Sound of Music,,,,,,,,,,
"两杆大烟枪 Lock, Stock and Two Smoking Barrels",,,,,,,,,,
飞越疯人院 One Flew Over the Cuckoo's Nest,,,,,,,,,,
