霸王别姬,春光乍泄,重庆森林,花样年华,甜蜜蜜,,,,,,
大闹天宫,九色鹿,,,,,,,,,
无间道 無間道,无间道2,英雄本色,无双,暗战,纵横四海,,,,,
末代皇帝 The Last Emperor,茶馆,,,,,,,,,
茶馆,骆驼祥子,无言的山丘,我这一辈子,祝福,荆轲刺秦王,阿Q正传,雷雨,横空出世,,
活着,饮食男女,一一,茶馆,霸王别姬,岁月神偷,,,,,
背靠背，脸对脸,黑炮事件,香火,有话好好说,大佛普拉斯,顽主,落叶归根,,,,
鬼子来了,让子弹飞,,,,,,,,,
饮食男女 飲食男女,推手,喜宴,一一,岁月神偷,,,,,,
少年派的奇幻漂流 Life of Pi,,,,,,,,,,
高山下的花环,大决战之辽沈战役,上甘岭,集结号,决战之后,英雄儿女,,,,,
一一,悲情城市,花样年华,重庆森林,小武,苏州河,独立时代,饮食男女,推手,,
横空出世,我的1919,大明劫,大决战之辽沈战役,茶馆,决战之后,荆轲刺秦王,我和我的祖国,高山下的花环,,
我不是药神,让子弹飞,驴得水,无名之辈,大佛普拉斯,一出好戏,邪不压正,,,,
让子弹飞,九品芝麻官,驴得水,喜剧之王,,,,,,,
芙蓉镇,牧马人,马路天使,甜蜜蜜,老井,花样年华,重庆森林,红高粱,小城之春,独立时代,恋恋风尘
春光乍泄 春光乍洩,蓝宇,重庆森林,花样年华,喜宴,霸王别姬,阿飞正传,谁先爱上他的,甜蜜蜜,,
喜宴 囍宴,推手,饮食男女,春光乍泄,蓝宇,谁先爱上他的,,,,,
南海十三郎,阮玲玉,剃头匠,跛豪,岁月风云之上海皇帝,,,,,,
绿皮书 Green Book,九品芝麻官,喜剧之王,,,,,,,,
城南旧事,一一,过年,推手,饮食男女,那山那人那狗,三峡好人,悲情城市,,,
阳光灿烂的日子,重庆森林,花样年华,一一,甜蜜蜜,阿飞正传,太阳照常升起,东邪西毒,,,
甜蜜蜜,花样年华,重庆森林,阿飞正传,,,,,,,
可可西里,无人区,牯岭街少年杀人事件,,,,,,,,
牯岭街少年杀人事件 牯嶺街少年殺人事件,心迷宫,,,,,,,,,
无间道(正序版),无间道3：终极无间,暗战,英雄本色,门徒,黑社会,新警察故事,窃听风云,黑金,五亿探长雷洛传1：雷老虎,
喜剧之王 喜劇之王,九品芝麻官,,,,,,,,,
重庆森林 重慶森林,花样年华,甜蜜蜜,堕落天使,阿飞正传,2046,春光乍泄,东邪西毒,,,
牧马人,天云山传奇,芙蓉镇,人生,老井,甜蜜蜜,小城之春,,,,
枪火 鎗火,黑社会,暗花,黑金,机动部队,无间道2,英雄本色,跛豪,,,
东邪西毒：终极版 東邪西毒終極版,东邪西毒,花样年华,重庆森林,胭脂扣,2046,堕落天使,阿飞正传,甜蜜蜜,,
赛德克·巴莱 賽德克·巴萊,赛德克·巴莱(下)：彩虹桥,集结号,,,,,,,,
心迷宫,暴裂无声,,,,,,,,,
无间道2 無間道II,无间道3：终极无间,英雄本色,黑社会,暗战,枪火,门徒,新警察故事,,,
赛德克·巴莱(上)：太阳旗 賽德克·巴萊(上)太陽旗,赛德克·巴莱(下)：彩虹桥,集结号,,,,,,,,
我们俩,推手,过年,洗澡,饮食男女,万箭穿心,我们天上见,一一,那山那人那狗,世界上最疼我的那个人去了,
悲情城市,海上花,一一,三峡好人,小武,站台,独立时代,,,,
天堂回信,过年,饮食男女,孙子从美国来,那山那人那狗,万箭穿心,岁月神偷,,,,
东邪西毒 東邪西毒,重庆森林,花样年华,东邪西毒：终极版,阿飞正传,甜蜜蜜,胭脂扣,卧虎藏龙,,,
奇迹男孩 Wonder,饮食男女,,,,,,,,,
