天使爱美丽,,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
这个杀手不太冷 Léon,天使爱美丽,傲慢与偏见,,,,,,
穆赫兰道,,,,,,,,
放牛班的春天,,,,,,,,
放牛班的春天 Les choristes,,,,,,,,
触不可及 Intouchables,,,,,,,,
傲慢与偏见,,,,,,,,
钢琴家 The Pianist,战争之王,,,,,,,
普罗旺斯的夏天,,,,,,,,
天堂电影院 Nuovo Cinema Paradiso,天使爱美丽,,,,,,,
穆赫兰道,,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
何以为家 كفرناحوم,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
战争之王,,,,,,,,
傲慢与偏见,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
穆赫兰道,,,,,,,,
熊的故事,,,,,,,,
燃烧女子的肖像,每分钟120击,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
穆赫兰道,,,,,,,,
天使爱美丽,,,,,,,,
穆赫兰道,,,,,,,,
穆赫兰道,,,,,,,,
上帝之城 Cidade de Deus,,,,,,,,
请以你的名字呼唤我 Call Me by Your Name,燃烧女子的肖像,每分钟120击,,,,,,
战争之王,,,,,,,,
穆赫兰道,,,,,,,,
爱在日落黄昏时 Before Sunset,傲慢与偏见,天使爱美丽,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽,,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽 Le fabuleux destin d'Amélie Poulain,两小无猜,傲慢与偏见,,,,,,
穆赫兰道,,,,,,,,
穆赫兰道,,,,,,,,
放牛班的春天,,,,,,,,
飓风营救,,,,,,,,
永恒和一日,蓝白红三部曲之蓝,,,,,,,
战争之王,,,,,,,,
傲慢与偏见,,,,,,,,
傲慢与偏见,两小无猜,,,,,,,
天使爱美丽,,,,,,,,
每分钟120击,燃烧女子的肖像,,,,,,,
狐狸与我,,,,,,,,
我在伊朗长大 Persepolis,魔术师,,,,,,,
蓝色大门 藍色大門,两小无猜,天使爱美丽,,,,,,
洞 Le trou,独行杀手,,,,,,,
悲惨世界,,,,,,,,
莫扎特传 Amadeus,玫瑰人生,,,,,,,
﻿,,,,,,,,
天使爱美丽,,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
傲慢与偏见,,,,,,,,
天堂电影院 Nuovo Cinema Paradiso,天使爱美丽,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
傲慢与偏见,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
燃烧女子的肖像,每分钟120击,,,,,,,
天使爱美丽,,,,,,,,
蓝白红三部曲之红,刺猬的优雅,天使爱美丽,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
天使爱美丽,,,,,,,,
请以你的名字呼唤我 Call Me by Your Name,燃烧女子的肖像,每分钟120击,,,,,,
爱在日落黄昏时 Before Sunset,傲慢与偏见,天使爱美丽,,,,,,
将来的事,,,,,,,,
沉静如海 Le silence de la mer,再见，孩子们,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽,,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽,,,,,,,,
天使爱美丽 Le fabuleux destin d'Amélie Poulain,两小无猜,傲慢与偏见,,,,,,
傲慢与偏见 Pride &amp; Prejudice,天使爱美丽,,,,,,,
傲慢与偏见,,,,,,,,
天使爱美丽,傲慢与偏见,,,,,,,
真爱至上 Love Actually,天使爱美丽,傲慢与偏见,,,,,,
傲慢与偏见,两小无猜,,,,,,,
燃烧女子的肖像 Portrait de la jeune fille en feu,每分钟120击,阿黛尔的生活,,,,,,
天使爱美丽,,,,,,,,
傲慢与偏见,,,,,,,,
每分钟120击,燃烧女子的肖像,,,,,,,
祖与占,,,,,,,,
碧海蓝天 Le grand bleu,两小无猜,蓝白红三部曲之蓝,,,,,,
傲慢与偏见,天使爱美丽,,,,,,,
天使爱美丽,,,,,,,,
蓝白红三部曲之红 Trois couleurs: Rouge,蓝白红三部曲之蓝,两生花,永恒和一日,新桥恋人,春天的故事,秋天的故事,,
蓝白红三部曲之蓝,精疲力尽,,,,,,,
赎罪 Atonement,傲慢与偏见,,,,,,,
燃烧女子的肖像,,,,,,,,
祖与占,广岛之恋,去年在马里昂巴德,蓝白红三部曲之蓝,精疲力尽,,,,
两小无猜,,,,,,,,
两小无猜,天使爱美丽,,,,,,,
傲慢与偏见,,,,,,,,
蓝色大门 藍色大門,两小无猜,天使爱美丽,,,,,,
祖与占,,,,,,,,
燃烧女子的肖像,每分钟120击,,,,,,,
天使爱美丽,,,,,,,,
祖与占,秋天的故事,,,,,,,
燃烧女子的肖像,,,,,,,,
燃烧女子的肖像,阿黛尔的生活,,,,,,,
花落花开,玫瑰人生,卡蜜儿·克劳岱尔,,,,,,
阿黛尔的生活 La Vie d'Adèle,燃烧女子的肖像,每分钟120击,,,,,,
蓝白红三部曲之蓝 Trois couleurs: Bleu,蓝白红三部曲之红,两生花,永恒和一日,新桥恋人,春天的故事,,,
春天的故事,蓝白红三部曲之蓝,,,,,,,
爱 Amour,祖与占,艺术家,蓝白红三部曲之蓝,,,,,
春天的故事,,,,,,,,
漫长的婚约,,,,,,,,
午夜巴黎 Midnight in Paris,天使爱美丽,,,,,,,
祖与占,,,,,,,,
两小无猜,,,,,,,,
两小无猜,,,,,,,,
傲慢与偏见,两小无猜,,,,,,,
傲慢与偏见,,,,,,,,
燃烧女子的肖像,阿黛尔的生活,每分钟120击,,,,,,
祖与占,新桥恋人,蓝白红三部曲之蓝,,,,,,
每分钟120击,燃烧女子的肖像,喜欢，轻吻，快跑,,,,,,
苦月亮 Bitter Moon,情人,白日美人,祖与占,戏梦巴黎,穿裘皮的维纳斯,,,
蓝白红三部曲之蓝,,,,,,,,
