肖申克的救赎 The Shawshank Redemption,阿甘正传,当幸福来敲门,荒岛余生,心灵捕手,死亡诗社,美丽心灵,,,,
罗马假日,泰坦尼克号,断背山,爱在黎明破晓前,,,,,,,
辛德勒的名单,拯救大兵瑞恩,1917,乱世佳人,罗马假日,,,,,,
辛德勒的名单 Schindler's List,拯救大兵瑞恩,1917,,,,,,,,
控方证人 Witness for the Prosecution,控方证人,记忆碎片,禁闭岛,十二怒汉,利刃出鞘,,,,,
阿甘正传 Forrest Gump,肖申克的救赎,当幸福来敲门,荒岛余生,心灵捕手,死亡诗社,美丽心灵,,,,
泰坦尼克号 Titanic,罗马假日,恋恋笔记本,爱在黎明破晓前,剪刀手爱德华,怦然心动,乱世佳人,,,,
这个杀手不太冷 Léon,罗马假日,泰坦尼克号,恋恋笔记本,爱在黎明破晓前,剪刀手爱德华,猫鼠游戏,怦然心动,,,
盗梦空间 Inception,蝴蝶效应,星际穿越,禁闭岛,记忆碎片,,,,,,
星际穿越 Interstellar,盗梦空间,X战警：逆转未来,,,,,,,,
楚门的世界 The Truman Show,盗梦空间,星际穿越,,,,,,,,
忠犬八公的故事 Hachi: A Dog's Tale,一条狗的使命,南极大冒险,多哥,狮子王,,,,,,
猫鼠游戏,七宗罪,小丑,沉默的羔羊,三块广告牌,,,,,,
十二怒汉 12 Angry Men,控方证人,记忆碎片,禁闭岛,七宗罪,,,,,,
猫鼠游戏,教父,美国往事,低俗小说,,,,,,,
音乐之声,爆裂鼓手,爱乐之城,八月迷情,,,,,,,
为奴十二年,公民凯恩,飞行家,社交网络,美丽心灵,,,,,,
雨人,海边的曼彻斯特,,,,,,,,,
音乐之声,爆裂鼓手,肖申克的救赎,阿甘正传,当幸福来敲门,,,,,,
摩登时代,,,,,,,,,,
拯救大兵瑞恩,辛德勒的名单,1917,,,,,,,,
幸福终点站,,,,,,,,,,
教父 The Godfather,教父2,美国往事,猫鼠游戏,低俗小说,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,勇敢的心,少年派的奇幻漂流,大鱼,拯救大兵瑞恩,角斗士,,,,
乱世佳人 Gone with the Wind,罗马假日,魂断蓝桥,卡萨布兰卡,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,,,,
猫鼠游戏,七宗罪,小丑,沉默的羔羊,,,,,,,
拯救大兵瑞恩,辛德勒的名单,1917,,,,,,,,
我是山姆,海边的曼彻斯特,天才少女,,,,,,,,
教父2 The Godfather: Part II,教父3,美国往事,猫鼠游戏,低俗小说,爱尔兰人,,,,,
阿甘正传,肖申克的救赎,,,,,,,,,
当幸福来敲门 The Pursuit of Happyness,阿甘正传,肖申克的救赎,荒岛余生,心灵捕手,叫我第一名,,,,,
饮食男女 飲食男女,雨人,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,猫鼠游戏,盗梦空间,,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,少年派的奇幻漂流,勇敢的心,大鱼,角斗士,,,,,,
死亡诗社 Dead Poets Society,心灵捕手,肖申克的救赎,阿甘正传,当幸福来敲门,百万美元宝贝,叫我第一名,,,,
罗马假日,爱在黎明破晓前,泰坦尼克号,乱世佳人,剪刀手爱德华,,,,,,
摩登时代 Modern Times,城市之光,寻子遇仙记,大独裁者,,,,,,,
猫鼠游戏,七宗罪,肖申克的救赎,,,,,,,,
记忆碎片,控方证人,禁闭岛,十二怒汉,蝴蝶效应,,,,,,
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,拯救大兵瑞恩,辛德勒的名单,1917,,,,,,,
少年派的奇幻漂流 Life of Pi,大鱼,本杰明·巴顿奇事,白日梦想家,,,,,,,
美国往事 Once Upon a Time in America,教父2,好家伙,低俗小说,爱尔兰人,赌城风云,,,,,
当幸福来敲门,雨人,我是山姆,,,,,,,,
怦然心动 Flipped,罗马假日,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,爱乐之城,,,,,
飞屋环游记 Up,,,,,,,,,,
1917,,,,,,,,,,
何以为家 كفرناحوم,海边的曼彻斯特,我是山姆,,,,,,,,
猫鼠游戏 Catch Me If You Can,华尔街之狼,七宗罪,血钻,小丑,沉默的羔羊,蝙蝠侠：黑暗骑士,教父,,,
罗马假日 Roman Holiday,泰坦尼克号,魂断蓝桥,爱在黎明破晓前,乱世佳人,恋恋笔记本,,,,,
闻香识女人 Scent of a Woman,罗马假日,爱在黎明破晓前,泰坦尼克号,恋恋笔记本,乱世佳人,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,少年派的奇幻漂流,勇敢的心,大鱼,角斗士,,,,,
拯救大兵瑞恩,光荣之路,现代启示录,,,,,,,,
美丽心灵 A Beautiful Mind,社交网络,飞行家,罗马假日,达拉斯买家俱乐部,爱在黎明破晓前,,,,,
拯救大兵瑞恩 Saving Private Ryan,辛德勒的名单,1917,,,,,,,,
音乐之声 The Sound of Music,罗马假日,爱乐之城,魂断蓝桥,泰坦尼克号,爱在黎明破晓前,恋恋笔记本,乱世佳人,,,
低俗小说,摩登时代,布达佩斯大饭店,被解救的姜戈,,,,,,,
飞越疯人院 One Flew Over the Cuckoo's Nest,低俗小说,布达佩斯大饭店,被解救的姜戈,,,,,,,
布达佩斯大饭店,低俗小说,,,,,,,,,
布达佩斯大饭店,,,,,,,,,,
当幸福来敲门,肖申克的救赎,阿甘正传,奇迹男孩,心灵捕手,,,,,,
控方证人,记忆碎片,禁闭岛,大卫·戈尔的一生,蝴蝶效应,,,,,,
断背山,,,,,,,,,,
本杰明·巴顿奇事 The Curious Case of Benjamin Button,罗马假日,爱在黎明破晓前,恋恋笔记本,泰坦尼克号,爱乐之城,,,,,
城市之光 City Lights,摩登时代,寻子遇仙记,大独裁者,,,,,,,
搏击俱乐部 Fight Club,记忆碎片,七宗罪,禁闭岛,控方证人,沉默的羔羊,,,,,
海边的曼彻斯特,,,,,,,,,,
完美的世界 A Perfect World,猫鼠游戏,末路狂花,血钻,七宗罪,,,,,,
忠犬八公的故事,丛林赤子心,一条狗的使命,南极大冒险,多哥,,,,,,
喜宴 囍宴,断背山,,,,,,,,,
超脱 Detachment,布达佩斯大饭店,爱在黎明破晓前,海边的曼彻斯特,,,,,,,
公民凯恩,极速车王,达拉斯买家俱乐部,美丽心灵,,,,,,,
绿皮书 Green Book,,,,,,,,,,
布达佩斯大饭店,爱在黎明破晓前,,,,,,,,,
布达佩斯大饭店,爱在黎明破晓前,,,,,,,,,
教父3 The Godfather: Part III,教父2,美国往事,猫鼠游戏,爱尔兰人,低俗小说,,,,,
爱在黎明破晓前,罗马假日,,,,,,,,,
