这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
勇敢的心 Braveheart,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,奇异博士,阿凡达,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,勇敢的心,奇异博士,角斗士,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
勇敢的心 Braveheart,角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,
福尔摩斯二世 Sherlock Jr.,,,,,,,,,,
福尔摩斯二世 Sherlock Jr.,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,,,,,,,,,,
黑客帝国 The Matrix,,,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
勇敢的心 Braveheart,,,,,,,,,,
阿凡达 Avatar,,,,,,,,,,
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,,,,,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,,,,,
被解救的姜戈 Django Unchained,,,,,,,,,,
黑客帝国3：矩阵革命 The Matrix Revolutions,,,,,,,,,,
谍影重重3 The Bourne Ultimatum,,,,,,,,,,
头号玩家 Ready Player One,,,,,,,,,,
终结者2：审判日 Terminator 2: Judgment Day,,,,,,,,,,
超能陆战队 Big Hero 6,,,,,,,,,,
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,,,,,,,,,,
黑客帝国2：重装上阵 The Matrix Reloaded,,,,,,,,,,
谍影重重2 The Bourne Supremacy,,,,,,,,,,
黑鹰坠落 Black Hawk Down,,,,,,,,,,
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,,,,,,,,,,
谍影重重 The Bourne Identity,,,,,,,,,,
霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,,,,,,,,,,
复仇者联盟4：终局之战 Avengers: Endgame,,,,,,,,,,
勇闯夺命岛 The Rock,,,,,,,,,,
角斗士 Gladiator,,,,,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,,,,,
黄海 황해,,,,,,,,,,
乱,,,,,,,,,,
守望者 Watchmen,,,,,,,,,,
变脸 Face/Off,,,,,,,,,,
速度与激情5 Fast Five,,,,,,,,,,
霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,,,,,,,,,,
速度与激情7 Furious 7,,,,,,,,,,
王牌特工：特工学院 Kingsman: The Secret Service,,,,,,,,,,
钢铁侠 Iron Man,,,,,,,,,,
碟中谍4 Mission: Impossible - Ghost Protocol,,,,,,,,,,
加勒比海盗2：聚魂棺 Pirates of the Caribbean: Dead Man's Chest,,,,,,,,,,
霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,,,,,,,,,,
启示 Apocalypto,,,,,,,,,,
杀死比尔 Kill Bill: Vol. 1,,,,,,,,,,
银翼杀手2049 Blade Runner 2049,,,,,,,,,,
变形金刚 Transformers,,,,,,,,,,
第九区 District 9,,,,,,,,,,
金刚狼3：殊死一战 Logan,,,,,,,,,,
精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,,,,,,,,,,
加勒比海盗3：世界的尽头 Pirates of the Caribbean: At World's End,,,,,,,,,,
星球大战 Star Wars,,,,,,,,,,
罪恶之城 Sin City,,,,,,,,,,
盗火线 Heat,,,,,,,,,,
铁甲钢拳 Real Steel,,,,,,,,,,
王牌对王牌 The Negotiator,,,,,,,,,,
飓风营救 Taken,,,,,,,,,,
复仇者联盟 The Avengers,,,,,,,,,,
功夫熊猫 Kung Fu Panda,,,,,,,,,,
明日边缘 Edge of Tomorrow,,,,,,,,,,
绅士们 The Gentlemen,,,,,,,,,,
星球大战前传3：西斯的复仇 Star Wars: Episode III - Revenge of the Sith,,,,,,,,,,
X战警：逆转未来 X-Men: Days of Future Past,,,,,,,,,,
生化危机 Resident Evil,,,,,,,,,,
X战警：第一战 X-Men: First Class,,,,,,,,,,
西线无战事 Im Westen nichts Neues,,,,,,,,,,
黑衣人 Men in Black,,,,,,,,,,
超人总动员 The Incredibles,,,,,,,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,,,,,,,,,,
"我，机器人 I, Robot",,,,,,,,,,
复仇者联盟3：无限战争 Avengers: Infinity War,,,,,,,,,,
银河护卫队 Guardians of the Galaxy,,,,,,,,,,
星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,,,,,,,,,,
猩球崛起 Rise of the Planet of the Apes,,,,,,,,,,
终结者 The Terminator,,,,,,,,,,
黑客帝国动画版 The Animatrix,,,,,,,,,,
空中监狱 Con Air,,,,,,,,,,
星球大战3：绝地归来 Star Wars: Episode VI - Return of the Jedi,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,奇异博士,阿凡达,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,勇敢的心,奇异博士,角斗士,,,,
黑客帝国 The Matrix,黑客帝国3：矩阵革命,终结者2：审判日,阿凡达,变形金刚,钢铁侠,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
勇敢的心 Braveheart,角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,
阿凡达 Avatar,黑客帝国,变形金刚,终结者2：审判日,头号玩家,钢铁侠,第九区,,,,
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,奇异博士,头号玩家,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,终结者2：审判日,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,
被解救的姜戈 Django Unchained,杀死比尔,搏击俱乐部,,,,,,,,
黑客帝国3：矩阵革命 The Matrix Revolutions,黑客帝国2：重装上阵,终结者2：审判日,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,,,
谍影重重3 The Bourne Ultimatum,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,
头号玩家 Ready Player One,黑客帝国,阿凡达,钢铁侠,复仇者联盟3：无限战争,美国队长3,银翼杀手2049,,,,
终结者2：审判日 Terminator 2: Judgment Day,终结者,黑客帝国3：矩阵革命,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,我是传奇,,
超能陆战队 Big Hero 6,,,,,,,,,,
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,黑客帝国3：矩阵革命,终结者2：审判日,头号玩家,明日边缘,谍影重重3,杀死比尔,X战警：逆转未来,阿凡达,蝙蝠侠：黑暗骑士崛起,
黑客帝国2：重装上阵 The Matrix Reloaded,黑客帝国3：矩阵革命,终结者2：审判日,我，机器人,变形金刚,钢铁侠,阿凡达,第九区,我是传奇,,
谍影重重2 The Bourne Supremacy,谍影重重3,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,
黑鹰坠落 Black Hawk Down,狂怒,风语者,猎杀U-571,,,,,,,
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,超人总动员,钢铁侠,复仇者联盟3：无限战争,美国队长2,,,,,,
谍影重重 The Bourne Identity,谍影重重2,勇闯夺命岛,碟中谍,飓风营救,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,
霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,霍比特人2：史矛革之战,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,
复仇者联盟4：终局之战 Avengers: Endgame,钢铁侠,复仇者联盟3：无限战争,美国队长3,无敌浩克,头号玩家,雷神2：黑暗世界,蚁人,X战警：逆转未来,惊奇队长,阿凡达
勇闯夺命岛 The Rock,空中监狱,变脸,谍影重重3,生死时速,真实的谎言,飓风营救,碟中谍,国家公敌,虎胆龙威,偷天陷阱
角斗士 Gladiator,勇敢的心,黑鹰坠落,斯巴达300勇士,特洛伊,勇闯夺命岛,指环王3：王者无敌,,,,
蝙蝠侠：侠影之谜 Batman Begins,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,终结者2：审判日,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟
黄海 황해,,,,,,,,,,
乱,,,,,,,,,,
