黑鹰坠落,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
黑客帝国,阿凡达,头号玩家,,,,,,,,
黑客帝国,阿凡达,头号玩家,钢铁侠,复仇者联盟,X战警：逆转未来,明日边缘,,,,
黑鹰坠落,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
黑鹰坠落,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,奇异博士,阿凡达,,,,
黑鹰坠落,,,,,,,,,,
加勒比海盗,霍比特人1：意外之旅,头号玩家,奇异博士,,,,,,,
黑鹰坠落,,,,,,,,,,
蝙蝠侠：黑暗骑士,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,勇敢的心,奇异博士,角斗士,,,,
黑鹰坠落,,,,,,,,,,
黑鹰坠落,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
搏击俱乐部,罪恶之城,,,,,,,,,
勇敢的心 Braveheart,角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,
加勒比海盗,霍比特人1：意外之旅,,,,,,,,,
搏击俱乐部,,,,,,,,,,
加勒比海盗,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
勇敢的心,黑鹰坠落,角斗士,,,,,,,,
黑鹰坠落,勇敢的心,,,,,,,,,
黑鹰坠落,,,,,,,,,,
黑客帝国3：矩阵革命,第九区,,,,,,,,,
勇闯夺命岛,谍影重重3,铁甲钢拳,,,,,,,,
黑客帝国3：矩阵革命,第九区,阿凡达,终结者2：审判日,我，机器人,,,,,,
福尔摩斯二世,,,,,,,,,,
勇闯夺命岛,黑鹰坠落,变脸,谍影重重2,蝙蝠侠：黑暗骑士,,,,,,
谍影重重3,变脸,,,,,,,,,
黑鹰坠落,勇敢的心,角斗士,,,,,,,,
黑客帝国动画版,,,,,,,,,,
黑客帝国3：矩阵革命,终结者2：审判日,阿凡达,第九区,变形金刚,,,,,,
宾虚,勇敢的心,角斗士,指环王3：王者无敌,,,,,,,
荒野猎人,,,,,,,,,,
野战排,黑鹰坠落,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
失控玩家,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
加勒比海盗,,,,,,,,,,
福尔摩斯二世 Sherlock Jr.,,,,,,,,,,
第一滴血,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
保镖,,,,,,,,,,
龙争虎斗,,,,,,,,,,
加勒比海盗2：聚魂棺,,,,,,,,,,
第九区,,,,,,,,,,
福尔摩斯二世,,,,,,,,,,
谍影重重3,,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,阿凡达,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,黑客帝国,钢铁侠,终结者2：审判日,复仇者联盟,阿凡达,美国队长2,变形金刚,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,勇敢的心,角斗士,奇异博士,阿凡达,,,,
黑鹰坠落,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,勇敢的心,奇异博士,角斗士,,,,
黑客帝国 The Matrix,黑客帝国3：矩阵革命,终结者2：审判日,阿凡达,变形金刚,钢铁侠,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
勇敢的心 Braveheart,角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,
阿凡达 Avatar,黑客帝国,变形金刚,终结者2：审判日,头号玩家,钢铁侠,第九区,,,,
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,奇异博士,头号玩家,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,终结者2：审判日,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,
被解救的姜戈 Django Unchained,杀死比尔,搏击俱乐部,,,,,,,,
黑客帝国3：矩阵革命 The Matrix Revolutions,黑客帝国2：重装上阵,终结者2：审判日,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,,,
谍影重重3 The Bourne Ultimatum,谍影重重2,勇闯夺命岛,碟中谍,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,,
头号玩家 Ready Player One,黑客帝国,阿凡达,钢铁侠,复仇者联盟3：无限战争,美国队长3,银翼杀手2049,,,,
终结者2：审判日 Terminator 2: Judgment Day,终结者,黑客帝国3：矩阵革命,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,我是传奇,,
超能陆战队 Big Hero 6,,,,,,,,,,
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,黑客帝国3：矩阵革命,终结者2：审判日,头号玩家,明日边缘,谍影重重3,杀死比尔,X战警：逆转未来,阿凡达,蝙蝠侠：黑暗骑士崛起,
黑客帝国2：重装上阵 The Matrix Reloaded,黑客帝国3：矩阵革命,终结者2：审判日,我，机器人,变形金刚,钢铁侠,阿凡达,第九区,我是传奇,,
谍影重重2 The Bourne Supremacy,谍影重重3,勇闯夺命岛,碟中谍,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,,
谍影重重3,变脸,,,,,,,,,
黑鹰坠落 Black Hawk Down,狂怒,风语者,,,,,,,,
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,超人总动员,钢铁侠,复仇者联盟3：无限战争,美国队长2,,,,,,
勇闯夺命岛,,,,,,,,,,
谍影重重 The Bourne Identity,谍影重重2,勇闯夺命岛,碟中谍,变脸,速度与激情5,终结者2：审判日,黑客帝国3：矩阵革命,,,
霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,霍比特人2：史矛革之战,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,
复仇者联盟4：终局之战 Avengers: Endgame,钢铁侠,复仇者联盟3：无限战争,美国队长3,无敌浩克,头号玩家,雷神2：黑暗世界,蚁人,X战警：逆转未来,惊奇队长,阿凡达
勇闯夺命岛 The Rock,空中监狱,变脸,谍影重重3,生死时速,真实的谎言,碟中谍,国家公敌,虎胆龙威,偷天陷阱,
角斗士 Gladiator,勇敢的心,黑鹰坠落,斯巴达300勇士,特洛伊,勇闯夺命岛,指环王3：王者无敌,,,,
蝙蝠侠：侠影之谜 Batman Begins,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,终结者2：审判日,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟
黄海 황해,,,,,,,,,,
守望者 Watchmen,扎克·施奈德版正义联盟,黑客帝国2：重装上阵,蝙蝠侠：侠影之谜,X战警：逆转未来,终结者2：审判日,超人：钢铁之躯,我，机器人,蜘蛛侠,变形金刚,
变脸 Face/Off,勇闯夺命岛,空中监狱,谍影重重3,终结者2：审判日,生死时速,真实的谎言,碟中谍,黑客帝国3：矩阵革命,我，机器人,
速度与激情5 Fast Five,速度与激情4,碟中谍4,谍影重重3,蝙蝠侠：黑暗骑士崛起,钢铁侠,美国队长2,变形金刚2,,,
霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,霍比特人1：意外之旅,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,
关山飞渡,日落黄沙,,,,,,,,,
速度与激情7 Furious 7,速度与激情6,碟中谍5：神秘国度,美国队长3,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,,,,
