控方证人 Witness for the Prosecution,,,,,,,,,,
盗梦空间 Inception,,,,,,,,,,
窃听风暴 Das Leben der Anderen,,,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,,
禁闭岛 Shutter Island,,,,,,,,,,
蝴蝶效应 The Butterfly Effect,,,,,,,,,,
致命魔术 The Prestige,,,,,,,,,,
第六感 The Sixth Sense,,,,,,,,,,
绿里奇迹 The Green Mile,,,,,,,,,,
七宗罪 Se7en,,,,,,,,,,
控方证人 Witness for the Prosecution,,,,,,,,,,
记忆碎片 Memento,,,,,,,,,,
控方证人 Witness for the Prosecution,看不见的客人,控方证人,记忆碎片,禁闭岛,电话谋杀案,追随,致命魔术,非常嫌疑犯,,
盗梦空间 Inception,致命魔术,源代码,禁闭岛,记忆碎片,看不见的客人,,,,,
窃听风暴 Das Leben der Anderen,记忆碎片,控方证人,致命魔术,禁闭岛,看不见的客人,穆赫兰道,非常嫌疑犯,追随,,
搏击俱乐部 Fight Club,记忆碎片,七宗罪,禁闭岛,致命魔术,控方证人,非常嫌疑犯,看不见的客人,穆赫兰道,,
禁闭岛 Shutter Island,记忆碎片,恐怖游轮,致命ID,看不见的客人,七宗罪,穆赫兰道,第六感,控方证人,,
蝴蝶效应 The Butterfly Effect,禁闭岛,致命魔术,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪,
致命魔术 The Prestige,记忆碎片,禁闭岛,看不见的客人,控方证人,穆赫兰道,源代码,致命ID,,,
第六感 The Sixth Sense,恐怖游轮,禁闭岛,致命ID,记忆碎片,小岛惊魂,万能钥匙,穆赫兰道,,,
绿里奇迹 The Green Mile,致命魔术,,,,,,,,,
七宗罪 Se7en,记忆碎片,禁闭岛,致命ID,看不见的客人,非常嫌疑犯,恐怖游轮,,,,
控方证人 Witness for the Prosecution,控方证人,东方快车谋杀案,尼罗河上的惨案,十二怒汉（电视版）,看不见的客人,记忆碎片,电话谋杀案,禁闭岛,非常嫌疑犯,
记忆碎片 Memento,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,控方证人,
﻿,,,,,,,,,,
迷魂记 Vertigo,,,,,,,,,,
蓝白红三部曲之红 Trois couleurs: Rouge,,,,,,,,,,
赎罪 Atonement,,,,,,,,,,
巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs,,,,,,,,,,
最佳出价 La migliore offerta,,,,,,,,,,
蓝白红三部曲之白 Trois couleurs: Blanc,,,,,,,,,,
蝴蝶梦 Rebecca,,,,,,,,,,
赛末点 Match Point,,,,,,,,,,
迷魂记 Vertigo,后窗,西北偏北,电话谋杀案,惊魂记,爱德华大夫,夺魂索,贵妇失踪记,群鸟,三十九级台阶,
蓝白红三部曲之红 Trois couleurs: Rouge,,,,,,,,,,
赎罪 Atonement,,,,,,,,,,
