控方证人 Witness for the Prosecution,控方证人,记忆碎片,禁闭岛,电话谋杀案,,,
盗梦空间 Inception,源代码,禁闭岛,记忆碎片,,,,
源代码,,,,,,,
七宗罪,,,,,,,
控方证人,记忆碎片,禁闭岛,七宗罪,惊魂记,,,
公民凯恩,,,,,,,
七宗罪,,,,,,,
七宗罪,,,,,,,
记忆碎片,控方证人,禁闭岛,,,,,
七宗罪,,,,,,,
控方证人,记忆碎片,禁闭岛,大卫·戈尔的一生,,,,
搏击俱乐部 Fight Club,记忆碎片,七宗罪,禁闭岛,控方证人,,,
七宗罪,,,,,,,
公民凯恩,,,,,,,
禁闭岛 Shutter Island,记忆碎片,致命ID,七宗罪,第六感,控方证人,,
蝴蝶效应 The Butterfly Effect,禁闭岛,记忆碎片,源代码,彗星来的那一夜,七宗罪,,
七宗罪,致命ID,禁闭岛,记忆碎片,第六感,电锯惊魂,,
致命魔术 The Prestige,记忆碎片,禁闭岛,控方证人,源代码,致命ID,,
记忆碎片,七宗罪,禁闭岛,控方证人,致命ID,,,
第六感 The Sixth Sense,禁闭岛,致命ID,记忆碎片,小岛惊魂,万能钥匙,,
七宗罪,,,,,,,
七宗罪,,,,,,,
绿里奇迹 The Green Mile,,,,,,,
七宗罪 Se7en,记忆碎片,禁闭岛,致命ID,,,,
控方证人,记忆碎片,禁闭岛,网络谜踪,,,,
控方证人,记忆碎片,后窗,惊魂记,禁闭岛,西北偏北,,
十二猴子,源代码,异次元骇客,,,,,
控方证人 Witness for the Prosecution,控方证人,十二怒汉（电视版）,记忆碎片,电话谋杀案,禁闭岛,,
记忆碎片,七宗罪,控方证人,致命ID,禁闭岛,,,
记忆碎片 Memento,禁闭岛,七宗罪,控方证人,,,,
谍影重重3,,,,,,,
源代码,,,,,,,
谍影重重2,七宗罪,,,,,,
七宗罪,,,,,,,
谍影重重3,,,,,,,
刺杀肯尼迪,,,,,,,
电话谋杀案,洛城机密,双重赔偿,,,,,
公民凯恩,,,,,,,
洛城机密,七宗罪,,,,,,
公民凯恩,,,,,,,
迷魂记 Vertigo,后窗,西北偏北,电话谋杀案,惊魂记,爱德华大夫,夺魂索,群鸟
公民凯恩,,,,,,,
巴斯特·斯克鲁格斯的歌谣 The Ballad of Buster Scruggs,,,,,,,
大卫·戈尔的一生,控方证人,记忆碎片,消失的爱人,网络谜踪,,,
蝴蝶梦 Rebecca,爱德华大夫,深闺疑云,迷魂记,西北偏北,后窗,电话谋杀案,夺魂索
十二猴子,异次元骇客,,,,,,
