蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
搏击俱乐部 Fight Club,,,,,,,
禁闭岛 Shutter Island,,,,,,,
蝴蝶效应 The Butterfly Effect,,,,,,,
沉默的羔羊 The Silence of the Lambs,,,,,,,
致命魔术 The Prestige,,,,,,,
第六感 The Sixth Sense,,,,,,,
七宗罪 Se7en,,,,,,,
千钧一发 Gattaca,,,,,,,
记忆碎片 Memento,,,,,,,
血钻 Blood Diamond,,,,,,,
洞 Le trou,,,,,,,
老无所依 No Country for Old Men,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
搏击俱乐部 Fight Club,非常嫌疑犯,沉默的羔羊,,,,,
禁闭岛 Shutter Island,沉默的羔羊,,,,,,
蝴蝶效应 The Butterfly Effect,,,,,,,
沉默的羔羊 The Silence of the Lambs,汉尼拔,电锯惊魂,,,,,
致命魔术 The Prestige,,,,,,,
第六感 The Sixth Sense,沉默的羔羊,,,,,,
七宗罪 Se7en,沉默的羔羊,非常嫌疑犯,,,,,
千钧一发 Gattaca,2001太空漫游,,,,,,
记忆碎片 Memento,非常嫌疑犯,追随,,,,,
血钻 Blood Diamond,,,,,,,
洞 Le trou,杀手,电话谋杀案,追随,M就是凶手,非常嫌疑犯,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,非常嫌疑犯,落水狗,,,
迷魂记 Vertigo,,,,,,,
苦月亮 Bitter Moon,,,,,,,
迷魂记 Vertigo,后窗,西北偏北,电话谋杀案,惊魂记,夺魂索,群鸟,三十九级台阶
苦月亮 Bitter Moon,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
搏击俱乐部 Fight Club,,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,,
谍影重重3 The Bourne Ultimatum,,,,,,,
谍影重重2 The Bourne Supremacy,,,,,,,
谍影重重 The Bourne Identity,,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,,
变脸 Face/Off,,,,,,,
钢铁侠 Iron Man,,,,,,,
碟中谍4 Mission: Impossible - Ghost Protocol,,,,,,,
杀死比尔 Kill Bill: Vol. 1,,,,,,,
第九区 District 9,,,,,,,
精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,,,,,,,
罪恶之城 Sin City,,,,,,,
盗火线 Heat,,,,,,,
王牌对王牌 The Negotiator,,,,,,,
飓风营救 Taken,,,,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,,,,,,,
"我，机器人 I, Robot",,,,,,,
终结者 The Terminator,,,,,,,
空中监狱 Con Air,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
搏击俱乐部 Fight Club,非常嫌疑犯,沉默的羔羊,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,,
谍影重重3 The Bourne Ultimatum,碟中谍,,,,,,
谍影重重2 The Bourne Supremacy,碟中谍,,,,,,
谍影重重 The Bourne Identity,碟中谍,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,,
变脸 Face/Off,生死时速,碟中谍,,,,,
钢铁侠 Iron Man,,,,,,,
碟中谍4 Mission: Impossible - Ghost Protocol,碟中谍3,,,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,落水狗,,,,
第九区 District 9,,,,,,,
精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,训练日,,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,落水狗,,,,
盗火线 Heat,情枭的黎明,疤面煞星,训练日,,,,
王牌对王牌 The Negotiator,非常嫌疑犯,十一罗汉,追随,,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,碟中谍5：神秘国度,,,,,,
"我，机器人 I, Robot",少数派报告,侏罗纪公园,,,,,
终结者 The Terminator,侏罗纪公园,,,,,,
空中监狱 Con Air,生死时速,极速60秒,虎胆龙威4,断箭,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
沉默的羔羊 The Silence of the Lambs,,,,,,,
末路狂花 Thelma &amp; Louise,,,,,,,
追随 Following,,,,,,,
看不见的客人 Contratiempo,,,,,,,
洞 Le trou,,,,,,,
七宗罪 Se7en,,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,,
电话谋杀案 Dial M for Murder,,,,,,,
小丑 Joker,,,,,,,
消失的爱人 Gone Girl,,,,,,,
记忆碎片 Memento,,,,,,,
洛城机密 L.A. Confidential,,,,,,,
非常嫌疑犯 The Usual Suspects,,,,,,,
精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,,,,,,,
网络谜踪 Searching,,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,,
变脸 Face/Off,,,,,,,
盗火线 Heat,,,,,,,
王牌对王牌 The Negotiator,,,,,,,
落水狗 Reservoir Dogs,,,,,,,
罪恶之城 Sin City,,,,,,,
杀死比尔 Kill Bill: Vol. 1,,,,,,,
情枭的黎明 Carlito's Way,,,,,,,
老无所依 No Country for Old Men,,,,,,,
飓风营救 Taken,,,,,,,
汉尼拔 Hannibal,,,,,,,
夜行者 Nightcrawler,,,,,,,
危情十日 Misery,,,,,,,
我是谁：没有绝对安全的系统 Who Am I - Kein System ist sicher,,,,,,,
空中监狱 Con Air,,,,,,,
唐人街 Chinatown,,,,,,,
天才瑞普利 The Talented Mr. Ripley,,,,,,,
疤面煞星 Scarface,,,,,,,
生死时速 Speed,,,,,,,
杀死比尔2 Kill Bill: Vol. 2,,,,,,,
双重赔偿 Double Indemnity,,,,,,,
龙纹身的女孩 The Girl with the Dragon Tattoo,,,,,,,
罗拉快跑 Lola rennt,,,,,,,
杀手 The Killing,,,,,,,
迫在眉梢 John Q,,,,,,,
虎胆龙威 Die Hard,,,,,,,
大佬 Brother,,,,,,,
微不足道 Big Nothing,,,,,,,
不良教育 La mala educación,,,,,,,
处刑人 The Boondock Saints,,,,,,,
烈焰焚币 Plata quemada,,,,,,,
狙击电话亭 Phone Booth,,,,,,,
冰血暴 Fargo,,,,,,,
十一罗汉 Ocean's Eleven,,,,,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,,,,,,,
训练日 Training Day,,,,,,,
夺魂索 Rope,,,,,,,
少数派报告 Minority Report,,,,,,,
续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie,,,,,,,
疾速追杀2 John Wick: Chapter 2,,,,,,,
疾速追杀 John Wick,,,,,,,
精英部队 Tropa de Elite,,,,,,,
火车怪客 Strangers on a Train,,,,,,,
神秘河 Mystic River,,,,,,,
亡命天涯 The Fugitive,,,,,,,
红龙 Red Dragon,,,,,,,
偷天陷阱 Entrapment,,,,,,,
边境杀手 Sicario,,,,,,,
美国精神病人 American Psycho,,,,,,,
恶魔 Les Diaboliques,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,,
沉默的羔羊 The Silence of the Lambs,汉尼拔,电锯惊魂,,,,,
末路狂花 Thelma &amp; Louise,老无所依,落水狗,杀死比尔,,,,
追随 Following,非常嫌疑犯,惊魂记,,,,,
看不见的客人 Contratiempo,,,,,,,
洞 Le trou,杀手,电话谋杀案,追随,M就是凶手,非常嫌疑犯,,
