洞 Le trou,独行杀手,,,,,
祖与占,,,,,,
精疲力尽,,,,,,
祖与占,广岛之恋,去年在马里昂巴德,精疲力尽,,,
祖与占,,,,,,
祖与占,,,,,,
祖与占,,,,,,
祖与占,,,,,,
祖与占,,,,,,
白日美人,祖与占,,,,,
祖与占,,,,,,
大幻影,影子部队,,,,,
午后之爱,,,,,,
祖与占,去年在马里昂巴德,,,,,
白日美人,,,,,,
祖与占,,,,,,
精疲力尽 À bout de souffle,祖与占,法外之徒,狂人皮埃罗,随心所欲,去年在马里昂巴德,扒手
午后之爱,祖与占,慕德家一夜,,,,
午后之爱,慕德家一夜,,,,,
祖与占,,,,,,
扒手,法外之徒,精疲力尽,,,,
洞 Le trou,独行杀手,,,,,
法外之徒,扒手,精疲力尽,,,,
四百击 Les quatre cents coups,法外之徒,扒手,精疲力尽,狂人皮埃罗,,
精疲力尽,,,,,,
怪房客,,,,,,
祖与占,,,,,,
法外之徒,扒手,精疲力尽,狂人皮埃罗,,,
精疲力尽 À bout de souffle,祖与占,法外之徒,狂人皮埃罗,随心所欲,去年在马里昂巴德,扒手
法外之徒,独行杀手,,,,,
狂人皮埃罗 Pierrot le fou,精疲力尽,法外之徒,祖与占,女人就是女人,随心所欲,扒手
法外之徒 Bande à part,扒手,精疲力尽,狂人皮埃罗,通往绞刑架的电梯,独行杀手,射杀钢琴师
自由的幻影,资产阶级的审慎魅力,,,,,
法外之徒,扒手,独行杀手,精疲力尽,祖与占,,
男人的争斗,扒手,红圈,,,,
扒手,法外之徒,,,,,
恶魔 Les Diaboliques,恐惧的代价,乌鸦,,,,
