霸王别姬,春光乍泄,重庆森林,甜蜜蜜,,,,,,
末代皇帝 The Last Emperor,茶馆,,,,,,,,
茶馆,骆驼祥子,无言的山丘,荆轲刺秦王,阿Q正传,雷雨,横空出世,,,
活着,饮食男女,茶馆,霸王别姬,,,,,,
背靠背，脸对脸,黑炮事件,有话好好说,顽主,,,,,,
饮食男女 飲食男女,推手,喜宴,,,,,,,
高山下的花环,大决战之辽沈战役,,,,,,,,
横空出世,我的1919,大决战之辽沈战役,茶馆,荆轲刺秦王,高山下的花环,,,,
芙蓉镇,牧马人,甜蜜蜜,老井,重庆森林,红高粱,独立时代,恋恋风尘,,
春光乍泄 春光乍洩,重庆森林,喜宴,霸王别姬,阿飞正传,甜蜜蜜,,,,
喜宴 囍宴,推手,饮食男女,春光乍泄,,,,,,
南海十三郎,阮玲玉,跛豪,岁月风云之上海皇帝,,,,,,
城南旧事,过年,推手,饮食男女,那山那人那狗,悲情城市,,,,
阳光灿烂的日子,重庆森林,甜蜜蜜,阿飞正传,东邪西毒,,,,,
甜蜜蜜,重庆森林,阿飞正传,,,,,,,
牯岭街少年杀人事件 牯嶺街少年殺人事件,,,,,,,,,
喜剧之王 喜劇之王,九品芝麻官,,,,,,,,
重庆森林 重慶森林,甜蜜蜜,堕落天使,阿飞正传,春光乍泄,东邪西毒,,,,
牧马人,天云山传奇,芙蓉镇,人生,老井,甜蜜蜜,,,,
枪火 鎗火,暗花,黑金,英雄本色,跛豪,,,,,
悲情城市,海上花,小武,独立时代,,,,,,
天堂回信,过年,饮食男女,那山那人那狗,,,,,,
东邪西毒 東邪西毒,重庆森林,阿飞正传,甜蜜蜜,胭脂扣,,,,,
英雄本色,英雄本色2,纵横四海,枪火,喋血双雄,暗战,,,,
变脸,本命年,小武,孩子王,大红灯笼高高挂,那山那人那狗,,,,
家有喜事 家有囍事,赌侠,,,,,,,,
红高粱,重庆森林,甜蜜蜜,胭脂扣,阿飞正传,我的父亲母亲,芙蓉镇,,,
赌神 賭神,赌侠,九品芝麻官,,,,,,,
笑傲江湖2：东方不败 笑傲江湖II東方不敗,黄飞鸿,精武英雄,,,,,,,
霸王别姬,春光乍泄,重庆森林,甜蜜蜜,,,,,,
芙蓉镇,牧马人,甜蜜蜜,老井,重庆森林,红高粱,独立时代,恋恋风尘,,
南海十三郎,阮玲玉,跛豪,岁月风云之上海皇帝,,,,,,
春光乍泄 春光乍洩,重庆森林,喜宴,霸王别姬,阿飞正传,甜蜜蜜,,,,
喜宴 囍宴,推手,饮食男女,春光乍泄,,,,,,
阳光灿烂的日子,重庆森林,甜蜜蜜,阿飞正传,东邪西毒,,,,,
甜蜜蜜,重庆森林,阿飞正传,,,,,,,
牧马人,天云山传奇,芙蓉镇,人生,老井,甜蜜蜜,,,,
喜剧之王 喜劇之王,九品芝麻官,,,,,,,,
重庆森林 重慶森林,甜蜜蜜,堕落天使,阿飞正传,春光乍泄,东邪西毒,,,,
东邪西毒 東邪西毒,重庆森林,阿飞正传,甜蜜蜜,胭脂扣,,,,,
青蛇,甜蜜蜜,胭脂扣,重庆森林,东邪西毒,,,,,
恋恋风尘 戀戀風塵,独立时代,海滩的一天,悲情城市,青梅竹马,,,,,
阿飞正传 阿飛正傳,重庆森林,堕落天使,甜蜜蜜,胭脂扣,东邪西毒,春光乍泄,,,
阮玲玉,南海十三郎,海上花,戏梦人生,悲情城市,宋家皇朝,,,,
胭脂扣,夜半歌声,甜蜜蜜,重庆森林,半生缘,阿飞正传,,,,
家有喜事 家有囍事,赌侠,,,,,,,,
红高粱,重庆森林,甜蜜蜜,胭脂扣,阿飞正传,我的父亲母亲,芙蓉镇,,,
笑傲江湖2：东方不败 笑傲江湖II東方不敗,黄飞鸿,精武英雄,,,,,,,
秋天的童话 秋天的童話,阿郎的故事,甜蜜蜜,胭脂扣,半生缘,天若有情,玻璃之城,新不了情,,
堕落天使 墮落天使,重庆森林,阿飞正传,甜蜜蜜,胭脂扣,,,,,
自梳,,,,,,,,,
天若有情,秋天的童话,阿郎的故事,旺角卡门,天若有情3烽火佳人,胭脂扣,甜蜜蜜,烈火战车,龙在江湖,
梁祝,胭脂扣,半生缘,甜蜜蜜,天若有情,秋天的童话,新不了情,,,
我的父亲母亲,甜蜜蜜,胭脂扣,重庆森林,红高粱,,,,,
黄飞鸿之二：男儿当自强 黃飛鴻之二男兒當自強,黄飞鸿之三：狮王争霸,精武英雄,笑傲江湖2：东方不败,新少林五祖,给爸爸的信,中南海保镖,,,
新不了情,秋天的童话,玻璃之城,半生缘,夜半歌声,胭脂扣,甜蜜蜜,,,
海滩的一天 海灘的一天,青梅竹马,独立时代,,,,,,,
本命年,小武,悲情城市,变脸,独立时代,,,,,
纵横四海 緃横四海,英雄本色,赌神,九品芝麻官,喜剧之王,,,,,
枪火 鎗火,暗花,黑金,英雄本色,跛豪,,,,,
东邪西毒 東邪西毒,重庆森林,阿飞正传,甜蜜蜜,胭脂扣,,,,,
英雄本色,英雄本色2,纵横四海,枪火,喋血双雄,暗战,,,,
暗战 暗戰,英雄本色,喋血双雄,精武英雄,,,,,,
精武英雄,给爸爸的信,黄飞鸿之二：男儿当自强,中南海保镖,新少林五祖,,,,,
英雄本色2,喋血双雄,精武英雄,监狱风云,纵横四海,,,,,
喋血双雄 喋血雙雄,英雄本色2,喋血街头,辣手神探,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
监狱风云 監獄風雲,监狱风云2：逃犯,英雄本色2,喋血双雄,精武英雄,黑金,枪火,古惑仔3之只手遮天,,
天若有情,秋天的童话,阿郎的故事,旺角卡门,天若有情3烽火佳人,胭脂扣,甜蜜蜜,烈火战车,龙在江湖,
暗花,枪火,黑金,跛豪,真心英雄,喋血街头,,,,
黄飞鸿 黃飛鴻,黄飞鸿之二：男儿当自强,精武英雄,笑傲江湖2：东方不败,新少林五祖,给爸爸的信,中南海保镖,,,
黄飞鸿之二：男儿当自强 黃飛鴻之二男兒當自強,黄飞鸿之三：狮王争霸,精武英雄,笑傲江湖2：东方不败,新少林五祖,给爸爸的信,中南海保镖,,,
牯岭街少年杀人事件 牯嶺街少年殺人事件,,,,,,,,,
纵横四海 緃横四海,英雄本色,赌神,九品芝麻官,喜剧之王,,,,,
枪火 鎗火,暗花,黑金,英雄本色,跛豪,,,,,
恐怖分子 恐怖份子,独立时代,南国再见，南国,牯岭街少年杀人事件,海滩的一天,,,,,
英雄本色,英雄本色2,纵横四海,枪火,喋血双雄,暗战,,,,
暗战 暗戰,英雄本色,喋血双雄,精武英雄,,,,,,
阿飞正传 阿飛正傳,重庆森林,堕落天使,甜蜜蜜,胭脂扣,东邪西毒,春光乍泄,,,
喋血双雄 喋血雙雄,英雄本色2,喋血街头,辣手神探,精武英雄,给爸爸的信,监狱风云,枪火,龙虎风云,暗战
堕落天使 墮落天使,重庆森林,阿飞正传,甜蜜蜜,胭脂扣,,,,,
英雄本色2,喋血双雄,精武英雄,监狱风云,纵横四海,,,,,
监狱风云 監獄風雲,监狱风云2：逃犯,英雄本色2,喋血双雄,精武英雄,黑金,枪火,古惑仔3之只手遮天,,
暗花,枪火,黑金,跛豪,真心英雄,喋血街头,,,,
跛豪,五亿探长雷洛传1：雷老虎,岁月风云之上海皇帝,黑金,上海皇帝之雄霸天下,枪火,暗花,喋血街头,,
喋血街头 喋血街頭,喋血双雄,辣手神探,英雄本色2,枪火,黑金,给爸爸的信,监狱风云2：逃犯,,
香港制造 香港製造,去年烟花特别多,细路祥,海上花,悲情城市,本命年,小武,,,
给爸爸的信 給爸爸的信,中南海保镖,精武英雄,新少林五祖,黄飞鸿之二：男儿当自强,,,,,
奇迹 奇蹟,,,,,,,,,
旺角卡门 旺角卡門,天若有情,堕落天使,重庆森林,甜蜜蜜,胭脂扣,秋天的童话,,,
非常突然,暗战,高度戒备,野兽刑警,人民英雄,,,,,
五亿探长雷洛传1：雷老虎 五億探長雷洛傳：雷老虎,五亿探长雷洛传2：父子情仇,跛豪,黑金,岁月风云之上海皇帝,古惑仔2之猛龙过江,97古惑仔战无不胜,上海皇帝之雄霸天下,,
黑金,跛豪,五亿探长雷洛传1：雷老虎,枪火,暗花,,,,,
学校风云 學校風雲,跛豪,龙虎风云,黑金,人民英雄,监狱风云2：逃犯,岁月风云之上海皇帝,喋血街头,,
监狱风云2：逃犯 監獄風雲II逃犯,监狱风云,给爸爸的信,英雄本色2,喋血双雄,龙虎风云,精武英雄,,,
辣手神探,喋血双雄,龙虎风云,给爸爸的信,英雄本色2,监狱风云2：逃犯,侠盗高飞,精武英雄,重案组,
岁月风云之上海皇帝 歲月風雲之上海皇帝,上海皇帝之雄霸天下,跛豪,四大家族之龙虎兄弟,五亿探长雷洛传1：雷老虎,黑金,江湖情,,,
