这个杀手不太冷 Léon,,,,,,
天堂电影院 Nuovo Cinema Paradiso,,,,,,
熊的故事,,,,,,
永恒和一日,蓝白红三部曲之蓝,,,,,
莫扎特传 Amadeus,,,,,,
天堂电影院 Nuovo Cinema Paradiso,,,,,,
蓝白红三部曲之红,,,,,,
再见，孩子们,,,,,,
碧海蓝天 Le grand bleu,蓝白红三部曲之蓝,,,,,
蓝白红三部曲之红 Trois couleurs: Rouge,蓝白红三部曲之蓝,两生花,永恒和一日,新桥恋人,春天的故事,秋天的故事
蓝白红三部曲之蓝,,,,,,
蓝白红三部曲之蓝,,,,,,
秋天的故事,,,,,,
卡蜜儿·克劳岱尔,,,,,,
蓝白红三部曲之蓝 Trois couleurs: Bleu,蓝白红三部曲之红,两生花,永恒和一日,新桥恋人,春天的故事,
春天的故事,蓝白红三部曲之蓝,,,,,
蓝白红三部曲之蓝,,,,,,
春天的故事,,,,,,
新桥恋人,蓝白红三部曲之蓝,,,,,
苦月亮 Bitter Moon,情人,,,,,
蓝白红三部曲之蓝,,,,,,
蓝白红三部曲之白 Trois couleurs: Blanc,蓝白红三部曲之蓝,两生花,新桥恋人,永恒和一日,春天的故事,秋天的故事
简爱,,,,,,
永恒和一日,,,,,,
卡蜜儿·克劳岱尔,,,,,,
情人 L'amant,苦月亮,一树梨花压海棠,,,,
一树梨花压海棠 Lolita,情人,苦月亮,,,,
两生花 La Double vie de Véronique,蓝白红三部曲之蓝,永恒和一日,樱桃的滋味,新桥恋人,,
秋天的故事,冬天的故事,绿光,,,,
柏林苍穹下 Der Himmel über Berlin,新桥恋人,蓝白红三部曲之蓝,,,,
情人,苦月亮,云上的日子,蓝白红三部曲之蓝,,,
坏血,新桥恋人,,,,,
春天的故事,,,,,,
春天的故事 Conte de printemps,秋天的故事,冬天的故事,夏天的故事,绿光,飞行员的妻子,沙滩上的宝莲
西伯利亚的理发师 Сибирский цирюльник,新桥恋人,,,,,
这个杀手不太冷 Léon,,,,,,
乱,,,,,,
这个杀手不太冷 Léon,,,,,,
末路狂花 Thelma &amp; Louise,,,,,,
钱,,,,,,
两生花,蓝白红三部曲之蓝,,,,,
蓝白红三部曲之蓝,,,,,,
蓝白红三部曲之红,,,,,,
着魔,,,,,,
坏血,新桥恋人,,,,,
钱,,,,,,
春天的故事,,,,,,
蓝白红三部曲之蓝,两生花,碧海蓝天,,,,
地球之夜,,,,,,
春天的故事,秋天的故事,,,,,
钱,冷酷祭典,,,,,
赌城风云 Casino,,,,,,
地球之夜,,,,,,
蓝白红三部曲之蓝,,,,,,
雾港水手,,,,,,
我爱的男人,,,,,,
钱,,,,,,
