肖申克的救赎 The Shawshank Redemption,阿甘正传,心灵捕手,死亡诗社,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
辛德勒的名单,拯救大兵瑞恩,,,,,,,
辛德勒的名单 Schindler's List,拯救大兵瑞恩,,,,,,,
控方证人,,,,,,,,
阿甘正传 Forrest Gump,肖申克的救赎,心灵捕手,死亡诗社,,,,,
泰坦尼克号 Titanic,爱在黎明破晓前,剪刀手爱德华,,,,,,
这个杀手不太冷 Léon,泰坦尼克号,爱在黎明破晓前,剪刀手爱德华,,,,,
楚门的世界 The Truman Show,,,,,,,,
七宗罪,沉默的羔羊,,,,,,,
七宗罪,,,,,,,,
美国往事,低俗小说,,,,,,,
雨人,,,,,,,,
肖申克的救赎,阿甘正传,,,,,,,
拯救大兵瑞恩,辛德勒的名单,,,,,,,
美国往事,低俗小说,,,,,,,
勇敢的心,拯救大兵瑞恩,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
七宗罪,沉默的羔羊,,,,,,,
拯救大兵瑞恩,辛德勒的名单,,,,,,,
教父3,美国往事,低俗小说,,,,,,
阿甘正传,肖申克的救赎,,,,,,,
阿甘正传,肖申克的救赎,心灵捕手,,,,,,
饮食男女 飲食男女,雨人,,,,,,,
勇敢的心,,,,,,,,
死亡诗社 Dead Poets Society,心灵捕手,肖申克的救赎,阿甘正传,,,,,
爱在黎明破晓前,泰坦尼克号,剪刀手爱德华,,,,,,
七宗罪,肖申克的救赎,,,,,,,
拯救大兵瑞恩,辛德勒的名单,,,,,,,
美国往事 Once Upon a Time in America,好家伙,低俗小说,赌城风云,,,,,
雨人,,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
七宗罪,沉默的羔羊,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
闻香识女人 Scent of a Woman,爱在黎明破晓前,泰坦尼克号,,,,,,
勇敢的心,,,,,,,,
拯救大兵瑞恩,,,,,,,,
爱在黎明破晓前,,,,,,,,
拯救大兵瑞恩 Saving Private Ryan,辛德勒的名单,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
低俗小说,,,,,,,,
低俗小说,,,,,,,,
低俗小说,,,,,,,,
肖申克的救赎,阿甘正传,心灵捕手,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
搏击俱乐部 Fight Club,七宗罪,沉默的羔羊,,,,,,
完美的世界 A Perfect World,末路狂花,七宗罪,,,,,,
丛林赤子心,,,,,,,,
喜宴 囍宴,,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,,,,,,,,
教父3 The Godfather: Part III,美国往事,低俗小说,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
雨人,,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
七宗罪,第六感,沉默的羔羊,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
七宗罪,,,,,,,,
低俗小说,,,,,,,,
沉默的羔羊 The Silence of the Lambs,七宗罪,第六感,,,,,,
低俗小说 Pulp Fiction,美国往事,,,,,,,
美国往事,教父3,搏击俱乐部,好家伙,低俗小说,,,,
心灵捕手 Good Will Hunting,阿甘正传,肖申克的救赎,死亡诗社,,,,,
七宗罪,沉默的羔羊,,,,,,,
雨人,,,,,,,,
勇敢的心 Braveheart,拯救大兵瑞恩,辛德勒的名单,与狼共舞,,,,,
第六感 The Sixth Sense,沉默的羔羊,,,,,,,
爱在黎明破晓前,,,,,,,,
七宗罪,,,,,,,,
末路狂花,七宗罪,沉默的羔羊,教父3,低俗小说,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
追梦赤子心,,,,,,,,
爱在黎明破晓前,,,,,,,,
绿里奇迹 The Green Mile,,,,,,,,
七宗罪 Se7en,沉默的羔羊,搏击俱乐部,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
拯救大兵瑞恩,辛德勒的名单,,,,,,,
泰坦尼克号,,,,,,,,
雨人,,,,,,,,
泰坦尼克号,剪刀手爱德华,,,,,,,
低俗小说,,,,,,,,
美国往事,,,,,,,,
雨人,,,,,,,,
勇敢的心,拯救大兵瑞恩,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
教父3,,,,,,,,
勇敢的心,拯救大兵瑞恩,,,,,,,
拯救大兵瑞恩,辛德勒的名单,,,,,,,
千钧一发 Gattaca,超时空接触,,,,,,,
控方证人 Witness for the Prosecution,,,,,,,,
七宗罪,,,,,,,,
七宗罪,,,,,,,,
心灵捕手,肖申克的救赎,,,,,,,
好家伙,美国往事,教父3,赌城风云,,,,,
雨人,,,,,,,,
E.T.外星人,,,,,,,,
拯救大兵瑞恩,七宗罪,,,,,,,
雨人,,,,,,,,
理智与情感,爱在黎明破晓前,,,,,,,
末路狂花,美国X档案,七宗罪,,,,,,
肖申克的救赎,阿甘正传,,,,,,,
教父3,美国往事,,,,,,,
追梦赤子心,雨人,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
勇敢的心,拯救大兵瑞恩,,,,,,,
爱在黎明破晓前,,,,,,,,
英国病人,泰坦尼克号,,,,,,,
E.T.外星人 E.T. the Extra-Terrestrial,,,,,,,,
影武者,,,,,,,,
我自己的爱达荷,,,,,,,,
与狼共舞 Dances with Wolves,勇敢的心,刺杀肯尼迪,,,,,,
丛林赤子心,,,,,,,,
爱在黎明破晓前,,,,,,,,
洛城机密,,,,,,,,
全金属外壳 Full Metal Jacket,野战排,拯救大兵瑞恩,,,,,,
莫扎特传 Amadeus,,,,,,,,
冰血暴,沉默的羔羊,洛城机密,七宗罪,不可饶恕,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
辛德勒的名单,拯救大兵瑞恩,,,,,,,
阿甘正传 Forrest Gump,肖申克的救赎,心灵捕手,死亡诗社,,,,,
泰坦尼克号 Titanic,爱在黎明破晓前,剪刀手爱德华,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
阿甘正传,肖申克的救赎,,,,,,,
爱在黎明破晓前,泰坦尼克号,剪刀手爱德华,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
喜宴 囍宴,,,,,,,,
追梦赤子心,,,,,,,,
英国病人,廊桥遗梦,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前,,,,,,,,
泰坦尼克号,,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,,,,,,,,
泰坦尼克号,剪刀手爱德华,,,,,,,
爱在黎明破晓前,,,,,,,,
泰坦尼克号,剪刀手爱德华,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前 Before Sunrise,,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
燃情岁月 Legends of the Fall,英国病人,大河恋,廊桥遗梦,,,,,
人鬼情未了,廊桥遗梦,,,,,,,
爱在黎明破晓前,,,,,,,,
剪刀手爱德华 Edward Scissorhands,泰坦尼克号,爱在黎明破晓前,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
理智与情感,爱在黎明破晓前,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
泰坦尼克号,,,,,,,,
阿甘正传,肖申克的救赎,泰坦尼克号,,,,,,
人鬼情未了,英国病人,西雅图未眠夜,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
廊桥遗梦 The Bridges of Madison County,走出非洲,人鬼情未了,英国病人,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
英国病人,泰坦尼克号,,,,,,,
爱在黎明破晓前,,,,,,,,
我自己的爱达荷,,,,,,,,
英国病人,走出非洲,,,,,,,
泰坦尼克号,爱在黎明破晓前,剪刀手爱德华,,,,,,
爱在黎明破晓前,,,,,,,,
土拨鼠之日 Groundhog Day,爱在黎明破晓前,,,,,,,
爱在黎明破晓前,,,,,,,,
美国丽人 American Beauty,雨人,燃情岁月,,,,,,
英国病人 The English Patient,走出非洲,,,,,,,
不一样的天空 What's Eating Gilbert Grape,大河恋,马文的房间,雨人,燃情岁月,,,,
当哈利遇到莎莉,英国病人,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,,,,,,,,
花木兰,泰山,,,,,,,
爱在黎明破晓前,泰坦尼克号,,,,,,,
解构爱情狂,丈夫、太太与情人,,,,,,,
爱在黎明破晓前,,,,,,,,
爱在黎明破晓前,,,,,,,,
莫扎特传,,,,,,,,
爱在黎明破晓前,,,,,,,,
走出非洲 Out of Africa,英国病人,人鬼情未了,马语者,廊桥遗梦,西雅图未眠夜,,,
英国病人,,,,,,,,
走出非洲,英国病人,,,,,,,
人鬼情未了,走出非洲,西雅图未眠夜,天使之城,,,,,
追梦赤子心,第一滴血,,,,,,,
解构爱情狂,丈夫、太太与情人,星尘往事,,,,,,
