这个杀手不太冷 Léon,,,,,,,,,
黑客帝国,,,,,,,,,
黑客帝国,,,,,,,,,
勇敢的心,,,,,,,,,
黑客帝国,终结者2：审判日,,,,,,,,
勇敢的心,,,,,,,,,
勇敢的心,,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,
搏击俱乐部,,,,,,,,,
勇敢的心 Braveheart,,,,,,,,,
搏击俱乐部,,,,,,,,,
勇敢的心,,,,,,,,,
勇敢的心,,,,,,,,,
勇闯夺命岛,,,,,,,,,
终结者2：审判日,,,,,,,,,
勇闯夺命岛,变脸,,,,,,,,
变脸,,,,,,,,,
勇敢的心,,,,,,,,,
终结者2：审判日,,,,,,,,,
勇敢的心,,,,,,,,,
野战排,,,,,,,,,
第一滴血,,,,,,,,,
保镖,,,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,
勇敢的心,,,,,,,,,
黑客帝国,终结者2：审判日,,,,,,,,
勇敢的心,,,,,,,,,
勇敢的心,,,,,,,,,
黑客帝国 The Matrix,终结者2：审判日,,,,,,,,
搏击俱乐部 Fight Club,,,,,,,,,
勇敢的心 Braveheart,,,,,,,,,
黑客帝国,终结者2：审判日,,,,,,,,
终结者2：审判日,,,,,,,,,
搏击俱乐部,,,,,,,,,
终结者2：审判日,,,,,,,,,
勇闯夺命岛,碟中谍,变脸,终结者2：审判日,,,,,,
黑客帝国,,,,,,,,,
终结者2：审判日 Terminator 2: Judgment Day,终结者,,,,,,,,
终结者2：审判日,,,,,,,,,
终结者2：审判日,,,,,,,,,
勇闯夺命岛,碟中谍,变脸,终结者2：审判日,,,,,,
变脸,,,,,,,,,
勇闯夺命岛,,,,,,,,,
勇闯夺命岛,碟中谍,变脸,终结者2：审判日,,,,,,
勇闯夺命岛 The Rock,空中监狱,变脸,生死时速,真实的谎言,碟中谍,国家公敌,虎胆龙威,偷天陷阱,
勇敢的心,勇闯夺命岛,,,,,,,,
终结者2：审判日,,,,,,,,,
终结者2：审判日,,,,,,,,,
变脸 Face/Off,勇闯夺命岛,空中监狱,终结者2：审判日,生死时速,真实的谎言,碟中谍,,,
变脸,终结者2：审判日,,,,,,,,
勇闯夺命岛,国家公敌,空中监狱,变脸,,,,,,
搏击俱乐部,,,,,,,,,
黑客帝国,,,,,,,,,
终结者2：审判日,,,,,,,,,
终结者2：审判日,,,,,,,,,
王牌对王牌,盗火线,勇闯夺命岛,,,,,,,
星球大战2：帝国反击战,终结者,,,,,,,,
天生杀人狂,搏击俱乐部,空中监狱,,,,,,,
搏击俱乐部,,,,,,,,,
盗火线 Heat,勇闯夺命岛,,,,,,,,
终结者2：审判日,,,,,,,,,
王牌对王牌 The Negotiator,空中监狱,,,,,,,,
勇闯夺命岛,空中监狱,变脸,,,,,,,
终结者,,,,,,,,,
终结者,,,,,,,,,
黑衣人 Men in Black,终结者,,,,,,,,
终结者,独立日,黑衣人,,,,,,,
星球大战2：帝国反击战 Star Wars: Episode V - The Empire Strikes Back,星球大战3：绝地归来,终结者,,,,,,,
终结者 The Terminator,终结者2：审判日,独立日,,,,,,,
空中监狱 Con Air,勇闯夺命岛,生死时速,变脸,空军一号,真实的谎言,国家公敌,断箭,,
星球大战3：绝地归来 Star Wars: Episode VI - Return of the Jedi,星球大战2：帝国反击战,终结者,,,,,,,
这个杀手不太冷 Léon,,,,,,,,,
黑客帝国,终结者2：审判日,,,,,,,,
搏击俱乐部,,,,,,,,,
搏击俱乐部,,,,,,,,,
搏击俱乐部,,,,,,,,,
终结者2：审判日,,,,,,,,,
搏击俱乐部,,,,,,,,,
王牌对王牌,,,,,,,,,
变脸,,,,,,,,,
勇闯夺命岛,,,,,,,,,
搏击俱乐部,天生杀人狂,,,,,,,,
王牌对王牌,,,,,,,,,
王牌对王牌,盗火线,勇闯夺命岛,,,,,,,
终结者2：审判日,,,,,,,,,
变脸 Face/Off,勇闯夺命岛,空中监狱,终结者2：审判日,生死时速,真实的谎言,碟中谍,,,
天生杀人狂,搏击俱乐部,,,,,,,,
午夜狂奔,,,,,,,,,
