无间道 無間道,无间道2,无双,,,,,,,
鬼子来了,让子弹飞,,,,,,,,
少年派的奇幻漂流 Life of Pi,,,,,,,,,
一一,花样年华,苏州河,,,,,,,
我不是药神,让子弹飞,驴得水,无名之辈,大佛普拉斯,一出好戏,邪不压正,,,
让子弹飞,驴得水,,,,,,,,
绿皮书 Green Book,,,,,,,,,
可可西里,无人区,,,,,,,,
无间道(正序版),无间道3：终极无间,门徒,黑社会,新警察故事,窃听风云,,,,
东邪西毒：终极版 東邪西毒終極版,花样年华,2046,,,,,,,
赛德克·巴莱 賽德克·巴萊,赛德克·巴莱(下)：彩虹桥,集结号,,,,,,,
心迷宫,暴裂无声,,,,,,,,
无间道2 無間道II,无间道3：终极无间,黑社会,门徒,新警察故事,,,,,
赛德克·巴莱(上)：太阳旗 賽德克·巴萊(上)太陽旗,赛德克·巴莱(下)：彩虹桥,集结号,,,,,,,
我们俩,万箭穿心,我们天上见,一一,世界上最疼我的那个人去了,,,,,
奇迹男孩 Wonder,,,,,,,,,
赛德克·巴莱(下)：彩虹桥 賽德克·巴萊(下)彩虹橋,赛德克·巴莱(上)：太阳旗,集结号,,,,,,,
我们天上见,一一,万箭穿心,立春,岁月神偷,,,,,
麦兜故事 麥兜故事,麦兜，菠萝油王子,,,,,,,,
蓝色大门 藍色大門,花样年华,志明与春娇,,,,,,,
烈日灼心,误杀,追凶者也,全民目击,解救吾先生,无双,心迷宫,,,
一一,花样年华,苏州河,,,,,,,
东邪西毒：终极版 東邪西毒終極版,花样年华,2046,,,,,,,
花样年华 花樣年華,2046,,,,,,,,
色，戒,花样年华,,,,,,,,
卧虎藏龙 臥虎藏龍,英雄,师父,一代宗师,绣春刀,,,,,
蓝色大门 藍色大門,花样年华,志明与春娇,,,,,,,
蓝宇 藍宇,谁先爱上他的,春风沉醉的夜晚,,,,,,,
三峡好人,站台,世界,立春,一一,路边野餐,孔雀,二十四城记,,
相爱相亲,孤味,山河故人,一念无明,万箭穿心,,,,,
面纱 The Painted Veil,花样年华,,,,,,,,
少年的你,爱情神话,,,,,,,,
12夜,每当变幻时,花样年华,忘不了,,,,,,
狐妖小红娘剧场版：王权富贵,秦时明月之一舞倾城,,,,,,,,
苏州河,花样年华,2046,立春,一一,推拿,三峡好人,,,
独自等待,志明与春娇,花样年华,李米的猜想,苏州河,,,,,
那些年，我们一起追的女孩 那些年，我們一起追的女孩,志明与春娇,失恋33天,,,,,,,
爱情神话,花样年华,,,,,,,,
一代宗师 一代宗師,卧虎藏龙,师父,英雄,花样年华,绣春刀,一一,,,
