当幸福来敲门,荒岛余生,美丽心灵,,,,,,,
断背山,,,,,,,,,
1917,,,,,,,,,
1917,,,,,,,,,
记忆碎片,禁闭岛,利刃出鞘,,,,,,,
当幸福来敲门,荒岛余生,美丽心灵,,,,,,,
恋恋笔记本,怦然心动,,,,,,,,
恋恋笔记本,猫鼠游戏,怦然心动,,,,,,,
盗梦空间 Inception,蝴蝶效应,星际穿越,禁闭岛,记忆碎片,,,,,
星际穿越 Interstellar,盗梦空间,X战警：逆转未来,,,,,,,
盗梦空间,星际穿越,,,,,,,,
忠犬八公的故事 Hachi: A Dog's Tale,一条狗的使命,南极大冒险,多哥,狮子王,,,,,
猫鼠游戏,小丑,三块广告牌,,,,,,,
记忆碎片,禁闭岛,,,,,,,,
猫鼠游戏,,,,,,,,,
爆裂鼓手,爱乐之城,八月迷情,,,,,,,
为奴十二年,飞行家,社交网络,美丽心灵,,,,,,
海边的曼彻斯特,,,,,,,,,
爆裂鼓手,当幸福来敲门,,,,,,,,
1917,,,,,,,,,
幸福终点站,,,,,,,,,
猫鼠游戏,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,少年派的奇幻漂流,大鱼,角斗士,,,,,
恋恋笔记本,,,,,,,,,
猫鼠游戏,小丑,,,,,,,,
1917,,,,,,,,,
我是山姆,海边的曼彻斯特,天才少女,,,,,,,
猫鼠游戏,爱尔兰人,,,,,,,,
当幸福来敲门 The Pursuit of Happyness,荒岛余生,叫我第一名,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,猫鼠游戏,盗梦空间,,,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,少年派的奇幻漂流,大鱼,角斗士,,,,,,
当幸福来敲门,百万美元宝贝,叫我第一名,,,,,,,
猫鼠游戏,,,,,,,,,
记忆碎片,禁闭岛,蝴蝶效应,,,,,,,
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,1917,,,,,,,,
少年派的奇幻漂流 Life of Pi,大鱼,本杰明·巴顿奇事,白日梦想家,,,,,,
爱尔兰人,,,,,,,,,
当幸福来敲门,我是山姆,,,,,,,,
怦然心动 Flipped,恋恋笔记本,爱乐之城,,,,,,,
飞屋环游记 Up,,,,,,,,,
1917,,,,,,,,,
