贫民窟的百万富翁,国王的演讲,,,,
穿条纹睡衣的男孩,钢琴家,敦刻尔克,,,
穿条纹睡衣的男孩,钢琴家,敦刻尔克,卢旺达饭店,,
致命魔术,,,,,
贫民窟的百万富翁,国王的演讲,,,,
盗梦空间 Inception,致命魔术,,,,
星际穿越 Interstellar,火星救援,,,,
忠犬八公的故事 Hachi: A Dog's Tale,流浪猫鲍勃,,,,
致命魔术,,,,,
波西米亚狂想曲,海盗电台,,,,
至暗时刻,国王的演讲,模仿游戏,波西米亚狂想曲,,
波西米亚狂想曲,,,,,
钢琴家,穿条纹睡衣的男孩,,,,
钢琴家 The Pianist,穿条纹睡衣的男孩,敦刻尔克,,,
贫民窟的百万富翁,国王的演讲,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,
国王的演讲,贫民窟的百万富翁,,,,
真爱至上,,,,,
致命魔术,,,,,
穿条纹睡衣的男孩 The Boy in the Striped Pajamas,钢琴家,敦刻尔克,卢旺达饭店,,
少年派的奇幻漂流 Life of Pi,,,,,
真爱至上,,,,,
贫民窟的百万富翁,,,,,
钢琴家,,,,,
国王的演讲,贫民窟的百万富翁,万物理论,极速风流,,
钢琴家,穿条纹睡衣的男孩,敦刻尔克,,,
贫民窟的百万富翁,国王的演讲,,,,
致命魔术,,,,,
真爱至上,,,,,
致命魔术,,,,,
波西米亚狂想曲,,,,,
波西米亚狂想曲,,,,,
恐怖游轮,,,,,
真爱至上,,,,,
致命魔术,恐怖游轮,,,,
布达佩斯大饭店 The Grand Budapest Hotel,,,,,
恐怖游轮,,,,,
致命魔术 The Prestige,,,,,
卡罗尔,,,,,
贫民窟的百万富翁,国王的演讲,,,,
钢琴家,,,,,
恐怖游轮,,,,,
真爱至上,,,,,
婚姻故事,,,,,
真爱至上,,,,,
致命魔术,,,,,
恐怖游轮,,,,,
模仿游戏 The Imitation Game,至暗时刻,敦刻尔克,穿条纹睡衣的男孩,钢琴家,
真爱至上,,,,,
真爱至上,,,,,
极速风流,国王的演讲,模仿游戏,斯图尔特：倒带人生,波西米亚狂想曲,万物理论
房间 Room,婚姻故事,,,,
卢旺达饭店,敦刻尔克,,,,
真爱至上,,,,,
天国王朝,卢旺达饭店,,,,
婚姻故事,,,,,
敦刻尔克,至暗时刻,穿条纹睡衣的男孩,钢琴家,,
月球,,,,,
致命魔术,恐怖游轮,,,,
波西米亚狂想曲,海盗电台,,,,
人工智能 Artificial Intelligence: AI,,,,,
血钻 Blood Diamond,,,,,
困在时间里的父亲,,,,,
悲惨世界 Les Misérables,歌剧魅影,雾都孤儿,安娜·卡列尼娜,,
国王的演讲,,,,,
真爱至上,,,,,
波西米亚狂想曲 Bohemian Rhapsody,,,,,
天国王朝,,,,,
迷情站台,上帝之国,,,,
天国王朝,,,,,
流浪猫鲍勃,,,,,
教宗的承继,,,,,
波西米亚狂想曲,,,,,
穿条纹睡衣的男孩,钢琴家,敦刻尔克,,,
贫民窟的百万富翁,国王的演讲,,,,
真爱至上,,,,,
真爱至上,,,,,
波西米亚狂想曲,,,,,
真爱至上,,,,,
真爱至上,,,,,
卡罗尔,,,,,
真爱至上,,,,,
赎罪,万物理论,,,,
穿条纹睡衣的男孩,赎罪,钢琴家,,,
真爱至上,,,,,
真爱至上,,,,,
真爱至上,,,,,
真爱至上,,,,,
真爱至上,祝你好运，里奥·格兰德,,,,
真爱至上,,,,,
真爱至上,,,,,
傲慢与偏见 Pride &amp; Prejudice,真爱至上,,,,
悲惨世界 Les Misérables,歌剧魅影,雾都孤儿,安娜·卡列尼娜,,
贫民窟的百万富翁 Slumdog Millionaire,国王的演讲,,,,
真爱至上 Love Actually,,,,,
真爱至上,,,,,
婚姻故事,,,,,
卡罗尔,菊石,同心难改,,,
迷情站台,上帝之国,,,,
婚姻故事 Marriage Story,对不起，我们错过了你,困在时间里的父亲,,,
真爱至上,,,,,
真爱至上,,,,,
赎罪 Atonement,成为简·奥斯汀,,,,
婚姻故事,,,,,
同心难改,四角关系,告诉蜜蜂,卡罗尔,,
真爱至上,,,,,
同心难改,卡罗尔,,,,
万物理论 The Theory of Everything,成为简·奥斯汀,国王的演讲,丹麦女孩,极速风流,模仿游戏
卡罗尔 Carol,同心难改,丹麦女孩,,,
斯图尔特：倒带人生,,,,,
卡罗尔,,,,,
致命魔术,,,,,
冷山,,,,,
浓情巧克力,,,,,
婚姻故事,,,,,
赎罪,,,,,
成为简·奥斯汀 Becoming Jane,赎罪,,,,
丹麦女孩 The Danish Girl,卡罗尔,万物理论,,,
上帝之国,,,,,
真爱至上,,,,,
歌剧魅影,,,,,
婚姻故事,,,,,
浓情巧克力,,,,,
玫瑰人生 La Môme,女王,波西米亚狂想曲,,,
真爱至上,婚姻故事,,,,
革命之路 Revolutionary Road,婚姻故事,,,,
婚姻故事,,,,,
