黑鹰坠落,,,,,,,,,,
阿凡达,头号玩家,,,,,,,,,
阿凡达,头号玩家,钢铁侠,复仇者联盟,X战警：逆转未来,明日边缘,,,,,
黑鹰坠落,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,角斗士,阿凡达,,,,,
黑鹰坠落,,,,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,阿凡达,美国队长2,变形金刚,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,角斗士,奇异博士,阿凡达,,,,,
黑鹰坠落,,,,,,,,,,
加勒比海盗,霍比特人1：意外之旅,头号玩家,奇异博士,,,,,,,
黑鹰坠落,,,,,,,,,,
蝙蝠侠：黑暗骑士,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,奇异博士,角斗士,,,,,
黑鹰坠落,,,,,,,,,,
黑鹰坠落,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
罪恶之城,,,,,,,,,,
角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,,
加勒比海盗,霍比特人1：意外之旅,,,,,,,,,
加勒比海盗,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
黑鹰坠落,角斗士,,,,,,,,,
黑鹰坠落,,,,,,,,,,
黑鹰坠落,,,,,,,,,,
黑客帝国3：矩阵革命,第九区,,,,,,,,,
谍影重重3,铁甲钢拳,,,,,,,,,
黑客帝国3：矩阵革命,第九区,阿凡达,我，机器人,,,,,,,
黑鹰坠落,谍影重重2,蝙蝠侠：黑暗骑士,,,,,,,,
谍影重重3,,,,,,,,,,
黑鹰坠落,角斗士,,,,,,,,,
黑客帝国动画版,,,,,,,,,,
黑客帝国3：矩阵革命,阿凡达,第九区,变形金刚,,,,,,,
角斗士,指环王3：王者无敌,,,,,,,,,
荒野猎人,,,,,,,,,,
黑鹰坠落,,,,,,,,,,
失控玩家,,,,,,,,,,
加勒比海盗,,,,,,,,,,
加勒比海盗2：聚魂棺,,,,,,,,,,
第九区,,,,,,,,,,
谍影重重3,,,,,,,,,,
指环王3：王者无敌 The Lord of the Rings: The Return of the King,指环王2：双塔奇兵,霍比特人2：史矛革之战,加勒比海盗,角斗士,阿凡达,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,阿凡达,美国队长2,变形金刚,,,,
指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,霍比特人2：史矛革之战,加勒比海盗,角斗士,奇异博士,阿凡达,,,,,
黑鹰坠落,,,,,,,,,,
指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,指环王2：双塔奇兵,霍比特人1：意外之旅,加勒比海盗,奇异博士,角斗士,,,,,
黑客帝国3：矩阵革命,阿凡达,变形金刚,钢铁侠,,,,,,,
角斗士,黑鹰坠落,指环王3：王者无敌,,,,,,,,
阿凡达 Avatar,变形金刚,头号玩家,钢铁侠,第九区,,,,,,
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,奇异博士,头号玩家,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,,
被解救的姜戈 Django Unchained,杀死比尔,,,,,,,,,
黑客帝国3：矩阵革命 The Matrix Revolutions,黑客帝国2：重装上阵,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,,,,
谍影重重3 The Bourne Ultimatum,谍影重重2,速度与激情5,黑客帝国3：矩阵革命,,,,,,,
头号玩家 Ready Player One,阿凡达,钢铁侠,复仇者联盟3：无限战争,美国队长3,银翼杀手2049,,,,,
黑客帝国3：矩阵革命,我，机器人,变形金刚,阿凡达,第九区,钢铁侠,我是传奇,,,,
超能陆战队 Big Hero 6,,,,,,,,,,
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,黑客帝国3：矩阵革命,头号玩家,明日边缘,谍影重重3,杀死比尔,X战警：逆转未来,阿凡达,蝙蝠侠：黑暗骑士崛起,,
黑客帝国2：重装上阵 The Matrix Reloaded,黑客帝国3：矩阵革命,我，机器人,变形金刚,钢铁侠,阿凡达,第九区,我是传奇,,,
谍影重重2 The Bourne Supremacy,谍影重重3,速度与激情5,黑客帝国3：矩阵革命,,,,,,,
谍影重重3,,,,,,,,,,
黑鹰坠落 Black Hawk Down,狂怒,风语者,,,,,,,,
蜘蛛侠：平行宇宙 Spider-Man: Into the Spider-Verse,超人总动员,钢铁侠,复仇者联盟3：无限战争,美国队长2,,,,,,
谍影重重 The Bourne Identity,谍影重重2,速度与激情5,黑客帝国3：矩阵革命,,,,,,,
霍比特人3：五军之战 The Hobbit: The Battle of the Five Armies,霍比特人2：史矛革之战,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,
复仇者联盟4：终局之战 Avengers: Endgame,钢铁侠,复仇者联盟3：无限战争,美国队长3,无敌浩克,头号玩家,雷神2：黑暗世界,蚁人,X战警：逆转未来,惊奇队长,阿凡达
谍影重重3,,,,,,,,,,
角斗士 Gladiator,黑鹰坠落,斯巴达300勇士,特洛伊,指环王3：王者无敌,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟,
黄海 황해,,,,,,,,,,
守望者 Watchmen,扎克·施奈德版正义联盟,黑客帝国2：重装上阵,蝙蝠侠：侠影之谜,X战警：逆转未来,超人：钢铁之躯,我，机器人,蜘蛛侠,变形金刚,,
谍影重重3,黑客帝国3：矩阵革命,我，机器人,,,,,,,,
速度与激情5 Fast Five,速度与激情4,碟中谍4,谍影重重3,蝙蝠侠：黑暗骑士崛起,钢铁侠,美国队长2,变形金刚2,,,
霍比特人2：史矛革之战 The Hobbit: The Desolation of Smaug,霍比特人1：意外之旅,指环王2：双塔奇兵,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,
速度与激情7 Furious 7,速度与激情6,碟中谍5：神秘国度,美国队长3,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,,,,
王牌特工：特工学院 Kingsman: The Secret Service,碟中谍4,死侍,速度与激情7,银河护卫队,,,,,,
钢铁侠 Iron Man,钢铁侠2,复仇者联盟,美国队长2,无敌浩克,变形金刚,雷神,蚁人,银河护卫队,X战警,蜘蛛侠
碟中谍4 Mission: Impossible - Ghost Protocol,碟中谍3,谍影重重3,速度与激情5,黑客帝国2：重装上阵,蝙蝠侠：黑暗骑士崛起,钢铁侠,,,,
加勒比海盗2：聚魂棺 Pirates of the Caribbean: Dead Man's Chest,加勒比海盗,霍比特人1：意外之旅,博物馆奇妙夜,奇异博士,碟中谍4,,,,,
霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,霍比特人2：史矛革之战,加勒比海盗2：聚魂棺,奇异博士,头号玩家,,,,,,
启示 Apocalypto,谍影重重3,角斗士,,,,,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,被解救的姜戈,罪恶之城,谍影重重3,,,,,,
银翼杀手2049 Blade Runner 2049,头号玩家,第九区,明日边缘,,,,,,,
变形金刚 Transformers,变形金刚2,钢铁侠,黑客帝国2：重装上阵,我，机器人,我是传奇,蜘蛛侠,X战警,复仇者联盟,,
第九区 District 9,我是传奇,黑客帝国3：矩阵革命,我，机器人,变形金刚,阿凡达,,,,,
金刚狼3：殊死一战 Logan,X战警：逆转未来,美国队长3,金刚狼,钢铁侠,复仇者联盟,蚁人,蜘蛛侠,变形金刚,超凡蜘蛛侠2,神奇女侠
加勒比海盗3：世界的尽头 Pirates of the Caribbean: At World's End,加勒比海盗2：聚魂棺,霍比特人1：意外之旅,博物馆奇妙夜,碟中谍4,,,,,,
黑客帝国2：重装上阵,星际迷航,变形金刚,,,,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,,,,,,,,
黑鹰坠落,,,,,,,,,,
铁甲钢拳 Real Steel,我，机器人,变形金刚,明日边缘,黑客帝国2：重装上阵,我是传奇,猩球崛起,X战警：逆转未来,钢铁侠,复仇者联盟,
守法公民,,,,,,,,,,
飓风营救 Taken,谍影重重3,碟中谍4,速度与激情5,生死狙击,金蝉脱壳,,,,,
复仇者联盟 The Avengers,钢铁侠,复仇者联盟2：奥创纪元,美国队长2,雷神2：黑暗世界,银河护卫队,X战警：逆转未来,无敌浩克,蚁人,变形金刚,蜘蛛侠：英雄归来
功夫熊猫 Kung Fu Panda,功夫熊猫2,超人总动员,,,,,,,,
明日边缘 Edge of Tomorrow,X战警：逆转未来,黑客帝国3：矩阵革命,我，机器人,变形金刚,美国队长2,我是传奇,第九区,环太平洋,钢铁侠,
绅士们 The Gentlemen,小人物,,,,,,,,,
星球大战前传3：西斯的复仇 Star Wars: Episode III - Revenge of the Sith,星球大战前传2：克隆人的进攻,黑客帝国2：重装上阵,星际迷航,变形金刚,我，机器人,X战警2,,,,
X战警：逆转未来 X-Men: Days of Future Past,X战警：第一战,美国队长2,复仇者联盟,金刚狼,钢铁侠3,明日边缘,变形金刚,银河护卫队,超凡蜘蛛侠2,雷神2：黑暗世界
我是传奇,黑客帝国2：重装上阵,,,,,,,,,
X战警：第一战 X-Men: First Class,X战警：逆转未来,金刚狼,美国队长2,复仇者联盟,钢铁侠,变形金刚,蜘蛛侠,雷神2：黑暗世界,超凡蜘蛛侠2,银河护卫队
西线无战事 Im Westen nichts Neues,黑鹰坠落,,,,,,,,,
黑衣人2,我，机器人,变形金刚,黑客帝国2：重装上阵,我是传奇,,,,,,
超人总动员 The Incredibles,功夫熊猫,,,,,,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,碟中谍5：神秘国度,谍影重重3,速度与激情7,美国队长3,头号玩家,海王,复仇者联盟3：无限战争,钢铁侠,,
"我，机器人 I, Robot",我是传奇,黑客帝国2：重装上阵,变形金刚,第九区,,,,,,
复仇者联盟3：无限战争 Avengers: Infinity War,美国队长3,复仇者联盟2：奥创纪元,钢铁侠,雷神3：诸神黄昏,奇异博士,头号玩家,X战警：逆转未来,蚁人,无敌浩克,银河护卫队
银河护卫队 Guardians of the Galaxy,银河护卫队2,美国队长2,复仇者联盟,蚁人,钢铁侠3,X战警：逆转未来,雷神3：诸神黄昏,无敌浩克,蜘蛛侠：英雄归来,死侍
黑客帝国2：重装上阵,星际迷航,变形金刚,我，机器人,,,,,,,
速度与激情5,碟中谍4,谍影重重3,,,,,,,,
猩球崛起 Rise of the Planet of the Apes,猩球崛起2：黎明之战,变形金刚,我是传奇,我，机器人,第九区,钢铁侠,X战警：逆转未来,复仇者联盟,明日边缘,
黑客帝国2：重装上阵,我，机器人,变形金刚,我是传奇,X战警,蜘蛛侠,,,,,
黑客帝国动画版 The Animatrix,虚拟程序,,,,,,,,,
极速60秒,虎胆龙威4,,,,,,,,,
黑客帝国2：重装上阵,星际迷航,变形金刚,我，机器人,,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,阿凡达,美国队长2,变形金刚,,,,
蝙蝠侠：黑暗骑士,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
罪恶之城,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
加勒比海盗,霍比特人1：意外之旅,,,,,,,,,
杀死比尔,,,,,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,蝙蝠侠：侠影之谜,黑客帝国3：矩阵革命,钢铁侠,复仇者联盟,美国队长2,变形金刚,X战警：逆转未来,阿凡达,,
被解救的姜戈,,,,,,,,,,
蝙蝠侠：黑暗骑士,,,,,,,,,,
大侦探福尔摩斯2：诡影游戏,,,,,,,,,,
黑鹰坠落,风语者,,,,,,,,,
谍影重重3,,,,,,,,,,
被解救的姜戈,黑鹰坠落,,,,,,,,,
杀死比尔,被解救的姜戈,,,,,,,,,
被解救的姜戈,杀死比尔,,,,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,蝙蝠侠：黑暗骑士崛起,黑客帝国2：重装上阵,钢铁侠,变形金刚,美国队长2,蜘蛛侠,X战警：逆转未来,复仇者联盟,扎克·施奈德版正义联盟,
黄海 황해,,,,,,,,,,
谍影重重3,黑客帝国3：矩阵革命,我，机器人,,,,,,,,
速度与激情5 Fast Five,速度与激情4,碟中谍4,谍影重重3,蝙蝠侠：黑暗骑士崛起,钢铁侠,美国队长2,变形金刚2,,,
速度与激情7 Furious 7,速度与激情6,碟中谍5：神秘国度,美国队长3,蝙蝠侠：黑暗骑士崛起,钢铁侠,复仇者联盟,,,,
守法公民,,,,,,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,,,,,,,,
罪恶之城,,,,,,,,,,
被解救的姜戈,,,,,,,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,被解救的姜戈,罪恶之城,谍影重重3,,,,,,
时空线索,,,,,,,,,,
飓风营救 Taken,谍影重重3,碟中谍4,速度与激情5,生死狙击,金蝉脱壳,,,,,
绅士们 The Gentlemen,小人物,,,,,,,,,
速度与激情5,碟中谍4,谍影重重3,,,,,,,,
杀死比尔整个血腥事件 Kill Bill: The Whole Bloody Affair,杀死比尔2,被解救的姜戈,罪恶之城,金刚不坏,疾速追杀,,,,,
秘密特工,,,,,,,,,,
极速60秒,虎胆龙威4,,,,,,,,,
杀死比尔2 Kill Bill: Vol. 2,杀死比尔,被解救的姜戈,罪恶之城,谍影重重3,,,,,,
守法公民,,,,,,,,,,
速度与激情7,碟中谍6：全面瓦解,,,,,,,,,
虎胆龙威4,极限特工,死亡飞车,速度与激情4,碟中谍3,,,,,,
守法公民 Law Abiding Citizen,危情三日,偷天换日,剑鱼行动,,,,,,,
突袭2：暴徒 The Raid 2: Berandal,疾速追杀3,伸冤人,,,,,,,,
处刑人2,罪恶之城,怒火攻心,,,,,,,,
速度与激情6 Furious 6,速度与激情4,碟中谍3,金蝉脱壳,美国队长3,钢铁侠3,蝙蝠侠：黑暗骑士崛起,金刚狼,超凡蜘蛛侠2,,
速度与激情 The Fast and the Furious,速度与激情2,碟中谍3,美国队长3,金刚狼,钢铁侠,蜘蛛侠2,变形金刚2,,,
偷天换日,剑鱼行动,,,,,,,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,疾速追杀2,惊天营救,小人物,伸冤人,碟中谍5：神秘国度,壮志凌云2：独行侠,谍影重重3,,,
剑鱼行动,偷天换日,,,,,,,,,
我，机器人,黑客帝国2：重装上阵,明日边缘,我是传奇,第九区,,,,,,
金蝉脱壳,速度与激情6,,,,,,,,,
罪恶之城,杀死比尔,金刚不坏,,,,,,,,
疾速追杀2 John Wick: Chapter 2,疾速追杀3,碟中谍3,伸冤人,小人物,谍影重重2,会计刺客,,,,
疾速追杀 John Wick,疾速追杀2,伸冤人,小人物,碟中谍5：神秘国度,谍影重重2,,,,,
死侍2：我爱我家,,,,,,,,,,
小人物 Nobody,疾速追杀3,惊天营救,伸冤人,人之怒,壮志凌云2：独行侠,子弹列车,,,,
精英部队 Tropa de Elite,,,,,,,,,,
偷天换日,剑鱼行动,虎胆龙威4,,,,,,,,
边境杀手2：边境战士,疾速追杀2,伸冤人,会计刺客,,,,,,,
大侦探福尔摩斯2：诡影游戏 Sherlock Holmes: A Game of Shadows,大侦探福尔摩斯,,,,,,,,,
王牌保镖,女间谍,死侍,秘密特工,,,,,,,
罪恶之城,,,,,,,,,,
速度与激情6,,,,,,,,,,
海扁王 Kick-Ass,海扁王2,,,,,,,,,
