小丑,,,,,
小丑,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,
血钻,小丑,,,,
血钻,,,,,
禁闭岛 Shutter Island,,,,,
蝴蝶效应 The Butterfly Effect,,,,,
电锯惊魂,,,,,
致命魔术 The Prestige,,,,,
罪恶之城,,,,,
血钻,,,,,
记忆碎片 Memento,,,,,
血钻 Blood Diamond,,,,,
老无所依,,,,,
老无所依 No Country for Old Men,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,
杀死比尔,,,,,
谍影重重3 The Bourne Ultimatum,,,,,
杀死比尔,,,,,
谍影重重2 The Bourne Supremacy,,,,,
招魂,孤儿怨,电锯惊魂,,,
拆弹部队,,,,,
谍影重重 The Bourne Identity,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,
碟中谍4,,,,,
碟中谍5：神秘国度,,,,,
碟中谍4,,,,,
钢铁侠 Iron Man,,,,,
碟中谍4 Mission: Impossible - Ghost Protocol,碟中谍3,,,,
碟中谍4,,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,,,
第九区 District 9,,,,,
训练日,,,,,
碟中谍4,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,,,
训练日,,,,,
十一罗汉,,,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,
死神来了,招魂,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,碟中谍5：神秘国度,,,,
"我，机器人 I, Robot",少数派报告,,,,
碟中谍4,,,,,
极速60秒,虎胆龙威4,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,
血钻,小丑,,,,
血钻,,,,,
罪恶之城,,,,,
电锯惊魂,,,,,
血钻,,,,,
老无所依,杀死比尔,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,
小丑 Joker,,,,,
消失的爱人 Gone Girl,,,,,
记忆碎片 Memento,,,,,
老无所依,,,,,
拆弹部队,,,,,
老无所依,,,,,
杀死比尔,,,,,
老无所依,血钻,,,,
杀死比尔,,,,,
电锯惊魂,,,,,
老无所依,,,,,
训练日,,,,,
黑天鹅,孤儿怨,电锯惊魂,,,
网络谜踪 Searching,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,
碟中谍4,,,,,
碟中谍5：神秘国度,,,,,
套装,,,,,
训练日,,,,,
十一罗汉,,,,,
老无所依,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,,,
罪恶之城,老无所依,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,,,
老无所依 No Country for Old Men,,,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,
汉尼拔 Hannibal,红龙,死神来了,,,
夜行者 Nightcrawler,老无所依,,,,
孤儿怨,,,,,
碟中谍4,,,,,
杀死比尔2,罪恶之城,金刚不坏,疾速追杀,,
极速60秒,虎胆龙威4,,,,
十一罗汉,老无所依,,,,
老无所依,,,,,
杀死比尔2 Kill Bill: Vol. 2,杀死比尔,罪恶之城,,,
龙纹身的女孩 The Girl with the Dragon Tattoo,,,,,
迫在眉梢 John Q,训练日,,,,
碟中谍6：全面瓦解,,,,,
大佬 Brother,,,,,
虎胆龙威4,碟中谍3,,,,
夜行者,,,,,
夜行者,,,,,
抢钱大作战,老无所依,十一罗汉,,,
十一罗汉,偷天换日,剑鱼行动,,,
疾速追杀3,伸冤人,,,,
罪恶之城,怒火攻心,,,,
边境杀手,老无所依,夜行者,恐袭波士顿,,
碟中谍3,金蝉脱壳,,,,
血钻,,,,,
碟中谍3,,,,,
狙击电话亭 Phone Booth,,,,,
老无所依,,,,,
十一罗汉 Ocean's Eleven,十三罗汉,十二罗汉,偷天换日,剑鱼行动,
小丑,,,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,疾速追杀2,惊天营救,伸冤人,碟中谍5：神秘国度,
训练日 Training Day,借刀杀人,剑鱼行动,偷天换日,十一罗汉,
少数派报告 Minority Report,,,,,
续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie,老无所依,小丑,,,
老无所依,恐袭波士顿,,,,
金蝉脱壳,,,,,
罪恶之城,杀死比尔,金刚不坏,,,
疾速追杀2 John Wick: Chapter 2,疾速追杀3,碟中谍3,伸冤人,会计刺客,边境杀手
疾速追杀 John Wick,疾速追杀2,伸冤人,碟中谍5：神秘国度,边境杀手,
疾速追杀3,惊天营救,伸冤人,,,
套装,,,,,
精英部队 Tropa de Elite,边境杀手,训练日,,,
神秘河 Mystic River,,,,,
红龙 Red Dragon,,,,,
偷天换日,剑鱼行动,虎胆龙威4,,,
边境杀手 Sicario,疾速追杀2,老无所依,伸冤人,会计刺客,
达·芬奇密码,,,,,
美国精神病人 American Psycho,老无所依,红龙,,,
训练日,毁灭之路,无间道风云,,,
边境杀手,夜行者,套装,恐袭波士顿,老无所依,
罪恶之城,,,,,
