,genre0,genre1,director0,ReleaseDate,region0
0,剧情,爱情,王家,1994,中国香港
1,剧情,动作,梅尔·吉布,1995,美国
2,动作,科幻,詹姆斯·卡梅,1991,美国
3,剧情,奇幻,李,2012,美国
4,剧情,动作,黑泽,1985,日本
5,剧情,奇幻,李,2012,美国
6,剧情,科幻,理查德·沙因克,2007,美国
7,喜剧,奇幻,刘镇,1993,中国香港
8,剧情,悬疑,比利·怀尔,1957,美国
9,剧情,悬疑,马丁·斯科塞,2010,美国
10,动作,历史,雷德利·斯科,2001,美国
11,喜剧,动作,李力,1996,中国香港
12,动作,科幻,詹姆斯·卡梅,1991,美国
13,剧情,爱情,今,2001,日本
14,剧情,奇幻,李,2012,美国
15,剧情,喜剧,王,1994,中国香港
16,动作,科幻,乔斯·韦,2012,美国
17,剧情,喜剧,盖·里,1998,英国
18,动作,科幻,迈克尔·,2007,美国
19,动作,科幻,吴宇,1997,美国
20,剧情,犯罪,杜琪,2003,中国香港
21,剧情,科幻,雷德利·斯科,2015,英国
22,剧情,爱情,王家,2004,中国香港
23,剧情,科幻,史蒂文·斯皮尔伯,1982,美国
24,剧情,动画,万籁,1961,中国大陆
25,动作,奇幻,王,1993,中国香港
26,动作,悬疑,保罗·格林格拉,2007,美国
27,动作,科幻,乔恩·费,2008,美国
28,动作,科幻,吴宇,1997,美国
29,剧情,动作,金成,2013,韩国
30,动作,爱情,李惠,1992,中国香港
31,剧情,动作,吴宇,1989,中国香港
32,剧情,动作,大卫·阿,2014,美国
33,动画,奇幻,宫崎,1997,日本
34,剧情,动作,杜琪,2012,中国大陆
35,动作,科幻,吴宇,1997,美国
36,奇幻,冒险,克里斯·哥伦,2002,英国
37,动作,科幻,史蒂文·斯皮尔伯,2018,美国
38,喜剧,动作,詹姆斯·卡梅,1994,美国
39,剧情,动作,王,1994,中国香港
40,剧情,悬疑,奥里奥尔·保,2016,西班牙
41,动作,历史,扎克·施奈,2006,美国
42,动作,科幻,詹姆斯·卡梅,1991,美国
43,剧情,悬疑,金秉,2013,韩国
44,剧情,战争,斯坦利·库布里,1957,美国
45,动作,科幻,詹姆斯·卡梅,1991,美国
46,剧情,动作,皮埃尔·莫瑞,2008,法国
47,剧情,动作,克里斯托弗·诺,2012,美国
48,剧情,奇幻,大卫·叶,2016,英国
49,剧情,动作,黑泽,1961,日本
50,动作,科幻,安东尼·罗,2016,美国
51,喜剧,爱情,王,1991,中国香港
52,喜剧,动作,蒂姆·米,2016,美国
53,动作,科幻,迈克尔·,2007,美国
54,剧情,喜剧,周星,1999,中国香港
55,动作,科幻,吴宇,1997,美国
56,喜剧,奇幻,蒂姆·波,2005,美国
57,剧情,奇幻,大卫·叶,2016,英国
58,剧情,动作,陈嘉,1994,中国香港
59,剧情,动作,西蒙·韦斯,1997,美国
60,喜剧,unknown,冯小,1997,中国大陆
61,喜剧,动作,元,1990,中国香港
62,惊悚,犯罪,昆汀·塔伦蒂,1992,美国
63,剧情,动作,陈嘉,1994,中国香港
64,剧情,科幻,理查德·沙因克,2007,美国
65,动作,科幻,詹姆斯·卡梅,1991,美国
66,剧情,动作,陈嘉,1994,中国香港
67,动作,科幻,迈克尔·,2007,美国
68,动作,科幻,乔斯·韦,2012,美国
69,剧情,动作,迈克尔·,1995,美国
70,喜剧,动作,肖恩·利,2006,美国
71,科幻,惊悚,斯坦利·库布里,1968,英国
72,剧情,动作,奥利佛·斯,1994,美国
73,剧情,爱情,关锦,1987,中国香港
74,剧情,unknown,陈凯,2019,中国大陆
75,喜剧,动作,韦家,1997,中国香港
76,剧情,爱情,程小,1992,中国香港
77,剧情,惊悚,朴赞,2005,韩国
78,剧情,惊悚,布莱恩·德·帕尔,1983,美国
79,动作,科幻,詹姆斯·卡梅,1991,美国
80,剧情,悬疑,艾伦·帕,2003,美国
81,剧情,unknown,小林正,1967,日本
82,剧情,动作,西蒙·韦斯,1997,美国
83,动作,科幻,詹姆斯·古,2014,美国
84,喜剧,动作,董,1990,中国香港
85,剧情,动作,张艺,2002,中国大陆
86,喜剧,动画,约翰·拉塞,2006,美国
87,动作,科幻,安东尼·罗,2014,美国
88,动作,犯罪,伊利亚·奈舒,2021,美国
89,动作,科幻,迈克尔·,2007,美国
90,动作,科幻,沙恩·布莱,2013,美国
91,动作,奇幻,王,1993,中国香港
92,恐怖,unknown,斯坦利·库布里,1980,英国
93,动作,科幻,乔恩·费,2008,美国
94,剧情,喜剧,彼得·法雷,2022,美国
95,动作,科幻,詹姆斯·卡梅,1984,美国
96,动画,奇幻,王树,1983,中国大陆
97,喜剧,动画,约翰·拉塞,1998,美国
98,剧情,爱情,王家,2000,中国香港
99,剧情,动作,庄文,2018,中国大陆
100,喜剧,动作,陈嘉,1991,中国香港
101,动作,科幻,吕克·贝,1997,法国
102,动作,奇幻,斯科特·德瑞克,2016,美国
103,喜剧,犯罪,盖·里,2000,英国
104,喜剧,爱情,王,1991,中国香港
105,剧情,喜剧,王,1994,中国香港
106,喜剧,爱情,王,1991,中国香港
107,剧情,爱情,程小,1992,中国香港
108,喜剧,动作,王,1992,中国香港
109,科幻,动画,大友克,2004,日本
110,动作,科幻,沙恩·布莱,2013,美国
111,动作,科幻,J·J·艾布拉姆,2009,美国
112,动作,惊悚,布拉德·伯,2011,美国
113,剧情,动作,尼尔·布洛姆坎,2009,美国
114,动作,科幻,吕克·贝,1997,法国
115,喜剧,爱情,王,1991,中国香港
116,科幻,动画,森本晃,2003,日本
117,喜剧,动作,詹姆斯·卡梅,1994,美国
118,动作,科幻,J·J·艾布拉姆,2009,美国
119,剧情,悬疑,阿尼什·查甘,2018,美国
120,剧情,动作,陈嘉,1994,中国香港
