,genre0,genre1,director0,ReleaseDate,region0
0,剧情,爱情,詹姆斯·卡梅,1997,美国
1,剧情,战争,萨姆·门德,2019,美国
2,剧情,爱情,丹尼·博伊,2008,英国
3,剧情,爱情,蒂姆·波,1990,美国
4,剧情,爱情,詹姆斯·卡梅,1997,美国
5,喜剧,奇幻,刘镇,1993,中国香港
6,剧情,喜剧,周星,1999,中国香港
7,喜剧,奇幻,刘镇,1993,中国香港
8,剧情,爱情,詹姆斯·卡梅,1997,美国
9,剧情,爱情,王家,1994,中国香港
10,剧情,爱情,尼克·卡萨维,2004,美国
11,剧情,喜剧,王,1994,中国香港
12,剧情,unknown,贾樟,1998,中国香港
13,剧情,爱情,茂文·勒鲁,1940,美国
14,剧情,爱情,王家,2000,中国香港
15,剧情,同性,布莱恩·辛,2018,英国
16,剧情,喜剧,周星,1999,中国香港
17,剧情,爱情,卢卡·瓜达尼,2017,意大利
18,剧情,爱情,王家,1994,中国香港
19,剧情,爱情,关锦,2001,中国大陆
20,剧情,爱情,达米恩·查泽,2016,美国
21,剧情,喜剧,查理·卓别,1931,美国
22,剧情,喜剧,迈克尔·莱德,1994,意大利
23,剧情,爱情,王家,1990,中国香港
24,剧情,爱情,陈可,1996,中国香港
25,剧情,爱情,王家,1990,中国香港
26,剧情,喜剧,徐誉,2018,中国台湾
27,剧情,爱情,王家,2000,中国香港
28,动画,奇幻,宫崎,1984,日本
29,剧情,爱情,吴天,1986,中国大陆
30,剧情,爱情,朱丽·泰,2002,美国
31,动画,奇幻,宫崎,1989,日本
32,剧情,爱情,约翰·卡,2006,美国
33,剧情,爱情,王家,2000,中国香港
34,剧情,爱情,郭在,2003,韩国
35,喜剧,爱情,刘镇,1995,中国香港
36,剧情,喜剧,王家,1995,中国香港
37,剧情,爱情,陈可,1996,中国香港
38,剧情,喜剧,威廉·惠,1953,美国
39,剧情,爱情,王家,2000,中国香港
40,剧情,爱情,詹姆斯·卡梅,1997,美国
41,纪录片,同性,克里斯托弗·威尔,2020,美国
42,喜剧,奇幻,刘镇,1993,中国香港
43,剧情,爱情,王家,2004,中国香港
44,剧情,爱情,尼克·卡萨维,2004,美国
45,喜剧,动作,李力,1994,中国香港
46,剧情,爱情,理查德·林克莱,2004,美国
47,科幻,动画,森本晃,1995,日本
48,剧情,喜剧,威廉·惠,1953,美国
49,动画,奇幻,宫崎,1986,日本
50,剧情,喜剧,杨·塞谬,2003,法国
51,动作,奇幻,王,1993,中国香港
52,剧情,爱情,詹姆斯·卡梅,1997,美国
53,剧情,喜剧,查理·卓别,1936,美国
54,喜剧,爱情,约翰·卡,2013,美国
55,剧情,爱情,王家,1994,中国香港
56,喜剧,unknown,雅克·塔,1958,意大利
57,剧情,爱情,理查德·林克莱,1995,美国
58,动作,爱情,李惠,1992,中国香港
59,剧情,爱情,关锦,1987,中国香港
60,剧情,家庭,加布里埃莱·穆奇,2006,美国
61,剧情,爱情,理查德·林克莱,2004,美国
62,剧情,喜剧,肯·卡皮,2009,美国
63,剧情,爱情,杰瑞·扎,1990,美国
64,剧情,爱情,乔·赖,2005,法国
65,剧情,爱情,王家,1994,中国香港
66,剧情,喜剧,伍思,2004,美国
67,剧情,爱情,安东尼·明格,1996,美国
68,剧情,喜剧,威廉·惠,1953,美国
69,剧情,同性,汤姆·福,2009,美国
70,动画,奇幻,宫崎,2004,日本
71,剧情,爱情,土井裕,2021,日本
72,剧情,爱情,王家,2000,中国香港
73,剧情,喜剧,威廉·惠,1953,美国
74,动画,奇幻,宫崎,1984,日本
75,剧情,爱情,乔·赖,2005,法国
76,剧情,爱情,王家,2004,中国香港
77,爱情,悬疑,阿尔弗雷德·希区柯,1945,美国
78,剧情,爱情,王家,2000,中国香港
79,剧情,爱情,米歇尔·贡德,2004,美国
80,剧情,爱情,王家,1994,中国香港
81,剧情,爱情,莱奥·卡拉克,1991,法国
82,喜剧,动作,元,1990,中国香港
83,剧情,爱情,关锦,1987,中国香港
84,剧情,爱情,王家,2000,中国香港
85,剧情,爱情,尼克·卡萨维,2004,美国
86,动作,爱情,李惠,1993,中国香港
87,剧情,爱情,爱德华·兹威,1994,美国
88,剧情,爱情,莫娜·法斯特欧,2020,美国
89,剧情,unknown,费德里科·费里,1954,意大利
90,剧情,喜剧,杨·塞谬,2003,法国
91,剧情,家庭,阿斯哈·法哈,2011,伊朗
92,动画,奇幻,宫崎,1997,日本
93,剧情,喜剧,杨·塞谬,2003,法国
94,剧情,爱情,土井裕,2021,日本
95,剧情,动作,徐浩,2015,中国大陆
96,剧情,喜剧,威廉·惠,1953,美国
97,剧情,unknown,费德里科·费里,1954,意大利
98,剧情,喜剧,李,1993,中国台湾
99,剧情,喜剧,马克·韦,2009,美国
100,剧情,动画,巴里·库,1998,美国
101,爱情,奇幻,李铉,2000,韩国
102,剧情,动作,陈木,1990,中国香港
103,剧情,爱情,伍迪·艾,1992,美国
104,剧情,爱情,娄,2000,中国大陆
105,剧情,爱情,莫娜·法斯特欧,2020,美国
106,剧情,传记,汤姆·霍,2010,英国
107,剧情,爱情,王家,1997,中国香港
108,剧情,喜剧,查理·卓别,1921,美国
109,剧情,爱情,布鲁诺·努,1988,法国
110,剧情,爱情,李,2005,美国
111,剧情,爱情,杨德,2000,中国台湾
112,剧情,爱情,莱奥·卡拉克,1991,法国
113,喜剧,犯罪,乔尔·科,1998,美国
114,剧情,喜剧,王家,1995,中国香港
115,剧情,爱情,克林特·伊斯特伍,1995,美国
116,剧情,喜剧,米歇尔·阿扎纳维西于,2011,法国
117,剧情,爱情,杨德,1983,中国台湾
118,剧情,unknown,费德里科·费里,1957,意大利
119,动画,奇幻,宫崎,1984,日本
120,剧情,爱情,关锦,1987,中国香港
121,剧情,悬疑,比利·怀尔,1957,美国
122,喜剧,音乐,埃米利·阿朵里,1992,美国
123,剧情,爱情,茂文·勒鲁,1940,美国
124,剧情,家庭,小津安二,1951,日本
125,剧情,爱情,西德尼·波拉,1985,美国
126,剧情,爱情,陈嘉,2000,中国香港
127,剧情,传记,鲍兹·亚,2000,美国
128,动画,奇幻,宫崎,1984,日本
129,剧情,喜剧,伍迪·艾,1977,美国
130,剧情,unknown,费德里科·费里,1957,意大利
131,剧情,喜剧,威廉·惠,1953,美国
132,剧情,家庭,贾樟,2015,中国大陆
133,剧情,爱情,尼克·卡萨维,2004,美国
134,剧情,喜剧,马克·韦,2009,美国
135,剧情,爱情,陈可,1996,中国香港
136,剧情,爱情,理查德·林克莱,2004,美国
137,剧情,爱情,理查德·林克莱,1995,美国
138,剧情,爱情,西德尼·波拉,1985,美国
139,剧情,爱情,詹姆斯·伊沃,1987,英国
140,剧情,unknown,维姆·文德,1984,西德
141,剧情,爱情,瑟琳·席安,2019,法国
142,剧情,unknown,费德里科·费里,1957,意大利
143,剧情,情色,拉斯·冯·提,2013,丹麦
144,喜剧,爱情,罗杰·米歇,1999,英国
145,剧情,爱情,关锦,1987,中国香港
146,喜剧,动画,罗恩·克莱蒙,1992,美国
147,动画,儿童,王,2011,中国大陆
148,动画,短片,大森贵,2017,日本
149,剧情,喜剧,周星,1999,中国香港
150,剧情,unknown,顾长,2007,中国大陆
151,剧情,爱情,王家,2000,中国香港
152,剧情,unknown,西奥·安哲罗普洛,1998,法国
153,剧情,动作,陈嘉,1994,中国香港
