,genre0,genre1,director0,ReleaseDate,region0
0,动画,奇幻,宫崎,1997,日本
1,剧情,动画,菲利普·亨,2008,英国
2,动画,短片,胡进,1984,中国大陆
3,悬疑,惊悚,阿尔弗雷德·希区柯,1960,美国
4,动画,短片,埃里康·卡萨罗,2011,美国
5,动画,短片,托默克·巴金斯,2004,波兰
6,动画,短片,徐景,1980,中国大陆
7,动作,短片,埃德温·鲍,1903,美国
8,剧情,短片,本杰明·克利,2015,英国
9,短片,unknown,乔治·阿尔培特·史密,1900,英国
10,纪录片,unknown,达蒙·加梅,2014,澳大利亚
11,喜剧,动画,徐景,1986,中国大陆
12,动画,短片,曲建,1981,中国大陆
13,喜剧,动画,卡洛斯·沙尔丹,2002,美国
14,动画,短片,拉夫·埃格尔斯,2000,美国
15,剧情,动画,菲利普·亨,2008,英国
16,纪录片,unknown,杜桑·哈那,1972,捷克斯洛伐克
17,动画,短片,何玉,1958,中国大陆
18,剧情,动画,克里斯托弗·劳恩斯,1989,西德
19,动画,奇幻,王树,1979,中国大陆
20,喜剧,科幻,安格斯·麦克莱,2008,美国
21,动画,短片,简·皮克,1997,美国
22,动画,短片,Michael Reicher,2008,德国
23,动画,短片,杨·史云梅,1967,捷克斯洛伐克
24,动画,短片,曲建,1981,中国大陆
25,动画,短片,刘蕙,1982,中国大陆
26,动画,短片,唐,1982,中国大陆
27,喜剧,科幻,安格斯·麦克莱,2008,美国
28,爱情,短片,埃里克·侯,1963,法国
29,喜剧,动画,马克∙安德鲁,2005,美国
30,动画,短片,彭擎,2015,中国大陆
31,动画,短片,Neil Coslet,2003,英国
32,短片,家庭,艾尔伯特·拉摩里,1956,法国
33,喜剧,科幻,细田,2009,日本
34,剧情,儿童,安德烈·塔可夫斯,1961,苏联
35,动画,短片,何玉,1958,中国大陆
36,动画,短片,曲建,1981,中国大陆
37,动画,短片,万古,1959,中国大陆
38,动画,短片,曹润,2015,中国大陆
39,动画,短片,加藤久仁生,2003,日本
40,喜剧,动画,unknown,2013,美国
41,动画,短片,简·皮克,1997,美国
42,动画,短片,约翰·拉塞,1989,美国
43,喜剧,科幻,细田,2009,日本
44,科幻,动画,渡边信一,2017,美国
45,爱情,动画,万古,1963,中国大陆
46,动画,短片,约翰·拉塞,1989,美国
47,恐怖,短片,大卫·F·桑德伯,2013,瑞典
48,动画,unknown,福岛敦,2007,日本
49,纪录片,unknown,李一,2019,中国大陆
50,短片,unknown,斯派克·琼,2018,美国
51,动画,短片,布拉德·伯,2005,美国
52,剧情,短片,菲利普·桑,2008,英国
53,剧情,战争,列纳特·达夫列吉亚罗,2015,俄罗斯
54,剧情,动画,弗雷德里克·贝,1981,加拿大
55,短片,unknown,乔治·梅里,1896,法国
56,动画,短片,巴德·乐,2004,美国
57,剧情,短片,菲利普·桑,2008,英国
58,动画,短片,阎善,1980,中国大陆
59,剧情,短片,Gregor Schmidinge,2008,美国
60,短片,unknown,乔治·梅里,1896,法国
61,喜剧,科幻,安格斯·麦克莱,2008,美国
62,剧情,悬疑,奥利维耶·特雷,2010,法国
63,动画,纪录片,Paul Grigno,unknown,加拿大
64,动画,短片,钱家,1981,中国大陆
65,动画,短片,兰茜,2016,美国
66,动画,短片,宫崎,2006,日本
67,剧情,短片,肖恩·克里斯汀,2012,美国
68,喜剧,动作,巴斯特·基,1924,美国
69,动画,短片,约翰·拉塞,2006,美国
70,喜剧,科幻,安格斯·麦克莱,2008,美国
71,剧情,喜剧,肯·卡皮,2009,美国
72,剧情,爱情,克里斯·马,1962,法国
73,动画,短片,何玉,1958,中国大陆
74,喜剧,短片,陈凯,2002,中国大陆
75,喜剧,动画,亚罗·切,2013,美国
76,喜剧,动画,乔什·库,2015,美国
77,动画,短片,彭擎,2017,中国大陆
78,动画,短片,虞哲,1955,中国大陆
79,喜剧,动画,嘉里·瑞德斯托,2007,美国
80,纪录片,unknown,陈为,2003,中国大陆
81,短片,运动,盖·里,2008,英国
82,剧情,短片,Vincent Haycoc,2014,美国
83,动画,短片,钱家,1981,中国大陆
84,喜剧,动画,王柏,1981,中国大陆
85,剧情,科幻,庵野秀,2007,日本
86,喜剧,动画,蒂莫西·锐科,2012,英国
87,动画,短片,约翰·拉塞,1987,美国
88,剧情,动画,威廉·乔伊,2011,美国
89,喜剧,动画,康斯坦汀·布朗,1999,法国
90,喜剧,动画,马克∙安德鲁,2005,美国
91,爱情,动画,克莱德·杰洛尼,1959,美国
92,动画,短片,弗雷德里克·萨灵·特勒尔斯-史密,2015,丹麦
93,爱情,科幻,新海,2002,日本
94,动画,短片,加藤久仁生,2003,日本
95,动画,短片,曹润,2015,中国大陆
96,剧情,短片,Dominic Haxto,2013,美国
97,动画,短片,曹润,2015,中国大陆
98,动画,短片,万古,1958,中国大陆
99,动画,短片,万古,1959,中国大陆
100,喜剧,恐怖,爱德华·克莱,1921,美国
101,剧情,动画,迈克尔·度德威,2001,英国
102,剧情,喜剧,Santiago Grass,2008,阿根廷
103,动画,短片,徐景,1980,中国大陆
104,喜剧,动画,王柏,1981,中国大陆
105,喜剧,动画,马克∙安德鲁,2005,美国
106,动画,短片,维克多·凯,2017,法国
107,动画,短片,尤,1982,中国大陆
108,动画,短片,方润,1979,中国大陆
109,剧情,短片,毕,2016,中国大陆
110,喜剧,动画,马克∙安德鲁,2005,美国
111,喜剧,动画,unknown,2013,美国
112,纪录片,音乐,斯派克·,2012,美国
113,喜剧,动画,约瑟夫·巴伯,1947,美国
114,动画,奇幻,田晓,unknown,中国大陆
115,动画,短片,Marie Opro,2010,法国
116,短片,unknown,乔治·梅里,1896,法国
117,喜剧,动画,凯尔·巴尔,2010,美国
118,动画,短片,拉夫·埃格尔斯,2000,美国
119,喜剧,动画,Doug Sweetlan,2008,美国
120,剧情,动画,加布里埃尔·奥索里奥·巴尔加,2014,智利
121,动画,短片,Neil Coslet,2003,英国
122,喜剧,动画,Joseph Barber,1947,美国
123,动画,短片,方润,1979,中国大陆
124,动画,短片,简·皮克,1997,美国
125,喜剧,动画,凯尔·巴尔,2010,美国
126,纪录片,unknown,大卫·贾,2011,美国
127,喜剧,动画,Jack Cuttin,1939,美国
128,动画,unknown,福岛敦,2007,日本
129,动画,短片,石之,2018,美国
130,动画,短片,詹,1982,中国大陆
131,爱情,动画,Torill Kov,2006,加拿大
132,动画,奇幻,王树,1983,中国大陆
133,动画,短片,胡雄,1981,中国大陆
134,剧情,科幻,汤姆·提克,2012,德国
135,动画,短片,拉夫·埃格尔斯,2000,美国
136,喜剧,动画,Doug Sweetlan,2008,美国
137,喜剧,爱情,查理·卓别,1925,美国
138,动画,短片,石田祐,2011,日本
139,动画,短片,戴夫·穆林,2017,美国
140,剧情,爱情,Darwin Serin,2014,美国
141,喜剧,短片,路易斯·卢米埃,1895,法国
142,动画,短片,凯文·迪特,2017,美国
143,爱情,动画,王,2016,中国大陆
