link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/1291546/,霸王别姬,陈凯,张国荣,张丰毅,巩俐,剧情,爱情,同性,unknown,中国大陆,中国香港,unknown,unknown,1993,"['春光乍泄', 'https://movie.douban.com/subject/1292679/?from=subject-page']","['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['花样年华', 'https://movie.douban.com/subject/1291557/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['断背山', 'https://movie.douban.com/subject/1418834/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['甜蜜蜜', 'https://movie.douban.com/subject/1305164/?from=subject-page']","['请以你的名字呼唤我', 'https://movie.douban.com/subject/26799731/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']"
https://movie.douban.com/subject/1292063/,美丽人生 La vita è bella,罗伯托·贝尼,罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,剧情,喜剧,爱情,战争,意大利,unknown,unknown,unknown,1997,"['辛德勒的名单', 'https://movie.douban.com/subject/1295124/?from=subject-page']","['穿条纹睡衣的男孩', 'https://movie.douban.com/subject/3008247/?from=subject-page']","['拯救大兵瑞恩', 'https://movie.douban.com/subject/1292849/?from=subject-page']","['钢琴家', 'https://movie.douban.com/subject/1296736/?from=subject-page']","['1917', 'https://movie.douban.com/subject/30252495/?from=subject-page']","['血战钢锯岭', 'https://movie.douban.com/subject/26325320/?from=subject-page']","['乱世佳人', 'https://movie.douban.com/subject/1300267/?from=subject-page']","['敦刻尔克', 'https://movie.douban.com/subject/26607693/?from=subject-page']","['波斯语课', 'https://movie.douban.com/subject/30466931/?from=subject-page']","['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']"
https://movie.douban.com/subject/1292720/,阿甘正传 Forrest Gump,罗伯特·泽米吉,汤姆·汉克斯,罗宾·怀特,加里·西尼斯,剧情,爱情,unknown,unknown,美国,unknown,unknown,unknown,1994,"['肖申克的救赎', 'https://movie.douban.com/subject/1292052/?from=subject-page']","['当幸福来敲门', 'https://movie.douban.com/subject/1849031/?from=subject-page']","['三傻大闹宝莱坞', 'https://movie.douban.com/subject/3793023/?from=subject-page']","['摔跤吧！爸爸', 'https://movie.douban.com/subject/26387939/?from=subject-page']","['贫民窟的百万富翁', 'https://movie.douban.com/subject/2209573/?from=subject-page']","['荒岛余生', 'https://movie.douban.com/subject/1298653/?from=subject-page']","['心灵捕手', 'https://movie.douban.com/subject/1292656/?from=subject-page']","['国王的演讲', 'https://movie.douban.com/subject/4023638/?from=subject-page']","['死亡诗社', 'https://movie.douban.com/subject/1291548/?from=subject-page']","['美丽心灵', 'https://movie.douban.com/subject/1306029/?from=subject-page']"
https://movie.douban.com/subject/1292722/,泰坦尼克号 Titanic,詹姆斯·卡梅,莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩,剧情,爱情,灾难,unknown,美国,墨西哥,澳大利亚,unknown,1997,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['剪刀手爱德华', 'https://movie.douban.com/subject/1292370/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']","['怦然心动', 'https://movie.douban.com/subject/3319755/?from=subject-page']","['乱世佳人', 'https://movie.douban.com/subject/1300267/?from=subject-page']","['大话西游之大圣娶亲', 'https://movie.douban.com/subject/1292213/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']"
https://movie.douban.com/subject/1300267/,乱世佳人 Gone with the Wind,维克多·弗莱,费雯·丽,克拉克·盖博,奥利维娅·德哈维兰,剧情,爱情,历史,战争,美国,unknown,unknown,unknown,1939,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['魂断蓝桥', 'https://movie.douban.com/subject/1293964/?from=subject-page']","['卡萨布兰卡', 'https://movie.douban.com/subject/1296753/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['甜蜜蜜', 'https://movie.douban.com/subject/1305164/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['花样年华', 'https://movie.douban.com/subject/1291557/?from=subject-page']"
https://movie.douban.com/subject/1292213/,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,刘镇,周星驰,吴孟达,朱茵,喜剧,爱情,奇幻,古装,中国香港,中国大陆,unknown,unknown,1995,"['大话西游之月光宝盒', 'https://movie.douban.com/subject/1299398/?from=subject-page']","['唐伯虎点秋香', 'https://movie.douban.com/subject/1306249/?from=subject-page']","['九品芝麻官', 'https://movie.douban.com/subject/1297518/?from=subject-page']","['喜剧之王', 'https://movie.douban.com/subject/1302425/?from=subject-page']","['射雕英雄传之东成西就', 'https://movie.douban.com/subject/1316510/?from=subject-page']","['功夫', 'https://movie.douban.com/subject/1291543/?from=subject-page']","['国产凌凌漆', 'https://movie.douban.com/subject/1307739/?from=subject-page']","['食神', 'https://movie.douban.com/subject/1293351/?from=subject-page']","['鹿鼎记', 'https://movie.douban.com/subject/1297223/?from=subject-page']","['逃学威龙', 'https://movie.douban.com/subject/1302090/?from=subject-page']"
https://movie.douban.com/subject/3793023/,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉,阿米尔·汗,卡琳娜·卡普尔,马达范,剧情,喜剧,爱情,歌舞,印度,unknown,unknown,unknown,2009,"['唐伯虎点秋香', 'https://movie.douban.com/subject/1306249/?from=subject-page']","['九品芝麻官', 'https://movie.douban.com/subject/1297518/?from=subject-page']","['射雕英雄传之东成西就', 'https://movie.douban.com/subject/1316510/?from=subject-page']","['功夫', 'https://movie.douban.com/subject/1291543/?from=subject-page']","['喜剧之王', 'https://movie.douban.com/subject/1302425/?from=subject-page']","['大话西游之月光宝盒', 'https://movie.douban.com/subject/1299398/?from=subject-page']","['疯狂动物城', 'https://movie.douban.com/subject/25662329/?from=subject-page']","['阿甘正传', 'https://movie.douban.com/subject/1292720/?from=subject-page']","['肖申克的救赎', 'https://movie.douban.com/subject/1292052/?from=subject-page']","['神偷奶爸', 'https://movie.douban.com/subject/3287562/?from=subject-page']"
https://movie.douban.com/subject/1294371/,摩登时代 Modern Times,查理·卓别,查理·卓别林,宝莲·高黛,亨利·伯格曼,剧情,喜剧,爱情,unknown,美国,unknown,unknown,unknown,1936,"['城市之光', 'https://movie.douban.com/subject/1293908/?from=subject-page']","['淘金记', 'https://movie.douban.com/subject/1298817/?from=subject-page']","['九品芝麻官', 'https://movie.douban.com/subject/1297518/?from=subject-page']","['唐伯虎点秋香', 'https://movie.douban.com/subject/1306249/?from=subject-page']","['射雕英雄传之东成西就', 'https://movie.douban.com/subject/1316510/?from=subject-page']","['疯狂的石头', 'https://movie.douban.com/subject/1862151/?from=subject-page']","['寻子遇仙记', 'https://movie.douban.com/subject/1293270/?from=subject-page']","['大独裁者', 'https://movie.douban.com/subject/1295646/?from=subject-page']","['功夫', 'https://movie.douban.com/subject/1291543/?from=subject-page']","['喜剧之王', 'https://movie.douban.com/subject/1302425/?from=subject-page']"
https://movie.douban.com/subject/1291828/,天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多,菲利普·努瓦雷,萨瓦特利·卡西欧,雅克·贝汉,剧情,爱情,unknown,unknown,意大利,法国,unknown,unknown,1988,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['甜蜜蜜', 'https://movie.douban.com/subject/1305164/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']","['花样年华', 'https://movie.douban.com/subject/1291557/?from=subject-page']","['乱世佳人', 'https://movie.douban.com/subject/1300267/?from=subject-page']","['剪刀手爱德华', 'https://movie.douban.com/subject/1292370/?from=subject-page']","['真爱至上', 'https://movie.douban.com/subject/1292401/?from=subject-page']"
https://movie.douban.com/subject/3319755/,怦然心动 Flipped,罗伯·莱,玛德琳·卡罗尔,卡兰·麦克奥利菲,瑞贝卡·德·莫妮,剧情,喜剧,爱情,unknown,美国,unknown,unknown,unknown,2010,"['罗马假日', 'https://movie.douban.com/subject/1293839/?from=subject-page']","['泰坦尼克号', 'https://movie.douban.com/subject/1292722/?from=subject-page']","['爱在黎明破晓前', 'https://movie.douban.com/subject/1296339/?from=subject-page']","['恋恋笔记本', 'https://movie.douban.com/subject/1309163/?from=subject-page']","['重庆森林', 'https://movie.douban.com/subject/1291999/?from=subject-page']","['傲慢与偏见', 'https://movie.douban.com/subject/1418200/?from=subject-page']","['天使爱美丽', 'https://movie.douban.com/subject/1292215/?from=subject-page']","['爱乐之城', 'https://movie.douban.com/subject/25934014/?from=subject-page']","['情书', 'https://movie.douban.com/subject/1292220/?from=subject-page']","['真爱至上', 'https://movie.douban.com/subject/1292401/?from=subject-page']"
