link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/26766869/,鹬 Piper,艾伦·巴利拉,unknown,unknown,unknown,动画,短片,unknown,unknown,美国,unknown,unknown,unknown,2016,"['雇佣人生', 'https://movie.douban.com/subject/3823425/?from=subject-page']","['回忆积木小屋', 'https://movie.douban.com/subject/3560787/?from=subject-page']","['三个和尚', 'https://movie.douban.com/subject/1431699/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['月神', 'https://movie.douban.com/subject/6313765/?from=subject-page']","['小蝌蚪找妈妈', 'https://movie.douban.com/subject/3335371/?from=subject-page']","['失物招领', 'https://movie.douban.com/subject/26884340/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['玩具总动员', 'https://movie.douban.com/subject/1291575/?from=subject-page']"
https://movie.douban.com/subject/3560787/,回忆积木小屋 つみきのいえ,加藤久仁生,unknown,unknown,unknown,剧情,动画,短片,unknown,日本,unknown,unknown,unknown,2008,"['父与女', 'https://movie.douban.com/subject/1300395/?from=subject-page']","['某个旅人的日记', 'https://movie.douban.com/subject/2117844/?from=subject-page']","['雇佣人生', 'https://movie.douban.com/subject/3823425/?from=subject-page']","['平衡', 'https://movie.douban.com/subject/1408100/?from=subject-page']","['精神分裂症', 'https://movie.douban.com/subject/3262918/?from=subject-page']","['苍蝇一分钟的生命', 'https://movie.douban.com/subject/4914616/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['暴力云与送子鹳', 'https://movie.douban.com/subject/3734350/?from=subject-page']","['远在天边', 'https://movie.douban.com/subject/3358309/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']"
https://movie.douban.com/subject/1316626/,山水情,特,unknown,unknown,unknown,动画,短片,unknown,unknown,中国大陆,unknown,unknown,unknown,1988,"['牧笛', 'https://movie.douban.com/subject/1431962/?from=subject-page']","['鹿铃', 'https://movie.douban.com/subject/1886877/?from=subject-page']","['小蝌蚪找妈妈', 'https://movie.douban.com/subject/3335371/?from=subject-page']","['九色鹿', 'https://movie.douban.com/subject/1428577/?from=subject-page']","['三个和尚', 'https://movie.douban.com/subject/1431699/?from=subject-page']","['骄傲的将军', 'https://movie.douban.com/subject/1883634/?from=subject-page']","['老人与海', 'https://movie.douban.com/subject/1302930/?from=subject-page']","['崂山道士', 'https://movie.douban.com/subject/1431688/?from=subject-page']","['鹬蚌相争', 'https://movie.douban.com/subject/1300505/?from=subject-page']","['超级肥皂', 'https://movie.douban.com/subject/1441802/?from=subject-page']"
https://movie.douban.com/subject/6846495/,调音师(短片) L'accordeur,奥利维耶·特雷,格雷戈瓦·勒普兰斯-林盖,达尼埃莱·莱布伦,格莱高利·嘉德波瓦,剧情,悬疑,惊悚,短片,法国,unknown,unknown,unknown,2010,"['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['恐怖游轮', 'https://movie.douban.com/subject/3011051/?from=subject-page']","['穆赫兰道', 'https://movie.douban.com/subject/1292217/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['致命ID', 'https://movie.douban.com/subject/1297192/?from=subject-page']","['追随', 'https://movie.douban.com/subject/1397546/?from=subject-page']","['控方证人', 'https://movie.douban.com/subject/1296141/?from=subject-page']","['惊魂记', 'https://movie.douban.com/subject/1293181/?from=subject-page']","['第六感', 'https://movie.douban.com/subject/1297630/?from=subject-page']"
https://movie.douban.com/subject/3823425/,雇佣人生 El Empleo,Santiago Grass,unknown,unknown,unknown,剧情,喜剧,动画,短片,阿根廷,unknown,unknown,unknown,2008,"['回忆积木小屋', 'https://movie.douban.com/subject/3560787/?from=subject-page']","['精神分裂症', 'https://movie.douban.com/subject/3262918/?from=subject-page']","['平衡', 'https://movie.douban.com/subject/1408100/?from=subject-page']","['苍蝇一分钟的生命', 'https://movie.douban.com/subject/4914616/?from=subject-page']","['无翼鸟', 'https://movie.douban.com/subject/2338160/?from=subject-page']","['父与女', 'https://movie.douban.com/subject/1300395/?from=subject-page']","['三个和尚', 'https://movie.douban.com/subject/1431699/?from=subject-page']","['小蝌蚪找妈妈', 'https://movie.douban.com/subject/3335371/?from=subject-page']","['月神', 'https://movie.douban.com/subject/6313765/?from=subject-page']","['远在天边', 'https://movie.douban.com/subject/3358309/?from=subject-page']"
https://movie.douban.com/subject/1300395/,父与女 Father and Daughter,迈克尔·度德威,unknown,unknown,unknown,剧情,动画,短片,unknown,英国,比利时,荷兰,unknown,2001,"['回忆积木小屋', 'https://movie.douban.com/subject/3560787/?from=subject-page']","['平衡', 'https://movie.douban.com/subject/1408100/?from=subject-page']","['雇佣人生', 'https://movie.douban.com/subject/3823425/?from=subject-page']","['精神分裂症', 'https://movie.douban.com/subject/3262918/?from=subject-page']","['老人与海', 'https://movie.douban.com/subject/1302930/?from=subject-page']","['鸟！鸟！鸟！', 'https://movie.douban.com/subject/1470600/?from=subject-page']","['棋逢敌手', 'https://movie.douban.com/subject/1299243/?from=subject-page']","['苍蝇一分钟的生命', 'https://movie.douban.com/subject/4914616/?from=subject-page']","['堕落的艺术', 'https://movie.douban.com/subject/1434184/?from=subject-page']","['无翼鸟', 'https://movie.douban.com/subject/2338160/?from=subject-page']"
https://movie.douban.com/subject/3734350/,暴力云与送子鹳 Partly Cloudy,彼得·,Tony Fucile,Lori Richardson,unknown,喜剧,动画,短片,奇幻,美国,unknown,unknown,unknown,2009,"['鸟！鸟！鸟！', 'https://movie.douban.com/subject/1470600/?from=subject-page']","['魔术师和兔子', 'https://movie.douban.com/subject/3111355/?from=subject-page']","['电焊工波力', 'https://movie.douban.com/subject/3338821/?from=subject-page']","['回忆积木小屋', 'https://movie.douban.com/subject/3560787/?from=subject-page']","['棋逢敌手', 'https://movie.douban.com/subject/1299243/?from=subject-page']","['绑架课', 'https://movie.douban.com/subject/1963067/?from=subject-page']","['光杆乐队', 'https://movie.douban.com/subject/1756584/?from=subject-page']","['小蝌蚪找妈妈', 'https://movie.douban.com/subject/3335371/?from=subject-page']","['三个和尚', 'https://movie.douban.com/subject/1431699/?from=subject-page']","['松鼠，坚果和时间机器', 'https://movie.douban.com/subject/1963070/?from=subject-page']"
https://movie.douban.com/subject/1867742/,火车进站 L'arrivée d'un train à La Ciotat,奥古斯特·卢米埃,unknown,unknown,unknown,纪录片,短片,unknown,unknown,法国,unknown,unknown,unknown,1896,"['工厂大门', 'https://movie.douban.com/subject/1401761/?from=subject-page']","['水浇园丁', 'https://movie.douban.com/subject/1867744/?from=subject-page']","['婴儿的午餐', 'https://movie.douban.com/subject/1867745/?from=subject-page']","['拆墙', 'https://movie.douban.com/subject/1868400/?from=subject-page']","['火车大劫案', 'https://movie.douban.com/subject/1299875/?from=subject-page']","['一条安达鲁狗', 'https://movie.douban.com/subject/1298962/?from=subject-page']","['朗德海花园场景', 'https://movie.douban.com/subject/1507384/?from=subject-page']","['出港的船', 'https://movie.douban.com/subject/1898830/?from=subject-page']","['一个美国消防员的生活', 'https://movie.douban.com/subject/1300142/?from=subject-page']","['祖母的放大镜', 'https://movie.douban.com/subject/2046059/?from=subject-page']"
https://movie.douban.com/subject/30210248/,百花深处,陈凯,冯远征,耿乐,unknown,喜剧,短片,unknown,unknown,中国大陆,unknown,unknown,unknown,2002,"['安魂曲', 'https://movie.douban.com/subject/25917964/?from=subject-page']","['一条安达鲁狗', 'https://movie.douban.com/subject/1298962/?from=subject-page']","['水浇园丁', 'https://movie.douban.com/subject/1867744/?from=subject-page']","['工厂大门', 'https://movie.douban.com/subject/1401761/?from=subject-page']","['红气球', 'https://movie.douban.com/subject/1326038/?from=subject-page']","['火车进站', 'https://movie.douban.com/subject/1867742/?from=subject-page']","['时间代码', 'https://movie.douban.com/subject/26789384/?from=subject-page']","['十分钟年华老去：小号篇', 'https://movie.douban.com/subject/1291563/?from=subject-page']","['口吃', 'https://movie.douban.com/subject/26668439/?from=subject-page']","['宵禁', 'https://movie.douban.com/subject/11598669/?from=subject-page']"
https://movie.douban.com/subject/1304310/,月球旅行记 Le voyage dans la lune,乔治·梅里,弗朗索瓦·拉勒芒,朱勒-尤金·乐可利,维克多·安德烈,喜剧,动作,科幻,短片,法国,unknown,unknown,unknown,1902,"['一条安达鲁狗', 'https://movie.douban.com/subject/1298962/?from=subject-page']","['火车进站', 'https://movie.douban.com/subject/1867742/?from=subject-page']","['大都会', 'https://movie.douban.com/subject/1298107/?from=subject-page']","['工厂大门', 'https://movie.douban.com/subject/1401761/?from=subject-page']","['水浇园丁', 'https://movie.douban.com/subject/1867744/?from=subject-page']","['天文学家之梦', 'https://movie.douban.com/subject/2173210/?from=subject-page']","['堤', 'https://movie.douban.com/subject/1306626/?from=subject-page']","['一个美国消防员的生活', 'https://movie.douban.com/subject/1300142/?from=subject-page']","['祖母的放大镜', 'https://movie.douban.com/subject/2046059/?from=subject-page']","['间奏曲', 'https://movie.douban.com/subject/1401892/?from=subject-page']"
