link,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,genre3,region0,region1,region2,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
https://movie.douban.com/subject/3541415/,盗梦空间 Inception,克里斯托弗·诺,莱昂纳多·迪卡普里奥,约瑟夫·高登-莱维特,艾利奥特·佩吉,剧情,科幻,悬疑,冒险,美国,英国,unknown,unknown,2010,"['致命魔术', 'https://movie.douban.com/subject/1780330/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['蝴蝶效应', 'https://movie.douban.com/subject/1292343/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['星际穿越', 'https://movie.douban.com/subject/1889243/?from=subject-page']","['禁闭岛', 'https://movie.douban.com/subject/2334904/?from=subject-page']","['记忆碎片', 'https://movie.douban.com/subject/1304447/?from=subject-page']","['看不见的客人', 'https://movie.douban.com/subject/26580232/?from=subject-page']","['头号玩家', 'https://movie.douban.com/subject/4920389/?from=subject-page']"
https://movie.douban.com/subject/1889243/,星际穿越 Interstellar,克里斯托弗·诺,马修·麦康纳,安妮·海瑟薇,杰西卡·查斯坦,剧情,科幻,冒险,unknown,美国,英国,加拿大,unknown,2014,"['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['火星救援', 'https://movie.douban.com/subject/25864085/?from=subject-page']","['头号玩家', 'https://movie.douban.com/subject/4920389/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['钢铁侠', 'https://movie.douban.com/subject/1432146/?from=subject-page']","['复仇者联盟', 'https://movie.douban.com/subject/1866479/?from=subject-page']","['X战警：逆转未来', 'https://movie.douban.com/subject/10485647/?from=subject-page']","['明日边缘', 'https://movie.douban.com/subject/4746257/?from=subject-page']"
https://movie.douban.com/subject/1292064/,楚门的世界 The Truman Show,彼得·威,金·凯瑞,劳拉·琳妮,艾德·哈里斯,剧情,科幻,unknown,unknown,美国,unknown,unknown,unknown,1998,"['唐伯虎点秋香', 'https://movie.douban.com/subject/1306249/?from=subject-page']","['九品芝麻官', 'https://movie.douban.com/subject/1297518/?from=subject-page']","['三傻大闹宝莱坞', 'https://movie.douban.com/subject/3793023/?from=subject-page']","['功夫', 'https://movie.douban.com/subject/1291543/?from=subject-page']","['射雕英雄传之东成西就', 'https://movie.douban.com/subject/1316510/?from=subject-page']","['喜剧之王', 'https://movie.douban.com/subject/1302425/?from=subject-page']","['大话西游之月光宝盒', 'https://movie.douban.com/subject/1299398/?from=subject-page']","['疯狂动物城', 'https://movie.douban.com/subject/25662329/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['星际穿越', 'https://movie.douban.com/subject/1889243/?from=subject-page']"
https://movie.douban.com/subject/2131459/,机器人总动员 WALL·E,安德鲁·斯坦,本·贝尔特,艾丽莎·奈特,杰夫·格尔林,科幻,动画,冒险,unknown,美国,unknown,unknown,unknown,2008,"['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['哈尔的移动城堡', 'https://movie.douban.com/subject/1308807/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['玩具总动员', 'https://movie.douban.com/subject/1291575/?from=subject-page']","['怪兽电力公司', 'https://movie.douban.com/subject/1291579/?from=subject-page']","['冰川时代', 'https://movie.douban.com/subject/1291578/?from=subject-page']","['飞屋环游记', 'https://movie.douban.com/subject/2129039/?from=subject-page']","['神偷奶爸', 'https://movie.douban.com/subject/3287562/?from=subject-page']"
https://movie.douban.com/subject/1851857/,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺,克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,剧情,动作,科幻,惊悚,美国,英国,unknown,unknown,2008,"['蝙蝠侠：黑暗骑士崛起', 'https://movie.douban.com/subject/3395373/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['猫鼠游戏', 'https://movie.douban.com/subject/1305487/?from=subject-page']","['钢铁侠', 'https://movie.douban.com/subject/1432146/?from=subject-page']","['终结者2：审判日', 'https://movie.douban.com/subject/1291844/?from=subject-page']","['复仇者联盟', 'https://movie.douban.com/subject/1866479/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['美国队长2', 'https://movie.douban.com/subject/6390823/?from=subject-page']","['变形金刚', 'https://movie.douban.com/subject/1794171/?from=subject-page']"
https://movie.douban.com/subject/1291843/,黑客帝国 The Matrix,莉莉·沃卓斯,基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯,动作,科幻,unknown,unknown,美国,unknown,unknown,unknown,1999,"['黑客帝国3：矩阵革命', 'https://movie.douban.com/subject/1302467/?from=subject-page']","['终结者2：审判日', 'https://movie.douban.com/subject/1291844/?from=subject-page']","['阿凡达', 'https://movie.douban.com/subject/1652587/?from=subject-page']","['盗梦空间', 'https://movie.douban.com/subject/3541415/?from=subject-page']","['这个男人来自地球', 'https://movie.douban.com/subject/2300586/?from=subject-page']","['变形金刚', 'https://movie.douban.com/subject/1794171/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['E.T.外星人', 'https://movie.douban.com/subject/1294638/?from=subject-page']","['2001太空漫游', 'https://movie.douban.com/subject/1292226/?from=subject-page']","['钢铁侠', 'https://movie.douban.com/subject/1432146/?from=subject-page']"
https://movie.douban.com/subject/1865703/,红辣椒 パプリカ,今,林原惠美,江守彻,堀胜之祐,科幻,动画,悬疑,惊悚,日本,unknown,unknown,unknown,2006,"['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']","['未麻的部屋', 'https://movie.douban.com/subject/1395091/?from=subject-page']","['东京教父', 'https://movie.douban.com/subject/1310177/?from=subject-page']","['幽灵公主', 'https://movie.douban.com/subject/1297359/?from=subject-page']","['天空之城', 'https://movie.douban.com/subject/1291583/?from=subject-page']","['大闹天宫', 'https://movie.douban.com/subject/1418019/?from=subject-page']","['风之谷', 'https://movie.douban.com/subject/1291585/?from=subject-page']","['攻壳机动队', 'https://movie.douban.com/subject/1291936/?from=subject-page']","['哈尔的移动城堡', 'https://movie.douban.com/subject/1308807/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']"
https://movie.douban.com/subject/1291936/,攻壳机动队 攻殻機動隊,押井,田中敦子,大塚明夫,山寺宏一,动作,科幻,动画,unknown,日本,unknown,unknown,unknown,1995,"['攻壳机动队2：无罪', 'https://movie.douban.com/subject/1291566/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']","['阿基拉', 'https://movie.douban.com/subject/1302770/?from=subject-page']","['红辣椒', 'https://movie.douban.com/subject/1865703/?from=subject-page']","['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']","['新世纪福音战士剧场版：Air/...', 'https://movie.douban.com/subject/1308892/?from=subject-page']","['福音战士新剧场版：序', 'https://movie.douban.com/subject/1968790/?from=subject-page']","['东京教父', 'https://movie.douban.com/subject/1310177/?from=subject-page']","['星际牛仔：天国之门', 'https://movie.douban.com/subject/1307031/?from=subject-page']","['人狼', 'https://movie.douban.com/subject/1306255/?from=subject-page']"
https://movie.douban.com/subject/25964630/,黑镜：圣诞特别篇 Black Mirror: White Christmas,卡尔·蒂贝,乔恩·哈姆,拉菲·斯波,奥娜·卓别林,剧情,科幻,惊悚,unknown,英国,unknown,unknown,unknown,2014,"['这个男人来自地球', 'https://movie.douban.com/subject/2300586/?from=subject-page']","['唐顿庄园：2011圣诞特别篇', 'https://movie.douban.com/subject/6870362/?from=subject-page']","['月球', 'https://movie.douban.com/subject/3073124/?from=subject-page']","['黑客帝国', 'https://movie.douban.com/subject/1291843/?from=subject-page']","['降临', 'https://movie.douban.com/subject/21324900/?from=subject-page']","['2001太空漫游', 'https://movie.douban.com/subject/1292226/?from=subject-page']","['彗星来的那一夜', 'https://movie.douban.com/subject/25807345/?from=subject-page']","['源代码', 'https://movie.douban.com/subject/3075287/?from=subject-page']","['银翼杀手2049', 'https://movie.douban.com/subject/10512661/?from=subject-page']","['机械姬', 'https://movie.douban.com/subject/4160540/?from=subject-page']"
https://movie.douban.com/subject/1291566/,攻壳机动队2：无罪 攻殻機動隊2 イノセンス,押井,田中敦子,大塚明夫,山寺宏一,剧情,科幻,动画,unknown,日本,unknown,unknown,unknown,2004,"['攻壳机动队', 'https://movie.douban.com/subject/1291936/?from=subject-page']","['回忆三部曲', 'https://movie.douban.com/subject/1307897/?from=subject-page']","['阿基拉', 'https://movie.douban.com/subject/1302770/?from=subject-page']","['星际牛仔：天国之门', 'https://movie.douban.com/subject/1307031/?from=subject-page']","['福音战士新剧场版：序', 'https://movie.douban.com/subject/1968790/?from=subject-page']","['新世纪福音战士剧场版：Air/...', 'https://movie.douban.com/subject/1308892/?from=subject-page']","['人狼', 'https://movie.douban.com/subject/1306255/?from=subject-page']","['空中杀手', 'https://movie.douban.com/subject/2135983/?from=subject-page']","['黑客帝国动画版', 'https://movie.douban.com/subject/1292347/?from=subject-page']","['千年女优', 'https://movie.douban.com/subject/1307394/?from=subject-page']"
